session,opening_minutes,bins,reload_zone,minimum_breakout_relative_volume,acceptance_closes,retest_bars,stop_mode,reward_risk,management,no_progress_minutes,score,train_pf,train_return,train_trades,validation_pf,validation_return,validation_trades
new_york_0930,60,48,vah,0.0,2,6,opposite_value_area,1.5,be_1r,0,0.4029412115572522,3.0001440924507063,14.630811741783711,34,2.924589717725733,6.148203397675145,14
new_york_0930,30,24,vah,0.0,2,6,opposite_value_area,2.0,none,60,0.3734154365288911,1.9653717268162858,14.285344759226493,36,2.247797674852209,9.198406689740102,20
new_york_0930,60,48,vah,0.0,1,6,opposite_value_area,3.0,none,0,0.3617082670958628,2.4228167402388223,19.403337089367124,41,2.690901509662121,9.454316952344598,25
new_york_0930,60,48,vah,0.0,1,6,opposite_value_area,3.0,trail_1_5r,0,0.3567668518886656,2.1649396485989083,15.656790011050493,41,3.2402671635296287,11.686486484719882,25
new_york_0930,60,24,vah,0.0,1,6,opposite_value_area,3.0,trail_1_5r,0,0.35652791401283923,2.1565592313511033,17.705867293902333,46,2.714315929140016,9.561030714343,25
new_york_0930,30,24,vah,0.0,2,6,opposite_value_area,3.0,trail_1_5r,60,0.35409786303366164,1.9162296244664236,13.479743333915838,36,2.171099733047938,8.59126099925609,20
new_york_0930,60,48,vah,0.0,2,6,opposite_value_area,2.0,be_1r,0,0.3459954585028541,2.7198944408733574,12.439090688755151,34,2.8255984160103598,5.809122982671355,14
new_york_0930,60,48,vah,0.0,1,6,opposite_value_area,2.0,trail_1_5r,0,0.3449752530907611,2.126965476897444,15.12159377853659,41,3.192995295216914,11.436004054724847,25
new_york_0930,60,48,vah,0.0,2,6,opposite_value_area,1.5,trail_1_5r,0,0.3441176821454876,2.326611411396258,12.34965858812227,34,2.924589717725733,6.148203397675145,14
new_york_0930,60,48,vah,0.0,2,6,opposite_value_area,1.5,none,0,0.3441176821454876,2.326611411396258,12.34965858812227,34,2.924589717725733,6.148203397675145,14
new_york_0930,60,24,vah,0.0,1,6,opposite_value_area,2.0,trail_1_5r,0,0.34318634802383813,2.113846604948672,17.01173415334898,46,2.609754192304867,8.961457588863242,25
new_york_0930,30,24,vah,0.0,2,6,opposite_value_area,2.0,none,90,0.3418495002455012,1.808280251838085,13.029251621439975,36,2.2796860900642235,10.215751700778641,20
new_york_0930,60,24,vah,0.0,1,6,opposite_value_area,1.5,be_1r,0,0.33769385595021323,2.2735308664667073,16.776175964377703,46,2.8939874145354145,9.82274056505512,25
new_york_0930,60,24,vah,0.0,1,3,opposite_value_area,1.5,be_1r,0,0.33669294398675925,2.2471577163176875,10.565340826571767,30,3.1065744200744336,4.9676740672658815,13
new_york_0930,30,24,vah,0.0,2,6,opposite_value_area,2.0,none,0,0.33223416832289804,1.772297887330486,12.670074022996559,36,1.9045050552080787,8.503855065728306,20
new_york_0930,30,24,vah,0.0,2,6,opposite_opening_range,3.0,none,0,0.33174851943718886,2.022478336095809,12.57670236412105,36,3.2582659470399977,14.625213544973303,20
new_york_0930,60,48,vah,0.0,2,6,opposite_value_area,3.0,none,0,0.33159894923765465,2.304010500917257,12.088193642305978,34,2.307311599208556,4.7068753137135655,14
new_york_0930,60,48,vah,0.0,1,6,opposite_value_area,1.5,be_1r,0,0.32889642493109855,2.2755699003853103,14.429748363078998,41,3.2609119409373526,11.811129046657731,25
new_york_0930,30,24,vah,0.0,2,6,opposite_value_area,3.0,none,60,0.3288779181626601,1.746562192170715,12.360990676110116,36,2.6692353697261035,12.474198102398804,20
new_york_0930,60,24,vah,0.0,1,6,opposite_value_area,1.5,none,0,0.3268242907328219,2.0614639655476825,16.169115013626833,46,2.681187907692126,9.386214933619797,25
new_york_0930,60,24,vah,0.0,1,6,opposite_value_area,1.5,trail_1_5r,0,0.3268242907328219,2.0614639655476825,16.169115013626833,46,2.681187907692126,9.386214933619797,25
new_york_0930,30,24,vah,0.0,2,6,opposite_value_area,2.0,trail_1_5r,60,0.3257956629650851,1.844231471445822,12.373661134224134,36,2.0803586074083547,7.908182107655359,20
new_york_0930,30,24,vah,0.0,2,6,opposite_value_area,2.0,be_1r,60,0.3249588740273844,1.9061338671192318,12.339918746118283,36,1.9699302667908956,7.057261460529496,20
new_york_0930,60,48,vah,0.0,2,6,opposite_value_area,2.0,trail_1_5r,0,0.3248716223923521,2.2531587881092654,11.615462973799406,34,2.896253621802688,6.04762308335467,14
new_york_0930,30,24,vah,0.0,2,6,opposite_value_area,3.0,trail_1_5r,90,0.3225319267502717,1.7635427019526577,12.232504440951853,36,2.1560083845711593,9.165026014782107,20
new_york_0930,60,24,vah,0.0,1,6,opposite_value_area,3.0,none,0,0.3201693985684541,2.375940243209435,21.3652628099005,46,2.5026110580175747,8.323863895254636,25
new_york_0930,60,24,vah,0.0,1,6,opposite_value_area,2.0,none,0,0.31862034658668525,2.035199282554004,15.701394810069068,46,2.6171164982497928,9.000799461991704,25
new_york_0930,60,48,vah,0.0,1,6,opposite_value_area,1.5,none,0,0.31670130297987903,2.035910832434805,13.834885316213597,41,3.4780665619390816,13.024078620191393,25
new_york_0930,60,48,vah,0.0,1,6,opposite_value_area,1.5,trail_1_5r,0,0.31670130297987903,2.035910832434805,13.834885316213597,41,3.4780665619390816,13.024078620191393,25
new_york_0930,60,24,vah,0.0,1,6,opposite_value_area,2.0,be_1r,0,0.31627787245756983,2.193881488763074,15.61130851388761,46,2.769216186454151,9.131828351043714,25
new_york_0930,60,48,vah,0.0,1,6,opposite_value_area,2.0,none,0,0.3138372355076824,2.026687266418201,13.667436858432414,41,2.8169940122177777,10.209191436735399,25
new_york_0930,30,24,vah,0.0,2,6,opposite_value_area,3.0,trail_1_5r,0,0.31291659482766854,1.7284505550015012,11.875858698065755,36,1.8008358523512575,7.46944949494639,20
new_york_0930,60,48,vah,0.0,1,6,opposite_value_area,2.0,be_1r,0,0.3110816715453219,2.2075060228344485,13.573007200595288,41,2.7862458488244086,9.199984253747973,25
new_york_0930,60,24,vah,0.0,2,6,opposite_value_area,2.0,be_1r,0,0.3099245626681452,2.4431897560187474,12.588766574322886,37,2.136648867735957,4.722767068686529,15
new_york_0930,60,48,vah,0.0,1,6,opposite_value_area,3.0,be_1r,0,0.30830798089313116,2.3047173246309423,14.704708414260104,41,2.5677453947293514,8.011378723071626,25
new_york_0930,60,24,vah,0.0,1,6,opposite_value_area,3.0,be_1r,0,0.3060247738175994,2.266316242355672,16.595515033639828,46,2.551261167288833,7.943964674713366,25
new_york_0930,60,48,vah,0.0,2,6,opposite_value_area,3.0,be_1r,0,0.304647417713875,2.5164065001054463,10.8771038570451,34,2.507096695355867,4.751438554547849,14
new_york_0930,60,24,vah,0.0,1,3,opposite_value_area,1.5,none,0,0.3033596106534259,2.002303919996372,9.459687418306029,30,2.6537239596530364,4.550446451502976,13
new_york_0930,60,24,vah,0.0,1,3,opposite_value_area,1.5,trail_1_5r,0,0.3033596106534259,2.002303919996372,9.459687418306029,30,2.6537239596530364,4.550446451502976,13
new_york_0930,60,48,vah,0.0,2,6,opposite_value_area,3.0,trail_1_5r,0,0.2978242988967375,2.1499326270597994,10.609383251660919,34,3.000625110752682,6.381469306673426,14
new_york_0930,30,24,vah,0.0,2,6,opposite_opening_range,3.0,none,90,0.29768091615339753,2.0540045328843792,11.191339406510249,36,4.533505690224464,14.464824174383262,20
new_york_0930,30,24,vah,0.0,2,6,opposite_value_area,3.0,none,90,0.2973119818792701,1.6247543060536718,11.126047826346742,36,2.613254863013597,13.026489604754698,20
