rank,configuration,robust_score,neighbor_median_score,neighbor_positive_pct,return_pct,annualized_return_pct,profit_factor,win_rate_pct,max_drawdown_pct,sharpe,recovery_factor,trades,longs,shorts,max_win_streak,max_loss_streak,best_trade_pct,worst_trade_pct,average_holding_days,best_trade_profit_share_pct,stress_return_pct,positive_years,active_years,positive_year_ratio
1,"{""aggregation"": ""majority"", ""direction"": ""long-only"", ""frequency"": ""monthly"", ""horizons"": [1, 6, 12], ""management"": ""rebalance"", ""trend"": ""none""}",11.111617778808974,7.143194459140275,100.0,91.27696944397137,6.373362717706166,1.9459404408359102,53.57142857142857,14.106290537124899,0.7346766600787977,6.470657130146928,84,84,0,6,4,9.362615808998607,-4.641510358248658,30.333333333333332,6.576819806002308,79.08780255253116,6,10,0.6
2,"{""aggregation"": ""strength"", ""direction"": ""long-only"", ""frequency"": ""weekly"", ""horizons"": [3, 6, 12], ""management"": ""trail-3atr"", ""trend"": ""none""}",11.065461220238284,7.37316192918728,100.0,71.89892323861116,5.2444754199149735,1.3952530854778473,53.6,10.191906877439294,0.6784701421807051,7.054511398427895,375,375,0,8,9,5.771631277951132,-3.9971711178545024,6.602666666666667,2.8410930830777055,36.72791693944875,7,11,0.6363636363636364
3,"{""aggregation"": ""majority"", ""direction"": ""long-only"", ""frequency"": ""monthly"", ""horizons"": [1, 6, 12], ""management"": ""trail-3atr"", ""trend"": ""none""}",11.020341339310077,7.618408212039541,100.0,60.553705807443016,4.618645576366798,1.7242010353498485,48.80952380952381,9.154544018833876,0.6111885041952267,6.614606438383423,84,84,0,4,4,9.317217555678049,-3.3352040549025466,19.88095238095238,7.729502292941902,50.30111981756045,7,10,0.7
4,"{""aggregation"": ""majority"", ""direction"": ""long-only"", ""frequency"": ""weekly"", ""horizons"": [1, 6, 12], ""management"": ""trail-3atr"", ""trend"": ""none""}",11.013621620293058,8.291520888473288,100.0,100.44373830661182,6.781161807728808,1.3882724390634489,53.43915343915344,15.426678079338686,0.7440751852914166,6.511041313627883,378,378,0,8,8,5.771631277951132,-3.9971711178545024,6.587301587301587,2.175011499466843,48.794128165969084,7,11,0.6363636363636364
5,"{""aggregation"": ""majority"", ""direction"": ""long-only"", ""frequency"": ""weekly"", ""horizons"": [1, 3, 12], ""management"": ""trail-3atr"", ""trend"": ""none""}",10.712938261227086,7.0136398111954765,100.0,91.52225448136026,6.323417571638279,1.3812767159149884,53.37078651685393,13.646004795911837,0.7017125833599922,6.706890100813912,356,356,0,7,8,5.906420643900721,-3.9971711178545024,6.595505617977528,2.342329384655397,44.578588636888504,7,11,0.6363636363636364
6,"{""aggregation"": ""strength"", ""direction"": ""long-only"", ""frequency"": ""weekly"", ""horizons"": [3, 6, 12], ""management"": ""trail-3atr"", ""trend"": ""ema200""}",10.521086586892997,6.91144884897333,100.0,67.90222321251598,5.01112360314333,1.3878783517395397,53.27635327635327,10.304161185341453,0.6536692396209051,6.589786591179559,351,351,0,8,6,5.771631277951132,-3.9971711178545024,6.595441595441596,2.924245399802354,34.40648108222657,7,11,0.6363636363636364
7,"{""aggregation"": ""majority"", ""direction"": ""long-only"", ""frequency"": ""weekly"", ""horizons"": [1, 6, 12], ""management"": ""stop-2.5atr-3r"", ""trend"": ""none""}",10.512122482803719,7.652531327646578,100.0,96.38839609742126,6.5754265282301105,1.3694276261165976,53.70370370370371,15.410446893122188,0.7131217417664105,6.254743731049112,378,378,0,9,8,6.73071430446262,-3.3321777357097315,6.425925925925926,2.510890465055822,45.781454201828375,7,11,0.6363636363636364
8,"{""aggregation"": ""majority"", ""direction"": ""long-only"", ""frequency"": ""monthly"", ""horizons"": [3, 6, 12], ""management"": ""rebalance"", ""trend"": ""none""}",10.410404933178574,7.111033803172324,100.0,71.35235732869705,5.264463710623923,1.8185837750037366,53.086419753086425,12.285642196385139,0.6484333371653871,5.807784093670853,81,81,0,6,4,9.317217555678049,-4.641510358248658,30.40740740740741,7.268942429761751,60.70536222527796,6,9,0.6666666666666666
9,"{""aggregation"": ""majority"", ""direction"": ""long-only"", ""frequency"": ""weekly"", ""horizons"": [1, 6, 12], ""management"": ""stop-2.5atr"", ""trend"": ""none""}",10.204653720384933,7.652531327646578,100.0,91.20655231705877,6.306868307724578,1.354977521824999,53.70370370370371,15.41044689312222,0.696705345813138,5.918488474060076,378,378,0,9,8,5.771631277951132,-3.3321777357097315,6.439153439153439,2.1760666013359113,41.93181736104321,7,11,0.6363636363636364
10,"{""aggregation"": ""majority"", ""direction"": ""long-only"", ""frequency"": ""weekly"", ""horizons"": [1, 6, 12], ""management"": ""stop-2.5atr-5r"", ""trend"": ""none""}",10.204653720384933,7.652531327646578,100.0,91.20655231705877,6.306868307724578,1.354977521824999,53.70370370370371,15.41044689312222,0.696705345813138,5.918488474060076,378,378,0,9,8,5.771631277951132,-3.3321777357097315,6.439153439153439,2.1760666013359113,41.93181736104321,7,11,0.6363636363636364
11,"{""aggregation"": ""majority"", ""direction"": ""long-only"", ""frequency"": ""weekly"", ""horizons"": [1, 6, 12], ""management"": ""stop-3.5atr"", ""trend"": ""none""}",9.654239431999416,8.006832417411355,100.0,87.56682920346171,6.114263592003488,1.3393433748864545,53.96825396825397,16.513475826948977,0.6627633106328478,5.302749713089357,378,378,0,9,8,5.771631277951132,-4.662165154085331,6.756613756613756,2.156379173993396,39.228103547557346,7,11,0.6363636363636364
12,"{""aggregation"": ""majority"", ""direction"": ""long-only"", ""frequency"": ""weekly"", ""horizons"": [1, 6, 12], ""management"": ""dynamic-atr-rr"", ""trend"": ""none""}",9.654239431999416,8.006832417411355,100.0,87.56682920346171,6.114263592003488,1.3393433748864545,53.96825396825397,16.513475826948977,0.6627633106328478,5.302749713089357,378,378,0,9,8,5.771631277951132,-4.662165154085331,6.756613756613756,2.156379173993396,39.228103547557346,7,11,0.6363636363636364
13,"{""aggregation"": ""majority"", ""direction"": ""long-only"", ""frequency"": ""weekly"", ""horizons"": [1, 3, 12], ""management"": ""stop-3.5atr"", ""trend"": ""none""}",9.30804575503737,6.343607234751801,100.0,79.1547496616602,5.6558324598829035,1.3302713378853201,53.93258426966292,14.3053505468542,0.6202320297077447,5.533226844208066,356,356,0,9,8,5.906420643900721,-4.662165154085331,6.76123595505618,2.3212227320408974,35.235214901389924,7,11,0.6363636363636364
14,"{""aggregation"": ""majority"", ""direction"": ""long-only"", ""frequency"": ""weekly"", ""horizons"": [1, 3, 12], ""management"": ""dynamic-atr-rr"", ""trend"": ""none""}",9.30804575503737,6.343607234751801,100.0,79.1547496616602,5.6558324598829035,1.3302713378853201,53.93258426966292,14.3053505468542,0.6202320297077447,5.533226844208066,356,356,0,9,8,5.906420643900721,-4.662165154085331,6.76123595505618,2.3212227320408974,35.235214901389924,7,11,0.6363636363636364
15,"{""aggregation"": ""majority"", ""direction"": ""long-only"", ""frequency"": ""monthly"", ""horizons"": [3, 6, 12], ""management"": ""rebalance"", ""trend"": ""ema200""}",9.20289016739293,5.866330168161554,100.0,71.27583866611549,5.259984670712159,1.8596742383990368,53.16455696202531,15.461104569587313,0.6586812333975178,4.610009481878691,79,79,0,6,7,9.317217555678049,-4.641510358248658,30.379746835443036,7.488386394106317,60.87979414411646,6,9,0.6666666666666666
16,"{""aggregation"": ""strength"", ""direction"": ""long-only"", ""frequency"": ""weekly"", ""horizons"": [3, 6, 12], ""management"": ""dynamic-atr-rr"", ""trend"": ""none""}",9.102955440298729,6.9110929515503825,100.0,64.96514276779754,4.836410001907954,1.3525311705212593,53.86666666666666,13.086066011821051,0.615554750482184,4.964451708337136,375,375,0,9,9,5.771631277951132,-4.662165154085331,6.648,2.805955225804401,31.209244604215726,7,11,0.6363636363636364
17,"{""aggregation"": ""strength"", ""direction"": ""long-only"", ""frequency"": ""weekly"", ""horizons"": [3, 6, 12], ""management"": ""stop-3.5atr"", ""trend"": ""none""}",9.099092842562495,6.911804746396277,100.0,64.62737399648653,4.816137399683695,1.3512253999001513,54.13333333333333,13.010701200257447,0.613743355045655,4.96724757580381,375,375,0,9,9,5.771631277951132,-4.662165154085331,6.773333333333333,2.8093844866591473,30.940474368590152,7,11,0.6363636363636364
18,"{""aggregation"": ""majority"", ""direction"": ""long-only"", ""frequency"": ""weekly"", ""horizons"": [1, 3, 12], ""management"": ""trail-3atr"", ""trend"": ""ema200""}",8.718317152365803,6.045804151101434,100.0,70.61932895684402,5.170304465190978,1.33399522507393,52.121212121212125,14.445936945676706,0.605942757679495,4.8885253495432535,330,330,0,7,6,5.771631277951132,-3.9971711178545024,6.572727272727272,2.5057337819382584,31.370098964401414,7,11,0.6363636363636364
19,"{""aggregation"": ""majority"", ""direction"": ""long-only"", ""frequency"": ""monthly"", ""horizons"": [1, 6, 12], ""management"": ""rebalance"", ""trend"": ""ema100""}",8.717213215616361,6.296075025904345,100.0,69.1810000161156,5.136654066154889,1.9181689106671638,53.52112676056338,16.655692969483805,0.6457377150682656,4.153594818472429,71,71,0,6,7,9.362615808998607,-4.641510358248658,30.295774647887324,7.96496049614993,60.005753207416255,6,10,0.6
20,"{""aggregation"": ""majority"", ""direction"": ""long-only"", ""frequency"": ""weekly"", ""horizons"": [1, 6, 12], ""management"": ""rebalance"", ""trend"": ""none""}",8.698936732952774,8.291520888473288,100.0,76.75901159756502,5.521705577623437,1.3023648597771664,53.96825396825397,17.4459400039088,0.5920088212644821,4.399820908496017,378,378,0,9,8,5.771631277951132,-6.357391476563209,7.0,2.156379173993396,31.198915823377305,7,11,0.6363636363636364
