fold,configuration,test_return_pct,test_annualized_return_pct,test_profit_factor,test_win_rate_pct,test_max_drawdown_pct,test_sharpe,test_recovery_factor,test_trades,test_longs,test_shorts,test_max_win_streak,test_max_loss_streak,test_best_trade_pct,test_worst_trade_pct,test_average_holding_days,test_best_trade_profit_share_pct
2018,"{""aggregation"": ""majority"", ""direction"": ""both"", ""frequency"": ""monthly"", ""horizons"": [1, 6, 12], ""management"": ""rebalance"", ""trend"": ""none""}",-3.361187003730526,-3.6698300001481554,0.7105524934729809,36.36363636363637,8.120638470648078,-0.4967536887429302,-0.41390674093908797,11,5,6,3,5,2.8617017486557432,-3.5771726738823153,30.363636363636363,36.36303069368755
2019,"{""aggregation"": ""majority"", ""direction"": ""long-only"", ""frequency"": ""weekly"", ""horizons"": [1, 6, 12], ""management"": ""trail-3atr"", ""trend"": ""none""}",18.233176031498633,18.691688315490595,2.417433888684432,67.5,4.519203514155057,1.8662337683227572,4.034599454171215,40,40,0,4,2,5.089636661410007,-2.214849681826592,6.825,17.375129853828458
2020,"{""aggregation"": ""majority"", ""direction"": ""long-only"", ""frequency"": ""weekly"", ""horizons"": [1, 6, 12], ""management"": ""trail-3atr"", ""trend"": ""none""}",8.04098780933491,8.234259985046698,1.3016005404913062,57.99999999999999,7.122420997486801,0.6488734191431005,1.1289683398625598,50,50,0,7,3,5.771631277951132,-3.9971711178545024,6.04,15.66480813566186
2021,"{""aggregation"": ""majority"", ""direction"": ""long-only"", ""frequency"": ""weekly"", ""horizons"": [1, 3, 12], ""management"": ""stop-2.5atr"", ""trend"": ""none""}",-1.360387023918408,-1.5369582606041932,0.9008255049364012,52.17391304347826,4.623738274548906,-0.20734300231460553,-0.2942179991905204,23,23,0,4,3,2.324864073817205,-2.1536805833159804,6.130434782608695,21.305670557117224
2022,"{""aggregation"": ""majority"", ""direction"": ""long-only"", ""frequency"": ""monthly"", ""horizons"": [1, 6, 12], ""management"": ""trail-3atr"", ""trend"": ""none""}",-3.893700395180777,-10.635776733623848,0.350588719859403,25.0,3.893700395180777,-1.3376443631724504,-1.0,4,4,0,1,2,2.0930518626918726,-2.9541195594195773,13.0,100.0
2023,"{""aggregation"": ""majority"", ""direction"": ""both"", ""frequency"": ""monthly"", ""horizons"": [1, 6, 12], ""management"": ""trail-3atr"", ""trend"": ""none""}",-4.959884246494839,-5.379839965633392,0.5980511943524502,33.33333333333333,9.337467471303206,-0.7678537385712577,-0.5311808862240246,12,10,2,1,4,4.081587912418263,-2.6769079903979542,16.25,56.24648024449939
2024,"{""aggregation"": ""majority"", ""direction"": ""long-only"", ""frequency"": ""weekly"", ""horizons"": [1, 3, 12], ""management"": ""trail-3atr"", ""trend"": ""ema100""}",15.719954215953758,15.77798884845767,1.681502712590637,52.94117647058824,7.693692287992326,1.3461894691648906,2.043226272577622,51,51,0,5,3,4.378405419702341,-2.809477723624153,6.509803921568627,11.667962713452802
