entry_time,exit_time,side,signal_strength,weight,entry_price,exit_price,reason,gross_return,spread_cost,net_return,stress_return,double_spread_return,holding_days,return_1m,return_6m,return_12m
2015-02-01 00:00:00+00:00,2015-03-01 00:00:00+00:00,long,1.0,0.7328940084336343,1281.831,1213.694,rebalance,-0.03895770897461714,6.524633234410168e-05,-0.03902295530696124,-0.03975584931539487,-0.03908820163930534,28.0,0.06998143945142155,-0.00945429395382158,0.030958943949328077
2015-06-01 00:00:00+00:00,2015-07-01 00:00:00+00:00,long,1.0,0.7059747338271664,1191.189,1172.515,rebalance,-0.011067405910807142,6.630956058282039e-05,-0.011133715471389962,-0.011839690205217128,-0.011200025031972783,30.0,0.0058143511290531524,0.03515647743497441,-0.04651226081701443
2016-02-01 00:00:00+00:00,2016-03-01 00:00:00+00:00,long,1.0,0.853268038740944,1117.528,1240.256,rebalance,0.0937067168416349,8.055875164881727e-05,0.09362615808998608,0.09277289005124513,0.09354559933833727,29.0,0.05332120623760006,0.020412672730692583,-0.1291176763961448
2016-03-01 00:00:00+00:00,2016-04-01 00:00:00+00:00,long,1.0,0.7792937883228451,1240.256,1231.626,rebalance,-0.005422513894894463,6.998931573600197e-05,-0.005492503210630465,-0.0062717969989533095,-0.0055624925263664665,31.0,0.10973724192604561,0.09430484565017339,0.02257373007824426
2016-04-01 00:00:00+00:00,2016-05-01 00:00:00+00:00,long,1.0,0.7469168695161841,1231.626,1292.408,rebalance,0.036861109754854654,6.573277487271115e-05,0.03679537697998194,0.03604846011046576,0.036729644205109234,30.0,-0.0069784373944263844,0.10450323119887073,0.040619507908611574
2016-05-01 00:00:00+00:00,2016-06-01 00:00:00+00:00,long,1.0,0.7233802900817967,1292.408,1216.639,rebalance,-0.04240905441563936,6.406297157908917e-05,-0.04247311738721845,-0.043196497677300244,-0.042537180358797534,31.0,0.043433377322017463,0.1268997523511819,0.07317767653758556
2016-06-01 00:00:00+00:00,2016-07-01 00:00:00+00:00,long,1.0,0.7222612393790191,1216.639,1321.72,rebalance,0.06238163768807908,6.3276017963532e-05,0.06231836167011554,0.061596100430736524,0.062255085652152015,30.0,-0.058891509452206,0.14329720103933208,0.021354150488962054
2016-07-01 00:00:00+00:00,2016-08-01 00:00:00+00:00,long,1.0,0.6889945241437637,1321.72,1348.894,rebalance,0.014165433827953374,5.7279944723165194e-05,0.01410815388323021,0.013419159359086446,0.014050873938507043,31.0,0.09254111335672621,0.24487439344163486,0.12724559069354902
2016-08-01 00:00:00+00:00,2016-09-01 00:00:00+00:00,long,1.0,0.6889742156401583,1348.894,1309.596,rebalance,-0.02007222860078478,5.7546089976385095e-05,-0.020129774690761167,-0.020818748906401324,-0.02018732078073755,31.0,0.020573223637720073,0.20701565377367448,0.23165406929497956
2016-09-01 00:00:00+00:00,2016-10-02 00:00:00+00:00,long,1.0,0.6990246234496025,1309.596,1317.104,rebalance,0.004007554141017211,5.9079732851568535e-05,0.003948474408165642,0.0032494497847160397,0.0038893946753140738,31.0,-0.029194683114514786,0.05585975074360072,0.15403440435694526
2016-10-02 00:00:00+00:00,2016-11-01 00:00:00+00:00,long,1.0,0.7144287280174104,1317.104,1276.015,rebalance,-0.022287656863472668,6.117845311693814e-05,-0.022348835316589606,-0.023063264044607016,-0.022410013769706544,30.0,0.0023238089431203424,0.07211283312993544,0.1794091112095606
2017-02-01 00:00:00+00:00,2017-03-01 00:00:00+00:00,long,1.0,0.7932892005831104,1211.494,1247.669,rebalance,0.023687477470869946,7.162937947833802e-05,0.023615848091391608,0.022822558890808496,0.02354421871191327,28.0,0.05277879880396541,-0.10183703879428585,0.08409675381501458
2017-03-01 00:00:00+00:00,2017-04-02 00:00:00+00:00,long,1.0,0.8229901270026967,1247.669,1249.401,rebalance,0.0011424655898067664,7.316731052523057e-05,0.0010692982792815358,0.00024630815227883916,0.0009961309687563052,32.0,0.048164914084843025,-0.05526691428982522,0.021590969575132624
2017-04-02 00:00:00+00:00,2017-05-01 00:00:00+00:00,long,1.0,0.8629523951954602,1249.401,1270.674,rebalance,0.014693109980697141,7.602515158933351e-05,0.014617084829107807,0.013754132433912348,0.014541059677518474,29.0,0.0007037669970151317,-0.05069427177312458,0.013686328449147966
2017-06-01 00:00:00+00:00,2017-07-03 00:00:00+00:00,long,1.0,0.958318220094401,1268.687,1241.63,rebalance,-0.020437835400767844,9.457847149855685e-05,-0.0205324138722664,-0.0214907320923608,-0.020626992343764958,32.0,-0.0015637358097073673,0.08226651118233219,0.04278525834392277
2017-08-01 00:00:00+00:00,2017-09-01 00:00:00+00:00,long,1.0,0.9525542164123789,1267.495,1321.22,rebalance,0.04037568217370108,8.17232318481513e-05,0.04029395894185293,0.03934140472544055,0.040212235710004776,31.0,0.02161079927394427,0.04617837943577663,-0.060361328776567746
2017-09-01 00:00:00+00:00,2017-10-02 00:00:00+00:00,long,1.0,0.9692460665402695,1321.22,1277.76,rebalance,-0.03188222555807527,8.622781834376405e-05,-0.03196845337641903,-0.032937699442959295,-0.0320546811947628,31.0,0.04239172284076842,0.05903226427011843,0.008926873708027916
2017-12-01 00:00:00+00:00,2018-01-02 00:00:00+00:00,long,1.0,1.0,1274.954,1307.458,rebalance,0.02549425312599518,8.597976458784353e-05,0.025408273361407337,0.024408273361407336,0.025322293596819492,32.0,-0.0017358732256625986,0.00997418325531818,0.08760837056227722
