entry_time,exit_time,side,signal_strength,weight,entry_price,exit_price,reason,gross_return,spread_cost,net_return,stress_return,double_spread_return,holding_days,return_1m,return_3m,return_12m
2015-02-01 00:00:00+00:00,2015-03-01 00:00:00+00:00,long,1.0,0.7328940084336343,1281.831,1213.694,rebalance,-0.03895770897461714,6.524633234410168e-05,-0.03902295530696124,-0.03975584931539487,-0.03908820163930534,28.0,0.06998143945142155,0.06932075839604557,0.030958943949328077
2015-03-01 00:00:00+00:00,2015-04-01 00:00:00+00:00,short,0.3333333333333333,-0.24111156438030829,1213.694,1183.511,rebalance,0.005996132754788963,2.233236385493961e-05,0.005973800390934023,0.005732688826553714,0.0059514680270790835,31.0,-0.06218539635999254,0.019773792788005506,-0.08894379014466547
2015-04-01 00:00:00+00:00,2015-05-01 00:00:00+00:00,short,1.0,-0.7109449281730457,1183.511,1184.333,rebalance,-0.0004937822554739782,6.665548620395351e-05,-0.0005604377416779317,-0.0012713826698509774,-0.0006270932278818852,30.0,-0.0241988011905645,-0.0004526812921010759,-0.07852457420924575
2015-05-01 00:00:00+00:00,2015-06-01 00:00:00+00:00,short,1.0,-0.6978616882970762,1184.333,1191.189,rebalance,-0.004039860187096594,6.521791222162e-05,-0.004105078099318213,-0.00480293978761529,-0.004170296011539834,31.0,-0.0012691682352069522,-0.077098892809496,-0.08303479139486913
2015-06-01 00:00:00+00:00,2015-07-01 00:00:00+00:00,short,0.3333333333333333,-0.23532491127572208,1191.189,1172.515,rebalance,0.00368913530360238,2.2103186860940128e-05,0.0036670321167414396,0.0034317072054657173,0.0036449289298804994,30.0,0.0058143511290531524,-0.01786918631015688,-0.04651226081701443
2015-07-01 00:00:00+00:00,2015-08-02 00:00:00+00:00,short,1.0,-0.7046760562873987,1172.515,1094.69,rebalance,0.04677246268113146,6.908181363591378e-05,0.04670338086749554,0.045998704811208144,0.04663429905385963,32.0,-0.014956444595290663,-0.011212532129774022,-0.11590529000073901
2015-08-02 00:00:00+00:00,2015-09-01 00:00:00+00:00,short,1.0,-0.7032214384068164,1094.69,1134.722,rebalance,-0.025716285544128095,7.004784741183809e-05,-0.025786333391539934,-0.02648955482994675,-0.025856381238951773,30.0,-0.06594173233718825,-0.07524121620081203,-0.1463388588928458
2015-09-01 00:00:00+00:00,2015-10-01 00:00:00+00:00,short,0.3333333333333333,-0.24234670873555803,1134.722,1115.07,rebalance,0.004197149187264556,2.3915577398507503e-05,0.0041732336098660484,0.00393088690113049,0.004149318032467541,30.0,0.0361011028102578,-0.04739518316449742,-0.11802448178866753
2015-10-01 00:00:00+00:00,2015-11-01 00:00:00+00:00,short,1.0,-0.803860807866866,1115.07,1141.747,rebalance,-0.019231613056995972,7.90857380819791e-05,-0.019310698795077953,-0.02011455960294482,-0.01938978453315993,31.0,-0.015242960066270683,-0.04900044348923682,-0.0768106066940929
2015-11-01 00:00:00+00:00,2015-12-01 00:00:00+00:00,long,0.3333333333333333,0.27418238307357573,1141.747,1064.149,rebalance,-0.01863460518113327,2.7627732520177167e-05,-0.01866223291365345,-0.018936415296727023,-0.018689860646173624,30.0,0.023989611377263742,0.048564053068462565,-0.04853344710551721
