symbol,broker_symbol,candles,days,status
XAUUSD,XAUUSDm,532,1,ok
XAGUSD,XAGUSDm,532,1,ok
EURUSD,EURUSDm,568,1,ok
BTCUSD,BTCUSDm,779,1,ok
US30,US30m,532,1,ok
