case,variant,period,initial,net,return_pct,equity_dd_pct,profit_factor,trades,wins,losses,win_rate_pct,expected_payoff,recovery_factor,sharpe,history_quality
smoke-aggressive-core-loose,aggressive-core-loose,smoke,10000.0,117.61,1.1761000000000001,3.13,1.18,12,5,7,41.67,9.8,0.38,1.89,99%
smoke-aggressive-all-loose,aggressive-all-loose,smoke,10000.0,502.49,5.024900000000001,4.4,1.38,22,9,13,40.91,22.84,1.07,11.5,99%
