case,variant,period,initial,final,net,return_pct,equity_dd_amount,equity_dd_pct,balance_dd_amount,balance_dd_pct,profit_factor,trades,wins,losses,win_rate_pct,expected_payoff,recovery_factor,sharpe,gross_profit,gross_loss,largest_win,largest_loss,average_win,average_loss,history_quality
dev-aggressive-core,aggressive-core,dev,10000.0,10148.15,148.15,1.4815,484.43,4.81,465.48,4.62,1.14,19,8,11,42.11,7.8,0.31,4.29,1216.37,-1068.22,211.63,-102.41,152.05,-90.7,98%
dev-aggressive-all,aggressive-all,dev,10000.0,9598.43,-401.57,-4.0157,1431.69,14.31,1412.99,14.13,0.84,41,14,27,34.15,-9.79,-0.28,-5.0,2187.33,-2588.9,420.9,-100.73,156.24,-89.8,98%
dev-aggressive-ny,aggressive-ny,dev,10000.0,9587.64,-412.36,-4.123600000000001,548.25,5.48,516.06,5.16,0.43,11,3,8,27.27,-37.49,-0.75,-5.0,310.36,-722.72,124.87,-100.17,103.45,-85.72,98%
dev-aggressive-core-loose,aggressive-core-loose,dev,10000.0,9692.92,-307.08,-3.0707999999999998,706.51,7.07,651.91,6.52,0.84,30,10,20,33.33,-10.24,-0.43,-5.0,1636.03,-1943.11,282.1,-100.17,163.6,-91.82,98%
dev-aggressive-all-loose,aggressive-all-loose,dev,10000.0,9303.25,-696.75,-6.9675,1528.6,15.28,1507.41,15.07,0.81,57,18,39,31.58,-12.22,-0.46,-5.0,2994.03,-3690.78,417.24,-100.73,166.34,-88.92,98%
