symbol,broker_symbol,timeframe,confirmation,pivot_len,atr_sl_mult,rr,session,trades,wins,losses,win_rate,start_balance,final_balance,profit,return_pct,max_drawdown_pct,profit_factor,avg_r,avg_lot,avg_actual_risk,max_trades_per_day,risk_mode,fixed_lot,risk_usd_cap,risk_usd_offset,max_consecutive_losses,loss_cooldown_days,weekly_loss_limit_r,monthly_loss_limit_r
EURJPY,EURJPY..,M5,EMA,3,1.2,1.0/1.5/2.0,LONDON,24,11,13,45.83,100.0,104.17,4.17,4.17,5.84,1.21,0.028,0.028,1.63,3,RISK_PERCENT,0.01,12.0,0.5,3,5,2.0,6.0
USDSGD,USDSGD..,M5,EMA,3,2.0,1.0/2.0/3.0,ALL,38,25,13,65.79,100.0,112.25,12.25,12.25,6.85,1.55,0.251,0.023,1.82,1,RISK_PERCENT,0.01,12.0,0.5,3,5,2.0,6.0
