symbol,stage,phase,name,return_pct,profit_factor,win_rate,max_dd_pct,trades,sharpe,recovery,expectancy_r,avg_win_r,avg_loss_r,longs,shorts,first_half_return,second_half_return,score,config
XAUUSD,development,signal,H4-1m-none-both,44.01021755934384,1.874982787694369,31.451612903225808,16.950536329617893,124,0.49663860167156704,2.5963908577007215,0.3553203821171527,2.356993620773371,-0.5630943979721709,65,59,-0.34739262597487386,44.512242433187744,27.323501543802443,"{""direction"": ""both"", ""exit_mode"": 0, ""horizon"": ""1m"", ""manage"": 0, ""max_hold_days"": 0, ""rr"": 2.0, ""session"": ""all-day"", ""stop_atr"": 2.5, ""stop_mode"": 0, ""tf"": ""H4"", ""trend"": ""none""}"
XAUUSD,development,signal,H4-1m-ema100-both,61.66689751840273,3.195332689399353,34.93975903614458,11.054502107195475,83,0.711313464236749,5.578441880097267,0.6470609416139422,2.7339254400816153,-0.47366258534091904,74,9,4.108007336292507,55.28766869601285,42.60399104273003,"{""direction"": ""both"", ""exit_mode"": 0, ""horizon"": ""1m"", ""manage"": 0, ""max_hold_days"": 0, ""rr"": 2.0, ""session"": ""all-day"", ""stop_atr"": 2.5, ""stop_mode"": 0, ""tf"": ""H4"", ""trend"": ""ema100""}"
XAUUSD,development,signal,H4-1m-ema200-both,59.77211161912073,3.098682921798131,36.25,11.054502107195475,80,0.6953771513248169,5.407037878278979,0.6566761681134535,2.7232150538669733,-0.5184145708444302,79,1,3.5418478026860045,54.30679962713203,41.88530664457552,"{""direction"": ""both"", ""exit_mode"": 0, ""horizon"": ""1m"", ""manage"": 0, ""max_hold_days"": 0, ""rr"": 2.0, ""session"": ""all-day"", ""stop_atr"": 2.5, ""stop_mode"": 0, ""tf"": ""H4"", ""trend"": ""ema200""}"
XAUUSD,development,signal,H4-1m-ema200-rising-both,50.63823126530407,2.5454881612953617,34.11764705882353,11.054502107195475,85,0.6156598221891004,4.58077901422111,0.5492103063477687,2.7296474025231516,-0.5799446184573404,81,4,-0.25025002575252975,51.016149217611705,37.26528788761812,"{""direction"": ""both"", ""exit_mode"": 0, ""horizon"": ""1m"", ""manage"": 0, ""max_hold_days"": 0, ""rr"": 2.0, ""session"": ""all-day"", ""stop_atr"": 2.5, ""stop_mode"": 0, ""tf"": ""H4"", ""trend"": ""ema200-rising""}"
XAUUSD,development,signal,H4-3m-none-both,73.48336704585017,3.5835700597368167,33.33333333333333,14.455994513824177,54,0.6552682199009421,5.083245360641116,1.1903999665132203,5.048147988290244,-0.738474044375291,24,30,8.253343287973646,60.256821430773485,41.319148662961844,"{""direction"": ""both"", ""exit_mode"": 0, ""horizon"": ""3m"", ""manage"": 0, ""max_hold_days"": 0, ""rr"": 2.0, ""session"": ""all-day"", ""stop_atr"": 2.5, ""stop_mode"": 0, ""tf"": ""H4"", ""trend"": ""none""}"
XAUUSD,development,signal,H4-3m-ema100-both,95.09570889466816,8.217626392970123,45.714285714285715,10.567709782316538,35,0.8025208546869173,8.998705571361965,2.1561390312476187,5.423045028332174,-0.5949397031393749,29,6,17.500471864972745,66.03823439863723,56.59333919709689,"{""direction"": ""both"", ""exit_mode"": 0, ""horizon"": ""3m"", ""manage"": 0, ""max_hold_days"": 0, ""rr"": 2.0, ""session"": ""all-day"", ""stop_atr"": 2.5, ""stop_mode"": 0, ""tf"": ""H4"", ""trend"": ""ema100""}"
XAUUSD,development,signal,H4-3m-ema200-both,95.5136194014431,8.319430842588426,40.0,10.704894882339111,30,0.800145688033322,8.922424783359718,2.526953159133032,7.275324654347114,-0.6386278376763563,26,4,16.00036076700251,68.54569943463396,56.11285297066291,"{""direction"": ""both"", ""exit_mode"": 0, ""horizon"": ""3m"", ""manage"": 0, ""max_hold_days"": 0, ""rr"": 2.0, ""session"": ""all-day"", ""stop_atr"": 2.5, ""stop_mode"": 0, ""tf"": ""H4"", ""trend"": ""ema200""}"
XAUUSD,development,signal,H4-3m-ema200-rising-both,90.81278994165787,7.035464310891574,37.93103448275862,10.055576435788272,29,0.778349682794427,9.031087429105591,2.530661406576661,7.927684993331615,-0.7675196742180326,25,4,13.211307426838047,68.54569943463396,56.04341233062613,"{""direction"": ""both"", ""exit_mode"": 0, ""horizon"": ""3m"", ""manage"": 0, ""max_hold_days"": 0, ""rr"": 2.0, ""session"": ""all-day"", ""stop_atr"": 2.5, ""stop_mode"": 0, ""tf"": ""H4"", ""trend"": ""ema200-rising""}"
XAUUSD,development,signal,H4-6m-none-both,106.10645650267969,11.558295974297952,23.52941176470588,15.739824414054437,17,0.4476426779262415,6.741273200477058,6.819357591256823,31.614322220684603,-0.8098622947209558,7,10,-7.450840128853331,122.69943540236916,45.92084762430768,"{""direction"": ""both"", ""exit_mode"": 0, ""horizon"": ""6m"", ""manage"": 0, ""max_hold_days"": 0, ""rr"": 2.0, ""session"": ""all-day"", ""stop_atr"": 2.5, ""stop_mode"": 0, ""tf"": ""H4"", ""trend"": ""none""}"
XAUUSD,development,signal,H4-6m-ema100-both,83.73869899112607,17.076061012516117,41.17647058823529,9.69326950533097,17,0.6290041819426362,8.638849765300822,4.29836258967307,11.167070988599258,-0.5097332895752615,13,4,-3.022056189928879,89.46442023041214,53.02392860402516,"{""direction"": ""both"", ""exit_mode"": 0, ""horizon"": ""6m"", ""manage"": 0, ""max_hold_days"": 0, ""rr"": 2.0, ""session"": ""all-day"", ""stop_atr"": 2.5, ""stop_mode"": 0, ""tf"": ""H4"", ""trend"": ""ema100""}"
