symbol,decision,locked_return,locked_pf,locked_win_rate,locked_equity_dd,locked_trades,locked_sharpe,locked_recovery,full_return,full_pf,full_win_rate,full_equity_dd,full_trades,wf_positive_folds,wf_folds,wf_compounded_return
XAUUSD,Demo candidate,28.6246,2.17,31.43,9.12,35,2.23,2.24,135.61530000000002,1.95,25.55,9.2,137,3,4,545.0362800602334
XAGUSD,Watch only: 6 trades / high DD,10.6332,3.1,16.67,21.19,6,0.05,0.36,48.8864,4.12,21.21,38.25,33,2,4,2.1449868614722645
BTCUSD,Reject,-5.8829,0.22,20.0,27.65,10,-0.17,-0.16,200.97480000000002,2.72,26.76,27.78,71,3,4,36.600103897957936
ETHUSD,Reject: 1/4 positive WF folds,8.2803,1.6,25.0,13.93,20,0.72,0.59,85.63680000000001,3.73,32.35,23.17,34,1,4,-22.43526315776424
USTEC,Reject,-10.639800000000001,0.9,28.37,26.46,141,-0.75,-0.34,-21.589699999999997,0.93,29.04,32.2,427,2,4,0.5799222031681817
US30,Demo only: high DD at 1%,5.8091,1.36,37.93,23.33,29,0.19,0.22,16.5049,1.85,48.78,29.71,41,4,4,114.41888344391838
EURUSD,Reject,-10.605,0.39,13.04,15.61,23,-0.88,-0.65,13.5872,1.22,15.71,17.12,70,1,4,-72.98978498224733
GBPJPY,Reject,-0.2405,1.0,34.44,11.12,90,-0.02,-0.02,-1.4359,0.99,34.3,21.12,309,1,4,-9.037417530631142
