case,group,symbol,stage,report,from,to,model,risk_percent,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe_ratio,recovery_factor,history_quality,analysed_sharpe,analysed_recovery
legacy-standard-dynamic5020,baseline,XAUUSD,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\ThreeYear\xau-weakness-threeyear-legacy-standard-dynamic5020.htm,2023.09.01,2026.09.01,0,1.00,10000.0,14848.22,4848.22,48.48,1.08,45.44,19.44,997,1.18,1.48,98%,1.08,1.51
selected-m30-rr400-dynamic5020,selected-management,XAUUSD,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\ThreeYear\xau-weakness-threeyear-selected-m30-rr400-dynamic5020.htm,2023.09.01,2026.09.01,0,1.00,10000.0,33566.91,23566.91,235.67,1.58,38.97,13.25,390,3.33,5.51,98%,3.29,6.61
selected-m30-rr400-dynamic6020,selected-management,XAUUSD,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\ThreeYear\xau-weakness-threeyear-selected-m30-rr400-dynamic6020.htm,2023.09.01,2026.09.01,0,1.00,10000.0,30648.64,20648.64,206.49,1.49,35.11,13.58,376,2.82,4.96,98%,2.9,5.94
selected-m30-rr400-none,selected-management,XAUUSD,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\ThreeYear\xau-weakness-threeyear-selected-m30-rr400-none.htm,2023.09.01,2026.09.01,0,1.00,10000.0,38015.56,28015.56,280.16,1.52,28.49,19.46,351,2.95,3.49,98%,2.92,4.2
selected-m30-rr400-native150,selected-management,XAUUSD,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\ThreeYear\xau-weakness-threeyear-selected-m30-rr400-native150.htm,2023.09.01,2026.09.01,0,1.00,10000.0,29157.35,19157.35,191.57,1.53,47.22,18.91,485,3.9,8.45,98%,3.67,8.85
selected-m30-rr400-safe5020,selected-management,XAUUSD,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\09 XAU Weakness\Backtest Reports\ThreeYear\xau-weakness-threeyear-selected-m30-rr400-safe5020.htm,2023.09.01,2026.09.01,0,1.00,10000.0,23407.02,13407.02,134.07,1.95,44.0,6.81,175,5.11,8.18,98%,3.32,9.56
