logical_symbol,broker_symbol,side,signal_time,entry_time,exit_time,entry,sl,tp1,tp2,final_tp,target_multiple,exit_price,result,r_multiple,risk_per_lot,bull_pct,bear_pct,bias,atr,spread,entry_time_iso,exit_time_iso,lot,risk_budget,actual_risk,pnl,balance_before,balance_after
BTCUSD,BTCUSDm,BUY,1775419200,1775419200,1775467200,67351.06,66391.36,68310.76,69270.47,70230.17,3,70230.17,win,2.0,959.7,57.14,14.29,STRONG BULL,639.8,14.0,2026-04-05T20:00:00Z,2026-04-06T09:20:00Z,0.01,15.0,9.6,19.19,300.0,319.19
BTCUSD,BTCUSDm,SELL,1776024000,1776024000,1776092100,71110.97,72363.28,69858.66,68606.34,67354.03,3,72363.28,loss,-1.0,1252.31,0.0,85.71,STRONG BEAR,834.88,14.0,2026-04-12T20:00:00Z,2026-04-13T14:55:00Z,0.01,15.96,12.52,-12.52,319.19,306.67
BTCUSD,BTCUSDm,BUY,1776110400,1776110400,1776347700,73370.33,71987.84,74752.82,76135.31,77517.81,3,73370.33,trail_stop,0.5,1382.49,85.71,14.29,STRONG BULL,921.66,14.0,2026-04-13T20:00:00Z,2026-04-16T13:55:00Z,0.01,15.33,13.82,6.91,306.67,313.58
BTCUSD,BTCUSDm,BUY,1776715200,1776715200,1776800400,76332.66,74844.91,77820.41,79308.17,80795.92,3,74844.91,loss,-1.0,1487.75,71.43,14.29,STRONG BULL,991.84,14.0,2026-04-20T20:00:00Z,2026-04-21T19:40:00Z,0.01,15.68,14.88,-14.88,313.58,298.71
BTCUSD,BTCUSDm,SELL,1777320000,1777320000,1777605300,76876.17,78105.87,75646.47,74416.76,73187.06,3,76876.17,trail_stop,0.5,1229.7,28.57,57.14,MILD BEAR,819.8,14.0,2026-04-27T20:00:00Z,2026-05-01T03:15:00Z,0.01,14.94,12.3,6.15,298.71,304.85
BTCUSD,BTCUSDm,BUY,1777636800,1777636800,1777889400,77462.04,76326.99,78597.09,79732.15,80867.2,3,78597.09,trail_stop,1.0,1135.05,71.43,0.0,STRONG BULL,756.7,14.0,2026-05-01T12:00:00Z,2026-05-04T10:10:00Z,0.01,15.24,11.35,11.35,304.85,316.2
BTCUSD,BTCUSDm,BUY,1778356800,1778356800,1778469000,80938.51,79850.45,82026.57,83114.62,84202.68,3,80938.51,trail_stop,0.5,1088.06,57.14,14.29,STRONG BULL,725.37,14.0,2026-05-09T20:00:00Z,2026-05-11T03:10:00Z,0.01,15.81,10.88,5.44,316.2,321.65
BTCUSD,BTCUSDm,SELL,1778673600,1778673600,1778769900,80473.71,81594.42,79353.0,78232.29,77111.58,3,80473.71,trail_stop,0.5,1120.71,0.0,85.71,STRONG BEAR,747.14,14.0,2026-05-13T12:00:00Z,2026-05-14T14:45:00Z,0.01,16.08,11.21,5.6,321.65,327.25
BTCUSD,BTCUSDm,SELL,1778860800,1778860800,1779281700,79112.81,80534.61,77691.01,76269.22,74847.42,3,77691.01,trail_stop,1.0,1421.8,0.0,85.71,STRONG BEAR,947.86,14.0,2026-05-15T16:00:00Z,2026-05-20T12:55:00Z,0.01,16.36,14.22,14.22,327.25,341.47
BTCUSD,BTCUSDm,SELL,1779451200,1779451200,1779522600,77347.59,78383.39,76311.79,75275.98,74240.18,3,74240.18,win,2.0,1035.8,28.57,57.14,MILD BEAR,690.54,14.0,2026-05-22T12:00:00Z,2026-05-23T07:50:00Z,0.01,17.07,10.36,20.72,341.47,362.18
BTCUSD,BTCUSDm,SELL,1779825600,1779825600,1780314900,75921.84,77162.16,74681.52,73441.19,72200.87,3,72200.87,win,2.0,1240.32,14.29,71.43,STRONG BEAR,826.88,14.0,2026-05-26T20:00:00Z,2026-06-01T11:55:00Z,0.01,18.11,12.4,24.81,362.18,386.99
BTCUSD,BTCUSDm,SELL,1781020800,1781020800,1781158800,61079.82,62907.27,59252.37,57424.92,55597.48,3,62907.27,loss,-1.0,1827.45,14.29,85.71,STRONG BEAR,1218.3,10.0,2026-06-09T16:00:00Z,2026-06-11T06:20:00Z,0.01,19.35,18.27,-18.27,386.99,368.71
BTCUSD,BTCUSDm,BUY,1781193600,1781193600,1781724900,62692.33,61112.61,64272.05,65851.76,67431.48,3,64272.05,trail_stop,1.0,1579.72,57.14,28.57,MILD BULL,1053.14,10.0,2026-06-11T16:00:00Z,2026-06-17T19:35:00Z,0.01,18.44,15.8,15.8,368.71,384.51
