time,z,beta,mean,sd,atr,low,high,signal_spread,mean_log_b
1756684800,-0.8996402277743771,1.0,3.248890121854094,0.049782004770124046,0.0067516656758599735,3.1865141745203243,3.2181939991248516,3.2041042277436347,8.402512815586629
1756699200,-1.0506573038889913,1.0,3.2478477274426343,0.04930971022356635,0.006710264188463861,3.1865141745203243,3.2181939991248516,3.1960401202435946,8.402895706940823
1756713600,-0.9776735251789453,1.0,3.246697784620535,0.048785382633029416,0.006731924776980465,3.1865141745203243,3.2136202126569877,3.1990016076044974,8.403306947768996
1756728000,-0.7661188750682179,1.0,3.245608405400082,0.04827879071430406,0.0067606474527136685,3.1865141745203243,3.2041042277436347,3.2086211125683857,8.403753445392631
1756742400,-0.6019076493152588,1.0,3.244661923259468,0.047804763234874724,0.007280868073093646,3.1865141745203243,3.2086211125683857,3.215887870594692,8.404019699792814
1756756800,-0.5273357866854844,1.0,3.2437342217605316,0.047198109838660685,0.007035247789683373,3.1865141745203243,3.215887870594692,3.2188449693786936,8.40422664848006
1756771200,-0.24267202991937886,1.0,3.2427812438893984,0.046453695931427494,0.00696338574553249,3.1883133871679696,3.2188449693786936,3.2315082312004613,8.40433169537746
1756785600,-0.2887687670728028,1.0,3.2418735447934957,0.045520605178955134,0.007480721773250844,3.196040007854677,3.2315082312004613,3.228728615759561,8.40440652653008
1756800000,-0.34194058122647053,1.0,3.2408428551611834,0.04429653209633821,0.007348781771372183,3.1960401202435946,3.2315082312004613,3.2256960732298445,8.40474867928723
1756814400,-0.273356005482577,1.0,3.2400694578800895,0.04368582405048221,0.007238692918647364,3.1960401202435946,3.2315082312004613,3.228127675521435,8.404839114565247
1756828800,0.24944940252607206,1.0,3.2392672276727392,0.04294869478371447,0.005822931285742706,3.1990016076044974,3.2315082312004613,3.2499807539258114,8.405004441891602
1756843200,0.37814194879213175,1.0,3.238592788466377,0.042088729322479174,0.007123107133427961,3.2086211125683857,3.2499807539258114,3.254508302594564,8.4051432624769
1756857600,0.20273895285145002,1.0,3.238058485732635,0.041444262407598575,0.006839047072539525,3.215887870594692,3.254508302594564,3.2464608520948524,8.405126786465987
1756872000,0.13773454347626468,1.0,3.237506824461054,0.04085459308121592,0.007285349776258546,3.2188449693786936,3.254508302594564,3.2431339131880037,8.405149596015143
1756886400,0.3090615823627357,1.0,3.236917240198771,0.04021965752240356,0.006971086791982931,3.2256960732298445,3.254508302594564,3.2493475911947325,8.405232668995405
1756900800,0.04326161000761582,1.0,3.236608938273214,0.039971174475524375,0.006838905228966574,3.2256960732298445,3.254508302594564,3.2383381556349207,8.404943222443297
1756915200,-0.3874820329211206,1.0,3.236309444397312,0.03981316553469931,0.007049285804664558,3.2256960732298445,3.254508302594564,3.220882558078902,8.404689152301975
1756929600,-0.35394945042987547,1.0,3.235966654843617,0.0397555832225795,0.008084579390029998,3.220882558078902,3.254508302594564,3.221895188010466,8.404501950034327
1756944000,-0.32456962942912837,1.0,3.235770397224444,0.0397625572954964,0.007469802602006835,3.220882558078902,3.254508302594564,3.2228646787378903,8.40421076066438
1756958400,-0.13607337917435885,1.0,3.2355350834562433,0.03974910926936831,0.0070199977949438564,3.220882558078902,3.254508302594564,3.2301262878387895,8.403917450698257
1756972800,-0.14595040563958853,1.0,3.235400507100138,0.03973803199811288,0.007327462817579392,3.220882558078902,3.2493475911947325,3.2296007252106946,8.40342083141276
1756987200,-0.2636373814532839,1.0,3.235202296073913,0.039703176783666215,0.0064604843037456205,3.220882558078902,3.2493475911947325,3.2247350545112905,8.40291282062611
1757001600,0.024646639548281817,1.0,3.2349698217348504,0.03967665887873571,0.006609488250781607,3.220882558078902,3.2493475911947325,3.2359477180447147,8.402346355827937
1757016000,0.2657243981974953,1.0,3.2348046474253476,0.03962820666910171,0.007193782608189306,3.220882558078902,3.2383381556349207,3.2453348287941406,8.401579891813393
1757030400,0.34611754754638424,1.0,3.234752132467067,0.03960975916172337,0.007690604640891837,3.220882558078902,3.2453348287941406,3.2484617651670256,8.40072135369979
1757044800,0.3099615596674883,1.0,3.234788271216541,0.03962013936906622,0.006353023067213874,3.221895188010466,3.2484617651670256,3.24706899140962,8.399942503636924
1757059200,0.16412196795020992,1.0,3.234812017279479,0.03962658124533788,0.006129110573546244,3.2228646787378903,3.2484617651670256,3.2413156097766027,8.399266177717463
1757073600,0.02735445849885575,1.0,3.2347988116085915,0.03962412997546112,0.005965248511639487,3.2247350545112905,3.2484617651670256,3.2358827082275585,8.398918831434262
1757088000,0.4448108476541879,1.0,3.2346224767720155,0.03956865294805592,0.006115674414653454,3.2247350545112905,3.2484617651670256,3.2522230428303747,8.398710933844086
1757102400,0.36037057665547534,1.0,3.2345692480996515,0.039540347646220705,0.006839007028659694,3.2247350545112905,3.2522230428303747,3.248818425982078,8.39824193867837
1757116800,0.2930237171629305,1.0,3.234599318055716,0.03954970789017858,0.006295805692122894,3.2358827082275585,3.2522230428303747,3.2461883204744044,8.397707527773992
1757131200,0.31960444452177933,1.0,3.2346205538500037,0.03955519465045648,0.005236841974383947,3.2358827082275585,3.2522230428303747,3.2472625698642137,8.397117404111617
1757145600,0.3028373779999915,1.0,3.2346367431942262,0.039559941171537986,0.005241243364258606,3.2358827082275585,3.2522230428303747,3.2466169720524487,8.396559598095791
1757160000,0.3733606549249674,1.0,3.234409698734911,0.03940683965086776,0.005218108155997214,3.2358827082275585,3.2522230428303747,3.2491226621954823,8.396343017684295
1757174400,0.47064382520679005,1.0,3.2341402754332957,0.03918682190216157,0.004878399659006811,3.2358827082275585,3.2522230428303747,3.2525833111910263,8.39618703718225
1757188800,0.4664434588307636,1.0,3.2339694558419207,0.039058187530878266,0.005088048685253176,3.2358827082275585,3.2525833111910263,3.252187891929484,8.39587741440733
