starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,net_r,avg_spread_r,max_drawdown_pct,bot
300.0,346.13,46.13,15.38,11,6,5,54.55,3.32,0.0161,17.17,Trend
300.0,343.26,43.26,14.42,8,6,2,75.0,2.89,0.1387,11.15,Grid
300.0,309.04,9.04,3.01,1,1,0,100.0,0.6,0.1515,0.0,NewsPulse
