bot,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,setup_score,spread_r,spread_points,atr,reason,balance_before,risk_amount,pnl,balance_after
Trend,BTCUSD,H1,2026-05,2026-05-26 17:00:00,2026-05-28 03:00:00,SELL,75822.4,76629.628214,73400.715357,73400.715357,win,1.9827,89,0.0173,1400.0,538.152143,EMA trend aligned with ADX breakdown.,300.0,15.0,29.74,329.74
Grid,AUDUSD,M15,2026-05,2026-05-29 02:45:00,2026-05-29 03:00:00,BUY,0.71569,0.715146,0.716451,0.71569,trail_stop,0.3345,71,0.1655,9.0,0.000403,Range grid buy at lower Bollinger band.,329.74,16.49,5.51,335.26
Grid,AUDUSD,M15,2026-05,2026-05-29 03:00:00,2026-05-29 04:45:00,BUY,0.71549,0.714943,0.716255,0.716255,win,1.0354,72,0.1646,9.0,0.000405,Range grid buy at lower Bollinger band.,335.26,16.76,17.36,352.61
Trend,BTCUSD,H1,2026-06,2026-06-01 12:00:00,2026-06-01 17:00:00,SELL,72118.65,72842.458929,69947.223214,71394.841071,trail_stop,0.9807,89,0.0193,1400.0,482.539286,EMA trend aligned with ADX breakdown.,352.61,17.63,17.29,369.9
Trend,BTCUSD,H1,2026-06,2026-06-02 12:00:00,2026-06-02 19:00:00,SELL,68909.98,69643.898929,66708.223214,66708.223214,win,1.9809,89,0.0191,1400.0,489.279286,EMA trend aligned with ADX breakdown.,369.9,18.5,36.64,406.54
Trend,BTCUSD,H1,2026-06,2026-06-03 20:00:00,2026-06-03 21:00:00,SELL,64910.91,65757.215357,62371.993929,65757.215357,loss,-1.0165,89,0.0165,1400.0,564.203571,EMA trend aligned with ADX breakdown.,406.54,20.33,-20.66,385.88
Trend,BTCUSD,H1,2026-06,2026-06-05 13:00:00,2026-06-05 13:00:00,SELL,60677.36,62158.603571,56233.629286,62158.603571,loss,-1.0068,90,0.0068,1008.0,987.495714,EMA trend aligned with ADX breakdown.,385.88,19.29,-19.43,366.45
Trend,BTCUSD,H1,2026-06,2026-06-05 18:00:00,2026-06-05 20:00:00,SELL,59359.96,61138.168214,54025.335357,61138.168214,loss,-1.0057,90,0.0057,1008.0,1185.472143,EMA trend aligned with ADX breakdown.,366.45,18.32,-18.43,348.02
Grid,AUDUSD,M15,2026-06,2026-06-08 05:45:00,2026-06-08 07:00:00,BUY,0.70369,0.702901,0.704794,0.704794,win,1.0859,77,0.1141,9.0,0.000584,Range grid buy at lower Bollinger band.,348.02,17.4,18.9,366.92
Grid,AUDUSD,M15,2026-06,2026-06-09 06:00:00,2026-06-09 06:00:00,SELL,0.70662,0.707342,0.705609,0.705609,win,1.2754,76,0.1246,9.0,0.000535,Range grid sell at upper Bollinger band.,366.92,18.35,23.4,390.32
Trend,BTCUSD,H1,2026-06,2026-06-09 13:00:00,2026-06-09 17:00:00,SELL,62225.13,62875.923214,60272.750357,61574.336786,trail_stop,0.9846,89,0.0154,1000.0,433.862143,EMA trend aligned with ADX breakdown.,390.32,19.52,19.22,409.53
Grid,AUDUSD,M15,2026-06,2026-06-10 04:30:00,2026-06-10 07:00:00,BUY,0.70157,0.700861,0.702562,0.70157,trail_stop,0.373,75,0.127,9.0,0.000525,Range grid buy at lower Bollinger band.,409.53,20.48,7.64,417.17
Trend,BTCUSD,H1,2026-06,2026-06-14 21:00:00,2026-06-14 21:00:00,BUY,65278.55,64757.446786,66841.859643,64757.446786,loss,-1.0192,89,0.0192,1000.0,347.402143,EMA trend aligned with ADX breakout.,417.17,20.86,-21.26,395.91
Trend,BTCUSD,H1,2026-06,2026-06-15 12:00:00,2026-06-15 19:00:00,BUY,66528.38,65945.017143,68278.468571,66528.38,trail_stop,0.4829,89,0.0171,1000.0,388.908571,EMA trend aligned with ADX breakout.,395.91,19.8,9.56,405.47
Grid,AUDUSD,M15,2026-06,2026-06-16 01:45:00,2026-06-16 02:15:00,BUY,0.70619,0.705661,0.706931,0.705661,loss,-1.17,71,0.17,9.0,0.000392,Range grid buy at lower Bollinger band.,405.47,20.27,-23.72,381.75
Trend,BTCUSD,H1,2026-06,2026-06-21 20:00:00,2026-06-21 20:00:00,SELL,63772.0,64167.539286,62585.382143,64167.539286,loss,-1.0253,88,0.0253,1000.0,263.692857,EMA trend aligned with ADX breakdown.,381.75,19.09,-19.57,362.18
Grid,AUDUSD,M15,2026-06,2026-06-24 02:30:00,2026-06-24 02:45:00,BUY,0.69102,0.69031,0.692014,0.69031,loss,-1.1268,75,0.1268,9.0,0.000526,Range grid buy at lower Bollinger band.,362.18,18.11,-20.41,341.78
Grid,AUDUSD,M15,2026-06,2026-06-24 02:45:00,2026-06-24 05:00:00,BUY,0.69031,0.689539,0.69139,0.69139,win,1.0833,76,0.1167,9.0,0.000571,Range grid buy at lower Bollinger band.,341.78,17.09,18.51,360.29
NewsPulse,XAUUSD,M1,2026-06,2026-06-24 14:00:00,2026-06-24 14:30:00,SELL,4033.067,4043.625,4011.951,4027.697,timeout,0.6028,77,0.1515,160.0,7.128429,News straddle sell pulse around 10:00 NY.,360.29,18.01,10.86,371.15
Trend,BTCUSD,H1,2026-06,2026-06-24 14:00:00,2026-06-24 17:00:00,SELL,61028.65,61696.901071,59023.896786,59023.896786,win,1.985,90,0.015,1000.0,445.500714,EMA trend aligned with ADX breakdown.,371.15,18.56,36.84,407.98
