slug,timeframe,lookback,fast,slow,rr,return_pct,profit_factor,win_rate,equity_dd_pct,trades,net_profit,commission,swap,score,report
m30-lb12-ema20x50-rr20,M30,12,20,50,2.0,-69.25200000000001,0.82,36.14,71.02,1475,-6925.2,-886.8700000000026,-725.7800000000002,-0.7995865953252607,Backtest Reports\Training\m30-lb12-ema20x50-rr20.htm
m15-lb8-ema50x200-rr15,M15,8,50,200,1.5,-51.6799,0.9,41.32,57.5,1694,-5167.99,-1338.6500000000055,-1236.3899999999992,-0.8089027826086957,Backtest Reports\Training\m15-lb8-ema50x200-rr15.htm
m30-lb8-ema50x200-rr15,M30,8,50,200,1.5,-51.6799,0.9,41.32,57.5,1694,-5167.99,-1338.6500000000055,-1236.3899999999992,-0.8089027826086957,Backtest Reports\Training\m30-lb8-ema50x200-rr15.htm
m15-lb12-ema50x200-rr20,M15,12,50,200,2.0,-61.74770000000001,0.84,36.35,63.36,1348,-6174.77,-906.2300000000035,-850.6099999999997,-0.8186248106060607,Backtest Reports\Training\m15-lb12-ema50x200-rr20.htm
m30-lb12-ema50x200-rr20,M30,12,50,200,2.0,-61.74770000000001,0.84,36.35,63.36,1348,-6174.77,-906.2300000000035,-850.6099999999997,-0.8186248106060607,Backtest Reports\Training\m30-lb12-ema50x200-rr20.htm
m15-lb8-ema50x200-rr10,M15,8,50,200,1.0,-58.3457,0.87,48.91,61.75,1875,-5834.57,-1311.0200000000066,-979.9899999999999,-0.8220365829959514,Backtest Reports\Training\m15-lb8-ema50x200-rr10.htm
m30-lb8-ema50x200-rr10,M30,8,50,200,1.0,-58.3457,0.87,48.91,61.75,1875,-5834.57,-1311.0200000000066,-979.9899999999999,-0.8220365829959514,Backtest Reports\Training\m30-lb8-ema50x200-rr10.htm
m15-lb8-ema20x50-rr10,M15,8,20,50,1.0,-54.26499999999999,0.9,49.46,57.67,2046,-5426.5,-1544.2500000000118,-1136.2799999999993,-0.8468614530951967,Backtest Reports\Training\m15-lb8-ema20x50-rr10.htm
m30-lb8-ema20x50-rr10,M30,8,20,50,1.0,-54.26499999999999,0.9,49.46,57.67,2046,-5426.5,-1544.2500000000118,-1136.2799999999993,-0.8468614530951967,Backtest Reports\Training\m30-lb8-ema20x50-rr10.htm
m15-lb12-ema20x50-rr10,M15,12,20,50,1.0,-61.9831,0.86,48.57,62.79,1713,-6198.31,-1213.5800000000056,-796.68,-0.8489483357222488,Backtest Reports\Training\m15-lb12-ema20x50-rr10.htm
m30-lb12-ema20x50-rr10,M30,12,20,50,1.0,-61.9831,0.86,48.57,62.79,1713,-6198.31,-1213.5800000000056,-796.68,-0.8489483357222488,Backtest Reports\Training\m30-lb12-ema20x50-rr10.htm
m15-lb12-ema20x50-rr15,M15,12,20,50,1.5,-61.3781,0.87,40.81,62.29,1556,-6137.81,-1133.540000000007,-954.1399999999998,-0.8572635575533794,Backtest Reports\Training\m15-lb12-ema20x50-rr15.htm
m30-lb12-ema20x50-rr15,M30,12,20,50,1.5,-61.3781,0.87,40.81,62.29,1556,-6137.81,-1133.540000000007,-954.1399999999998,-0.8572635575533794,Backtest Reports\Training\m30-lb12-ema20x50-rr15.htm
