ea,group,period,baseline_return_pct,fast_return_pct,return_delta_pp,baseline_pf,fast_pf,baseline_win_rate_pct,fast_win_rate_pct,baseline_dd_pct,fast_dd_pct,baseline_trades,fast_trades,signal_retention_pct,decision
ATR Candle Breakout,Native MT5,full,93.03214123414334,77.6372462539103,-15.394894980233033,1.129784442453514,1.1265380787208472,23.432835820895523,23.963133640552993,37.0226825421092,37.739764668437786,670,651,97.16417910447761,NOT IMPROVED
ATR Candle Breakout,Native MT5,locked,39.616081480167644,49.73705711924576,10.120975639078118,1.3420911472231627,1.493457359785082,26.05042016806723,28.57142857142857,11.680601081027888,11.62849844461549,119,105,88.23529411764706,IMPROVED
Asia Breakout,Native MT5,full,5.465415802236784,14.773317482945014,9.30790168070823,1.013990148421969,1.0366245212588738,34.39393939393939,34.603658536585364,35.53280656097797,37.12624469346777,660,656,99.39393939393939,IMPROVED
Asia Breakout,Native MT5,locked,24.54328629253002,26.835074670304305,2.291788377774285,1.2680174911876918,1.289918667299204,37.16814159292036,37.16814159292036,13.723569817780346,16.51571118895851,113,113,100.0,IMPROVED
Auction Market BTC,Auction market,full,42.86853303857534,47.60797091739839,4.739437878823047,1.7222415154142503,1.7999636315891046,28.78787878787879,28.78787878787879,10.5576380656317,10.55589532644634,66,66,100.0,IMPROVED
Auction Market BTC,Auction market,locked,13.9488485379456,17.091934828683986,3.1430862907383847,1.9142016620250968,2.1095998264385827,26.31578947368421,26.31578947368421,10.557638065631693,10.555895326446352,19,19,100.0,IMPROVED
Auction Market ETH,Auction market,full,65.3993521953091,73.89533833985828,8.495986144549178,1.9085696696820027,1.9980114825513238,23.52941176470588,23.88059701492537,13.496065066849846,13.630553375538318,68,67,98.52941176470588,IMPROVED
Auction Market ETH,Auction market,locked,14.330532973468934,12.171702755716396,-2.158830217752538,2.882900344738168,2.6051470981805007,36.36363636363637,36.36363636363637,4.130286744386557,4.168376782445675,11,11,100.0,NOT IMPROVED
Auction Market US100,Auction market,full,44.446251569374425,46.71628892267219,2.2700373532977665,2.012504730812639,2.063459037634429,23.25581395348837,23.25581395348837,13.171338842182557,13.175848401498369,43,43,100.0,IMPROVED
Auction Market US100,Auction market,locked,-1.0128517579997776,-2.035005578293736,-1.0221538202939584,0.930777870649544,0.8599115507441729,17.647058823529413,17.647058823529413,13.171338842182545,13.175848401498364,17,17,100.0,NOT IMPROVED
Auction Market US30,Auction market,full,38.356678843491586,48.41038054294906,10.053701699457477,2.4128950624343797,2.825877281377604,23.333333333333332,25.0,8.190056198264992,8.11784565509634,30,28,93.33333333333333,IMPROVED
Auction Market US30,Auction market,locked,2.5322628876043307,2.103350753859301,-0.4289121337450297,1.5152901452348695,1.4279316225062009,16.666666666666664,16.666666666666664,4.914246684166901,4.9151561680366465,6,6,100.0,NOT IMPROVED
Auction Market XAG,Auction market,full,85.19990318528252,76.19788036872608,-9.002022816556448,2.725609503707435,2.6324789898278222,28.205128205128204,40.0,6.884558156522838,6.746713797558917,78,75,96.15384615384616,NOT IMPROVED
Auction Market XAG,Auction market,locked,-1.4460869360829576,-1.6921242498979194,-0.24603731381496186,0.8157108523612653,0.7862136811229978,14.285714285714285,23.076923076923077,6.884558156522908,6.746713797558932,14,13,92.85714285714286,NOT IMPROVED
Auction Market XAU,Auction market,full,24.6714163893909,23.83016826712556,-0.8412481222653376,3.7202187614941815,3.857211915107101,56.00000000000001,58.333333333333336,2.975654264939785,2.9756397507033356,25,24,96.0,NOT IMPROVED
Auction Market XAU,Auction market,locked,6.084122960321325,6.2232577273446,0.13913476702327454,4619.642869592667,52.023452103597165,66.66666666666666,66.66666666666666,0.001241731839854928,0.11469116095003681,3,3,100.0,NOT IMPROVED
Auction Stock AMZN,Auction stock,full,23.90451371067279,24.964093740820093,1.059580030147302,3.1459656686142736,3.229364640367779,56.52173913043478,56.52173913043478,2.073601198892506,2.074848942625238,23,23,100.0,IMPROVED
Auction Stock AMZN,Auction stock,locked,0.8847086298689133,0.9073051749684202,0.022596545099506926,1.4324804799267543,1.443384104960518,33.33333333333333,33.33333333333333,1.0192605447095648,1.0199530586766559,3,3,100.0,IMPROVED
Auction Stock AVGO,Auction stock,full,16.380604921755836,17.795140995795713,1.4145360740398765,2.4799634314383128,2.4994662400969223,25.0,33.33333333333333,5.6635612416874395,5.680788026120154,24,24,100.0,IMPROVED
Auction Stock AVGO,Auction stock,locked,3.147068734395697,3.2747433525479375,0.12767461815224035,2.225023647980069,2.1645039361048393,22.22222222222222,33.33333333333333,2.5058773114697104,2.6702187279383236,9,9,100.0,NOT IMPROVED
Auction Stock GOOGL,Auction stock,full,46.17090877789414,44.61015818296994,-1.560750594924201,4.617309196834209,4.471739515279878,50.0,50.0,3.0847869158576686,3.099763894332953,20,20,100.0,NOT IMPROVED
Auction Stock GOOGL,Auction stock,locked,6.148363240417365,4.041796708686651,-2.1065665317307136,6.616817545832751,4.763395965371027,50.0,50.0,1.0207050295098736,1.0217076943771746,2,2,100.0,NOT IMPROVED
Auction Stock INTC,Auction stock,full,28.810507884775085,28.586153892227205,-0.22435399254787924,4.8995138392475095,4.85419969464764,54.166666666666664,54.166666666666664,3.508021499293318,3.630967608055271,24,24,100.0,NOT IMPROVED
Auction Stock INTC,Auction stock,locked,4.365318590573453,4.448252598251434,0.08293400767798165,4.857994146405205,5.124463389818276,60.0,60.0,1.0143701903604676,1.0153393860786806,5,5,100.0,IMPROVED
Auction Stock META,Auction stock,full,38.57867265181796,38.13491774655429,-0.443754905263674,2.8524671824582195,2.813321622839134,51.42857142857142,51.42857142857142,4.411049194385465,4.53557897727178,35,35,100.0,NOT IMPROVED
Auction Stock META,Auction stock,locked,14.146990114546586,13.872216148384787,-0.27477396616179917,4.188007434030928,4.130863251015431,60.0,60.0,2.051496201014406,2.050301271017002,10,10,100.0,NOT IMPROVED
Auction Stock MSFT,Auction stock,full,19.889475397935286,19.557048420283806,-0.33242697765147966,3.434836451534562,3.7879169712652376,56.25,60.0,2.1193714226259917,1.1180463708481903,16,15,93.75,NOT IMPROVED
Auction Stock MSFT,Auction stock,locked,4.856170021932704,5.223921503312012,0.36775148137930813,5.409999103389633,5.73403188526883,66.66666666666666,66.66666666666666,1.0392602698196178,1.0378157395240253,3,3,100.0,IMPROVED
Auction Stock NVDA,Auction stock,full,23.923621732069854,26.77429782029894,2.8506760882290862,2.5268855681100417,2.8348689282453967,41.935483870967744,46.666666666666664,4.484987563010424,4.467336711559771,31,30,96.7741935483871,IMPROVED
Auction Stock NVDA,Auction stock,locked,1.932126621502217,1.9492545421751606,0.017127920672943553,2.8963840686120323,2.830326572300802,33.33333333333333,33.33333333333333,1.0188477394857909,1.0649763663349041,3,3,100.0,NOT IMPROVED
Auction Stock SP500,Auction stock,full,22.83476004762339,21.682093512853484,-1.1526665347699065,1.9330174028920992,1.8794556468503725,50.0,50.0,4.418483949924809,4.708141010488802,38,38,100.0,NOT IMPROVED
Auction Stock SP500,Auction stock,locked,-0.06175222515948375,-0.7671417337609787,-0.705389508601495,0.986157107669946,0.8247129916729179,33.33333333333333,33.33333333333333,4.272958518334953,4.224029489435751,6,6,100.0,NOT IMPROVED
DmC,Native MT5,full,-16.228366392864423,-24.09463895190952,-7.866272559045097,0.9416580567675261,0.9104104286323037,37.41258741258741,37.56613756613756,41.742945813129644,43.88443432207148,572,567,99.12587412587412,NOT IMPROVED
DmC,Native MT5,locked,30.127283556386764,19.97464970044438,-10.152633855942383,1.2001028625572565,1.1411592764540421,42.12765957446808,42.608695652173914,9.95357562647036,12.386352306553656,235,230,97.87234042553192,NOT IMPROVED
EMA3,Native MT5,full,43.87827544647433,39.58632157731235,-4.291953869161986,1.4085921846696932,1.3775296820839535,49.73262032085562,49.73262032085562,10.321345385400365,10.238167226080204,187,187,100.0,NOT IMPROVED
EMA3,Native MT5,locked,28.26214638584421,29.766217838324426,1.5040714524802148,2.694832457786198,2.7659137251168646,65.0,65.0,3.9445501932494014,3.9450693325582527,40,40,100.0,IMPROVED
Go Long,Native MT5,full,-11.665414132577645,-23.13575108608308,-11.470336953505434,0.9713785792579734,0.9401802852347537,46.10932475884245,45.325596389426174,43.57561082625088,45.344216714149,1555,1551,99.74276527331189,NOT IMPROVED
Go Long,Native MT5,locked,20.23709898101005,15.303784743558024,-4.933314237452025,1.1949482169153063,1.1504753312301588,50.641025641025635,51.28205128205128,9.08971431153133,10.250507909925444,312,312,100.0,NOT IMPROVED
LTA Volume Profile,Native MT5,full,30.16480584376966,-25.798660765689963,-55.96346660945962,1.0434213362485307,0.9545263784759768,26.637931034482758,27.00534759358289,42.59621656767888,58.30988798133645,1160,1122,96.72413793103448,NOT IMPROVED
LTA Volume Profile,Native MT5,locked,93.95268676682309,60.12781609988578,-33.824870666937315,1.3850402582407597,1.2694170401177016,32.510288065843625,33.05084745762712,13.132029093307526,13.295200049108347,243,236,97.11934156378601,NOT IMPROVED
Nasdaq Overnight,Native MT5,full,8.150858556944772,7.4272809272057705,-0.723577629739002,1.2835712705784064,1.2586872193904495,56.08465608465608,57.14285714285714,4.653215588131154,4.752091711392511,189,189,100.0,NOT IMPROVED
Nasdaq Overnight,Native MT5,locked,7.961476529386702,7.828811476600084,-0.132665052786618,1.8079290778718486,1.7730174986124645,58.333333333333336,59.72222222222222,1.8311638695913526,1.9207072757606853,72,72,100.0,NOT IMPROVED
News Pulse,Native MT5,full,63.84584047274606,0.0,-63.84584047274606,46.00974244468598,0.0,84.21052631578947,0.0,1.0227836239043113,0.0,19,0,0.0,NOT IMPROVED
News Pulse,Native MT5,locked,63.84584047274606,0.0,-63.84584047274606,46.00974244468598,0.0,84.21052631578947,0.0,1.0227836239043113,0.0,19,0,0.0,NOT IMPROVED
ORB Volume Profile,Native MT5,full,59.72997952463403,41.389467690878256,-18.340511833755777,1.4202697752678333,1.306596982921004,40.53156146179402,48.09688581314879,6.237958904298322,8.930614862596482,301,289,96.01328903654485,NOT IMPROVED
ORB Volume Profile,Native MT5,locked,9.948759698328313,5.621885812140648,-4.326873886187665,1.611623299263535,1.333105163116192,38.775510204081634,54.166666666666664,5.99900531625583,5.975565764375269,49,48,97.95918367346938,NOT IMPROVED
Turnaround Tuesday,Native MT5,full,-11.267141273596248,-9.760808188586234,1.5063330850100147,0.8704297137536201,0.8882400267079081,30.405405405405407,30.612244897959183,25.8078338118129,24.996358896594966,148,147,99.32432432432432,IMPROVED
Turnaround Tuesday,Native MT5,locked,3.2327301049561052,2.5915741624561672,-0.641155942499938,1.168361084231338,1.136128751248402,36.666666666666664,36.666666666666664,5.933788474509914,5.931870400994662,30,30,100.0,NOT IMPROVED
US100 Weakness,Native MT5,full,-45.33865214163071,-23.196405332317603,22.142246809313107,0.7563676139947355,0.8799321236619069,34.86486486486486,35.158501440922194,51.844805711662204,35.514338746029786,370,347,93.78378378378378,IMPROVED
US100 Weakness,Native MT5,locked,6.779136019829579,7.766233436517145,0.9870974166875657,1.148491085772103,1.1783033832023528,42.857142857142854,42.42424242424242,11.662442677705405,11.37403865488094,70,66,94.28571428571428,IMPROVED
XAU Weakness,Native MT5,full,-28.06045130660787,-55.808635310008036,-27.748184003400166,0.9584667536464753,0.8969408906678611,35.06056527590848,34.81894150417828,58.51266054823423,67.75437859372019,1486,1436,96.63526244952894,NOT IMPROVED
XAU Weakness,Native MT5,locked,12.957798729158165,-2.4408816643412545,-15.39868039349942,1.0650220666703798,0.9865888790932158,35.842293906810035,35.661764705882355,18.136225709203934,19.587006486637218,279,272,97.4910394265233,NOT IMPROVED
