mode,wait_minutes,hard_loss_cap_r,dev_initial,dev_final,dev_return_pct,dev_closed_equity_max_dd_pct,dev_profit_factor,dev_win_rate_pct,dev_wins,dev_losses,dev_trades,dev_net_r,dev_average_r,dev_median_entry_delay_minutes,dev_median_stop_delay_minutes,validation_initial,validation_final,validation_return_pct,validation_closed_equity_max_dd_pct,validation_profit_factor,validation_win_rate_pct,validation_wins,validation_losses,validation_trades,validation_net_r,validation_average_r,validation_median_entry_delay_minutes,validation_median_stop_delay_minutes
exit,10,1.25,10000.0,9113.69804765865,-8.863019523413495,90.05751770586946,0.9937475277821696,35.94847775175644,1842,3282,5124,67.5068326949871,0.01317463557669537,0.0,7.666666666666667,10000.0,18498.23199038695,84.98231990386951,45.71396012795502,1.0960514582253322,36.986301369863014,378,644,1022,79.91024401014768,0.07819006263223845,0.0,7.55
exit,10,1.5,10000.0,9553.796256060154,-4.4620374393984585,89.63109678181293,0.9969134182760334,35.967993754879004,1843,3281,5124,72.43232018191209,0.014135893868444991,0.0,7.683333333333334,10000.0,18547.24828083117,85.47248280831168,45.66480920259803,1.0967903364943266,36.986301369863014,378,644,1022,80.21991430958342,0.07849306683912272,0.0,7.566666666666666
exit,10,2.0,10000.0,10353.4789923205,3.5347899232050173,88.47709703452253,1.0022989628441148,36.007025761124126,1845,3279,5124,80.65049595027158,0.015739753308015532,0.0,7.7,10000.0,19208.0241765018,92.08024176501799,44.675189286848784,1.1024169507904016,36.986301369863014,378,644,1022,83.7067702873912,0.08190486329490332,0.0,7.625
exit,15,1.25,10000.0,9328.2093038226,-6.717906961774,90.11839382143893,0.9952920183588679,36.04605776736924,1847,3277,5124,69.98106665101189,0.013657507152812616,0.0,8.633333333333333,10000.0,18593.78832205665,85.9378832205665,46.29137010825893,1.09654230572146,37.08414872798434,379,643,1022,80.4535658429747,0.07872168869175608,0.0,8.55
exit,15,1.5,10000.0,9416.047607300452,-5.839523926995483,89.5790525282193,0.9959328700483439,36.0655737704918,1848,3276,5124,71.27709834674022,0.013910440739020345,0.0,9.366666666666667,10000.0,19119.449408201766,91.19449408201767,45.90036437032307,1.100429491998017,37.08414872798434,379,643,1022,83.27838961550695,0.08148570412476218,0.0,9.358333333333334
exit,15,2.0,10000.0,9831.529253330813,-1.6847074666918704,88.12860546700702,0.9988864459373894,36.104605776736925,1850,3274,5124,75.98147214344837,0.014828546476082824,0.0,9.533333333333333,10000.0,18621.54629589099,86.2154629589099,45.59493962750025,1.09447257204168,37.08414872798434,379,643,1022,80.7420823645917,0.07900399448590187,0.0,9.766666666666667
exit,20,1.25,10000.0,9351.628262690872,-6.48371737309128,90.00215473328312,0.9954689716018454,36.007025761124126,1845,3279,5124,70.28121425770456,0.013716083969107062,0.0,8.633333333333333,10000.0,18555.233096596967,85.55233096596966,46.104645949557884,1.0960675247685745,37.08414872798434,379,643,1022,80.25803506742828,0.07853036699356976,0.0,8.55
exit,20,1.5,10000.0,9325.244965495642,-6.747550345043585,89.45036673732511,0.9953327137115328,36.02654176424668,1846,3278,5124,70.40714029049114,0.013740659697597803,0.0,9.366666666666667,10000.0,19051.488600832497,90.51488600832498,45.31315443609547,1.0996519309119814,37.08414872798434,379,643,1022,82.9417473003218,0.08115630851303503,0.0,9.35
exit,20,2.0,10000.0,9596.692565876147,-4.03307434123853,88.12308347886726,0.9973087725128894,36.0655737704918,1848,3276,5124,73.7641210114835,0.01439580815993041,0.0,9.533333333333333,10000.0,18524.169600445013,85.24169600445013,45.0782514589855,1.0940358774578807,37.08414872798434,379,643,1022,80.25686852784648,0.07852922556540752,0.0,9.766666666666667
exit,30,1.25,10000.0,9084.002844589038,-9.159971554109614,90.1145118008428,0.9934886375643401,36.007025761124126,1845,3279,5124,67.40650309321911,0.013155055248481488,0.0,8.633333333333333,10000.0,18565.833205306477,85.65833205306477,46.07843040394443,1.0963883752491759,37.08414872798434,379,643,1022,80.31302097208028,0.07858416924861084,0.0,8.55
exit,30,1.5,10000.0,9279.891613108068,-7.201083868919323,89.57271835230178,0.995002043067747,36.04605776736924,1847,3277,5124,69.95677650394616,0.0136527666869528,0.0,9.366666666666667,10000.0,19169.438318029814,91.69438318029815,45.00836036913148,1.1004098845497714,37.08414872798434,379,643,1022,83.55259312432302,0.08175400501401468,0.0,9.35
exit,30,2.0,10000.0,9591.783819338145,-4.082161806618556,88.1299951112933,0.9973033044745434,36.085089773614364,1849,3275,5124,73.79415239757772,0.014401669086178322,0.0,9.533333333333333,10000.0,18702.02520523355,87.02025205233551,45.456863046815826,1.0955995710766393,37.08414872798434,379,643,1022,81.21048343630409,0.07946231255998441,0.0,9.766666666666667
exit,60,1.25,10000.0,9118.830385977175,-8.811696140228253,90.13190580637594,0.9937409986635732,36.007025761124126,1845,3279,5124,67.78430958620176,0.013228787975449213,0.0,8.633333333333333,10000.0,18577.259279068083,85.77259279068083,46.07843040394443,1.096491809249114,37.08414872798434,379,643,1022,80.37407988316272,0.07864391378000267,0.0,8.55
exit,60,1.5,10000.0,9336.647821703222,-6.633521782967778,89.60629140603072,0.9954025409010977,36.04605776736924,1847,3277,5124,70.55962573713013,0.013770418762125314,0.0,9.366666666666667,10000.0,19148.67109236255,91.48671092362551,45.00836036913148,1.1001479644092003,37.08414872798434,379,643,1022,83.44630035218874,0.08165000034460738,0.0,9.358333333333334
exit,60,2.0,10000.0,9767.846072119468,-2.321539278805318,88.14561986254432,0.9984729483369047,36.085089773614364,1849,3275,5124,75.59123221394502,0.014752387239255465,0.0,9.533333333333333,10000.0,18741.5906389061,87.41590638906098,45.78679156456519,1.0961635637617955,37.08414872798434,379,643,1022,81.42030725703968,0.07966761962528345,0.0,9.766666666666667
both,5,1.25,10000.0,10126.048530416483,1.2604853041648267,68.6142279589818,1.0014123951724285,32.95454545454545,609,1239,1848,36.42396176701205,0.019709936021110413,5.0,7.6,10000.0,6416.40110197923,-35.8359889802077,57.3835637603875,0.834347380233318,29.658792650918635,113,268,381,-35.08867265863282,-0.09209625369719897,5.0,7.466666666666667
both,5,1.5,10000.0,10088.532730848445,0.8853273084844515,68.51832466033618,1.0009920491368676,32.95454545454545,609,1239,1848,36.05909638321646,0.01951249804286605,5.0,7.6,10000.0,6416.943627948007,-35.830563720519926,57.55102625078682,0.8342047816793342,29.658792650918635,113,268,381,-35.079115944709145,-0.09207117045855415,5.0,7.466666666666667
both,5,2.0,10000.0,10044.882217980617,0.4488221798061742,68.51193019195497,1.0005034623126725,32.95454545454545,609,1239,1848,35.633768612876814,0.01928234232298529,5.0,7.6,10000.0,6429.865680627808,-35.701343193721925,57.46248671051829,0.83491135980247,29.658792650918635,113,268,381,-34.881713865380696,-0.09155305476477874,5.0,7.466666666666667
both,10,1.25,10000.0,6059.554020534106,-39.40445979465894,87.57841660370251,0.9531561375520267,33.88235294117647,1152,2248,3400,7.242995664179567,0.002130292842405757,5.0,7.733333333333333,10000.0,12214.94190470927,22.14941904709271,50.3411367234212,1.0426915593341233,32.671755725190835,214,441,655,36.78813262659104,0.05616508797952832,5.0,7.55
both,10,1.5,10000.0,6444.175793223695,-35.55824206776305,86.78106762099158,0.95981344586044,33.911764705882355,1153,2247,3400,13.514427521781164,0.003974831624053273,5.0,7.75,10000.0,11957.470561633947,19.57470561633947,49.64883633013667,1.0379798958641162,32.671755725190835,214,441,655,34.716672811456064,0.05300255391061995,5.0,7.55
both,10,2.0,10000.0,7269.476351107537,-27.305236488924635,85.56038437886303,0.9711827286578922,34.02941176470588,1157,2243,3400,25.73096026325552,0.007567929489192793,5.0,7.75,10000.0,12292.334368216028,22.92334368216029,50.06820655641491,1.0440151752656899,32.82442748091603,215,440,655,37.49736378867302,0.05724788364682903,5.0,7.574999999999999
both,15,1.25,10000.0,7544.688276672698,-24.553117233273024,89.8673935175591,0.9735530657911335,34.854969091773654,1466,2740,4206,40.15395036274161,0.00954682604915397,7.5,8.566666666666666,10000.0,12851.607118669737,28.516071186697367,51.36801348423165,1.0416890156504497,34.32657926102503,288,551,839,44.254205839796114,0.0527463716803291,7.65,8.55
both,15,1.5,10000.0,7563.583403934487,-24.364165960655125,88.64480049735832,0.9744911427490984,34.878744650499286,1467,2739,4206,40.72898550797021,0.009683543867800817,7.5,9.35,10000.0,12581.377943563695,25.813779435636963,51.28154290419018,1.0376101270633658,34.32657926102503,288,551,839,42.208589319080986,0.05030821134574611,7.65,9.35
both,15,2.0,10000.0,7611.568565137543,-23.88431434862457,87.07272782564067,0.9760835869296394,34.99762244412744,1472,2734,4206,41.91660838827879,0.009965907843147603,7.5,9.5,10000.0,12974.758469184093,29.747584691840935,51.11102448072169,1.0423379681254168,34.44576877234803,289,550,839,45.345171704430854,0.05404668856308801,7.65,9.766666666666667
both,20,1.25,10000.0,6537.552368915959,-34.624476310840414,91.12680371835997,0.9652707173500037,35.21035598705502,1632,3003,4635,30.03920153331463,0.006480949629625596,8.966666666666667,8.583333333333334,10000.0,13328.130993061324,33.28130993061325,53.12313933297676,1.0445008084767193,34.99458288190683,323,600,923,48.826847398917835,0.05290015969546894,9.55,8.55
both,20,1.5,10000.0,6523.403205752266,-34.76596794247734,90.09558251200122,0.9662783519285117,35.2319309600863,1633,3002,4635,30.204964655749833,0.0065167129785867976,8.966666666666667,9.35,10000.0,13132.112293781876,31.321122937818767,53.572313856688815,1.0417544913330639,34.99458288190683,323,600,923,47.425739334938775,0.051382166126694225,9.55,9.366666666666667
both,20,2.0,10000.0,6735.285908365687,-32.64714091634313,88.54163459698944,0.970580777976967,35.33980582524272,1638,2997,4635,34.03768548604282,0.007343621464086908,8.966666666666667,9.516666666666667,10000.0,13525.678148417725,35.25678148417724,54.050697851942765,1.0461581458300786,35.102925243770315,324,599,923,50.45797706524996,0.05466736410102922,9.55,9.8
both,30,1.25,10000.0,9251.225301643868,-7.487746983561316,90.17655885302001,0.9943147377907804,36.13086770981508,1778,3143,4921,67.20598075666844,0.013656976378107775,9.733333333333333,8.6,10000.0,14738.894517301735,47.38894517301735,50.79735064423326,1.0600418009651427,36.1336032388664,357,631,988,59.40663423403696,0.06012817230165684,10.0,8.55
both,30,1.5,10000.0,9225.6634086702,-7.743365913298006,89.05206238890878,0.9942947537292042,36.17150985572038,1780,3141,4921,67.35006131630216,0.013686255093741542,9.733333333333333,9.35,10000.0,14512.068019522303,45.12068019522304,50.68824478156615,1.0567566508750708,36.1336032388664,357,631,988,57.94113221570807,0.05864487066367214,10.0,9.35
both,30,2.0,10000.0,9952.64066882601,-0.47359331173989494,87.48467181810081,0.9996821156426493,36.273115220483646,1785,3136,4921,75.57218332431455,0.015357078505245782,9.733333333333333,9.533333333333333,10000.0,15182.661129996344,51.826611299963446,51.32071566697361,1.0638734991045917,36.23481781376518,358,630,988,62.52178528904654,0.06328115919943983,10.0,9.733333333333334
both,60,1.25,10000.0,8663.804557955258,-13.36195442044742,90.49953492479615,0.9895247489522935,36.32009578926362,1820,3191,5011,61.13906558607002,0.01220097098105567,10.0,8.608333333333334,10000.0,15025.321463921606,50.25321463921606,49.86654118744158,1.061691445620021,36.47175421209118,368,641,1009,61.43877764053667,0.060890760793396094,10.0,8.55
both,60,1.5,10000.0,8713.260381742935,-12.867396182570644,89.3784381522606,0.990256897043814,36.36000798243864,1822,3189,5011,62.12003406619935,0.012396733998443299,10.0,9.35,10000.0,14700.490070607939,47.00490070607939,49.890824706009944,1.0573616353440427,36.47175421209118,368,641,1009,59.347555404137466,0.05881819167902623,10.0,9.35
both,60,2.0,10000.0,9481.111213176773,-5.188887868232273,87.82312709642459,0.9964220358539618,36.45978846537618,1827,3184,5011,71.19545196124928,0.014207833159299394,10.0,9.525,10000.0,15218.863059915815,52.188630599158145,50.79563804378181,1.062605390955761,36.57086223984143,369,640,1009,62.89660620317844,0.06233558592981017,10.0,9.758333333333333
