mode,wait_minutes,hard_loss_cap_r,dev_initial,dev_final,dev_return_pct,dev_closed_equity_max_dd_pct,dev_profit_factor,dev_win_rate_pct,dev_wins,dev_losses,dev_trades,dev_net_r,dev_average_r,dev_median_entry_delay_minutes,dev_median_stop_delay_minutes,validation_initial,validation_final,validation_return_pct,validation_closed_equity_max_dd_pct,validation_profit_factor,validation_win_rate_pct,validation_wins,validation_losses,validation_trades,validation_net_r,validation_average_r,validation_median_entry_delay_minutes,validation_median_stop_delay_minutes
baseline,0,1.0,10000.0,28465.9675732367,184.659675732367,88.96203647768726,1.0730964143996646,34.933645589383296,1790,3334,5124,171.6825009583259,0.03350556224791684,0.0,0.0,10000.0,23012.912457624836,130.12912457624836,43.237760212169945,1.1369379704910232,35.90998043052838,367,655,1022,101.06910640168662,0.09889345049088709,0.0,0.0
entry,5,1.0,10000.0,11571.427954300249,15.714279543002485,69.32222587027059,1.0185390069057327,31.601731601731604,584,1264,1848,47.48786810869758,0.025696898327217325,5.0,0.0,10000.0,7322.250151802189,-26.777498481978114,54.4357415452996,0.8746445203478728,28.608923884514436,109,272,381,-22.661964593435325,-0.05948022203001397,5.0,0.0
entry,10,1.0,10000.0,14186.496297726015,41.86496297726015,84.23611711234547,1.0358044549200085,32.970588235294116,1121,2279,3400,88.40116114743937,0.026000341513952755,5.0,0.0,10000.0,14542.70294301075,45.4270294301075,43.38643034124054,1.0834875081563589,31.90839694656489,209,446,655,53.60670866820558,0.08184230331023751,5.0,0.0
entry,15,1.0,10000.0,16251.960049472309,62.51960049472309,88.26756555727093,1.0486978014207051,33.78506894912031,1421,2785,4206,112.46199314003978,0.026738467223024198,7.5,0.0,10000.0,15270.65170059232,52.70651700592319,47.023445529364935,1.073728998383144,33.373063170441,280,559,839,60.7864436747737,0.0724510651665956,7.65,0.0
entry,20,1.0,10000.0,15351.761191272937,53.517611912729365,89.71521685242385,1.0375524880740383,34.3042071197411,1590,3045,4635,110.62528099401463,0.02386737454024047,8.966666666666667,0.0,10000.0,16321.453013177324,63.21453013177325,48.964091440999916,1.0800400997258082,34.12784398699892,315,608,923,68.30485938897596,0.07400309792955144,9.55,0.0
entry,30,1.0,10000.0,22226.64322815094,122.26643228150942,88.93689196850035,1.0623693319014464,35.17577728104044,1731,3190,4921,149.97850212412527,0.030477240829938086,9.733333333333333,0.0,10000.0,18235.00561240729,82.3500561240729,47.34173735905901,1.0976426866596902,35.32388663967611,349,639,988,79.89497804358959,0.08086536239229716,10.0,0.0
entry,60,1.0,10000.0,20699.38746187433,106.99387461874328,89.25080490157305,1.056748290161673,35.38215924965077,1773,3238,5011,143.35496774669184,0.028608055826520023,10.0,0.0,10000.0,18643.032241621975,86.43032241621975,46.498596200782075,1.0990342401197017,35.678889990089196,360,649,1009,82.20780534197414,0.0814745345311934,10.0,0.0
exit,5,1.25,10000.0,22894.234472937056,128.94234472937055,83.80977053437057,1.047018878781277,36.085089773614364,1849,3275,5124,160.86481303529416,0.031394381935069125,0.0,7.583333333333333,10000.0,18182.74015711662,81.82740157116619,45.34729885365899,1.091840283927899,36.888454011741686,377,645,1022,78.56106058903916,0.07686992229847275,0.0,7.533333333333333
exit,5,1.5,10000.0,22709.614127725457,127.09614127725457,83.82451449258438,1.0466303979012592,36.085089773614364,1849,3275,5124,160.07038687141363,0.03123934170011976,0.0,7.583333333333333,10000.0,18137.32233798969,81.37322337989691,45.62638344554944,1.091590825437793,36.888454011741686,377,645,1022,78.31563089661533,0.07662977582839074,0.0,7.533333333333333
exit,5,2.0,10000.0,22454.024990846927,124.54024990846926,83.81173083433109,1.0460759127167676,36.085089773614364,1849,3275,5124,158.9611713130425,0.031022867157112128,0.0,7.583333333333333,10000.0,18181.313539361476,81.81313539361477,45.42328380997401,1.0919126366447067,36.888454011741686,377,645,1022,78.553474824888,0.07686249982865755,0.0,7.533333333333333
