ea,mode,wait_minutes,hard_loss_cap_r,base_dev_return_pct,fast_dev_return_pct,base_dev_pf,fast_dev_pf,base_validation_return_pct,fast_validation_return_pct,base_validation_pf,fast_validation_pf,base_validation_dd_pct,fast_validation_dd_pct,dev_trades,validation_trades,dev_retention_pct,validation_retention_pct,base_locked_return_pct,fast_locked_return_pct,base_locked_pf,fast_locked_pf,base_locked_dd_pct,fast_locked_dd_pct,base_locked_trades,fast_locked_trades,prelock_decision,locked_oos
DmC,baseline,0,1.0,-24.68994970585464,-24.68994970585464,0.8177674304134129,0.8177674304134129,-14.517801517262374,-14.517801517262374,0.761012546526659,0.761012546526659,24.34189723452981,24.34189723452981,238,99,100.0,100.0,30.127283556386764,30.127283556386764,1.2001028625572565,1.2001028625572565,9.95357562647036,9.95357562647036,235,235,REJECT,NOT TESTED
EMA3,exit,60,1.5,9.661071324641446,8.772041252893747,1.1344199620730664,1.1221317177625239,2.2926043918628958,3.1062607272553056,1.1495516288934196,1.212491463431527,7.039896682516996,7.066918883179716,120,27,100.0,100.0,28.26214638584421,28.371161821145385,2.694832457786198,2.702918562505882,3.9445501932494014,4.090430389804196,40,40,PASS,FAILED
Go Long,baseline,0,1.0,-24.430164938423527,-24.430164938423527,0.9120977386435093,0.9120977386435093,-2.782642158753257,-2.782642158753257,0.9606120536395706,0.9606120536395706,18.300030732625235,18.300030732625235,1054,189,100.0,100.0,20.23709898101005,20.23709898101005,1.1949482169153063,1.1949482169153063,9.08971431153133,9.08971431153133,312,312,REJECT,NOT TESTED
LTA Volume Profile,baseline,0,1.0,-26.964842290967926,-26.964842290967926,0.9399151540418854,0.9399151540418854,-8.110517987831589,-8.110517987831589,0.9279054063061767,0.9279054063061767,15.646969443813932,15.646969443813932,766,151,100.0,100.0,93.95268676682309,93.95268676682309,1.3850402582407597,1.3850402582407597,13.132029093307526,13.132029093307526,243,243,REJECT,NOT TESTED
Nasdaq Overnight,baseline,0,1.0,2.297186769544557,2.297186769544557,1.2152653095035855,1.2152653095035855,-2.074123968159547,-2.074123968159547,0.7412700129485791,0.7412700129485791,4.653215588131168,4.653215588131168,81,36,100.0,100.0,7.961476529386702,7.961476529386702,1.8079290778718486,1.8079290778718486,1.8311638695913526,1.8311638695913526,72,72,REJECT,NOT TESTED
News Pulse,baseline,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100.0,100.0,63.84584047274606,63.84584047274606,46.00974244468598,46.00974244468598,1.0227836239043113,1.0227836239043113,19,19,INSUFFICIENT,NOT TESTED
ORB Volume Profile,baseline,0,1.0,28.708726370680402,28.708726370680402,1.2817937294358694,1.2817937294358694,12.872490731104103,12.872490731104103,1.9972628137795374,1.9972628137795374,4.237079299198398,4.237079299198398,218,34,100.0,100.0,9.948759698328313,9.948759698328313,1.611623299263535,1.611623299263535,5.99900531625583,5.99900531625583,49,49,REJECT,NOT TESTED
Turnaround Tuesday,entry,20,1.0,-17.5246295651618,-13.986136982748699,0.7222339679188384,0.7735302441086527,4.21801228879346,4.864357265105412,1.4725240934600818,1.5405046364126318,6.864555243485617,6.866473703961221,95,17,94.05940594059405,100.0,3.2327301049561052,2.8945899305819367,1.168361084231338,1.1609493826461212,5.933788474509914,5.9318704009946455,30,28,PASS,FAILED
US100 Weakness,both,30,1.25,-48.97746046872303,-31.515028065360507,0.6701556932580872,0.7795593213106898,0.3302427667126073,6.129242678123514,1.0118348829257953,1.2669880505848115,6.3197436837166565,4.076533742826919,231,39,90.234375,88.63636363636364,6.779136019829579,2.8448370198733475,1.148491085772103,1.0636628127662442,11.662442677705405,12.356656038979208,70,64,PASS,FAILED
XAU Weakness,baseline,0,1.0,-53.694063532977985,-53.694063532977985,0.8889100474759722,0.8889100474759722,37.53550200250333,37.53550200250333,1.2659379847259027,1.2659379847259027,13.818921848046564,13.818921848046564,1015,192,100.0,100.0,12.957798729158165,12.957798729158165,1.0650220666703798,1.0650220666703798,18.136225709203934,18.136225709203934,279,279,REJECT,NOT TESTED
