ea,group,period,baseline_return_pct,fast_return_pct,return_delta_pp,baseline_pf,fast_pf,baseline_win_rate_pct,fast_win_rate_pct,baseline_dd_pct,fast_dd_pct,baseline_trades,fast_trades,signal_retention_pct,decision
ATR Candle Breakout,Native MT5,full,93.03214123414334,93.03214123414334,0.0,1.129784442453514,1.129784442453514,23.432835820895523,23.432835820895523,37.0226825421092,37.0226825421092,670,670,100.0,NOT IMPROVED
ATR Candle Breakout,Native MT5,locked,39.616081480167644,39.616081480167644,0.0,1.3420911472231627,1.3420911472231627,26.05042016806723,26.05042016806723,11.680601081027888,11.680601081027888,119,119,100.0,NOT IMPROVED
Asia Breakout,Native MT5,full,5.465415802236784,7.0574847625495485,1.5920689603127647,1.013990148421969,1.0182827374794987,34.39393939393939,33.811802232854866,35.53280656097797,36.858753961936394,660,627,95.0,IMPROVED
Asia Breakout,Native MT5,locked,24.54328629253002,20.41049652705109,-4.132789765478929,1.2680174911876918,1.2211571349890462,37.16814159292036,35.45454545454545,13.723569817780346,19.260157901635026,113,110,97.34513274336283,NOT IMPROVED
Auction Market BTC,Auction market,full,42.86853303857534,42.86853303857534,0.0,1.7222415154142503,1.7222415154142503,28.78787878787879,28.78787878787879,10.5576380656317,10.5576380656317,66,66,100.0,NOT IMPROVED
Auction Market BTC,Auction market,locked,13.9488485379456,13.9488485379456,0.0,1.9142016620250968,1.9142016620250968,26.31578947368421,26.31578947368421,10.557638065631693,10.557638065631693,19,19,100.0,NOT IMPROVED
Auction Market ETH,Auction market,full,65.3993521953091,81.8346675071569,16.435315311847788,1.9085696696820027,2.222664689195449,23.52941176470588,24.59016393442623,13.496065066849846,11.248068894459417,68,61,89.70588235294117,IMPROVED
Auction Market ETH,Auction market,locked,14.330532973468934,12.902765131339255,-1.427767842129679,2.882900344738168,2.837459294784938,36.36363636363637,40.0,4.130286744386557,3.347538297236229,11,10,90.9090909090909,NOT IMPROVED
Auction Market US100,Auction market,full,44.446251569374425,44.446251569374425,0.0,2.012504730812639,2.012504730812639,23.25581395348837,23.25581395348837,13.171338842182557,13.171338842182557,43,43,100.0,NOT IMPROVED
Auction Market US100,Auction market,locked,-1.0128517579997776,-1.0128517579997776,0.0,0.930777870649544,0.930777870649544,17.647058823529413,17.647058823529413,13.171338842182545,13.171338842182545,17,17,100.0,NOT IMPROVED
Auction Market US30,Auction market,full,38.356678843491586,38.356678843491586,0.0,2.4128950624343797,2.4128950624343797,23.333333333333332,23.333333333333332,8.190056198264992,8.190056198264992,30,30,100.0,NOT IMPROVED
Auction Market US30,Auction market,locked,2.5322628876043307,2.5322628876043307,0.0,1.5152901452348695,1.5152901452348695,16.666666666666664,16.666666666666664,4.914246684166901,4.914246684166901,6,6,100.0,NOT IMPROVED
Auction Market XAG,Auction market,full,85.19990318528252,83.93790101238588,-1.2620021728966435,2.725609503707435,2.648271626595484,28.205128205128204,38.46153846153847,6.884558156522838,7.2056780494349315,78,78,100.0,NOT IMPROVED
Auction Market XAG,Auction market,locked,-1.4460869360829576,-1.6964279078070632,-0.25034097172410563,0.8157108523612653,0.7913959787855046,14.285714285714285,28.57142857142857,6.884558156522908,7.205678049434883,14,14,100.0,NOT IMPROVED
Auction Market XAU,Auction market,full,24.6714163893909,24.6714163893909,0.0,3.7202187614941815,3.7202187614941815,56.00000000000001,56.00000000000001,2.975654264939785,2.975654264939785,25,25,100.0,NOT IMPROVED
Auction Market XAU,Auction market,locked,6.084122960321325,6.084122960321325,0.0,4619.642869592667,4619.642869592667,66.66666666666666,66.66666666666666,0.001241731839854928,0.001241731839854928,3,3,100.0,NOT IMPROVED
Auction Stock AMZN,Auction stock,full,23.90451371067279,23.90451371067279,0.0,3.1459656686142736,3.1459656686142736,56.52173913043478,56.52173913043478,2.073601198892506,2.073601198892506,23,23,100.0,NOT IMPROVED
Auction Stock AMZN,Auction stock,locked,0.8847086298689133,0.8847086298689133,0.0,1.4324804799267543,1.4324804799267543,33.33333333333333,33.33333333333333,1.0192605447095648,1.0192605447095648,3,3,100.0,NOT IMPROVED
Auction Stock AVGO,Auction stock,full,16.380604921755836,16.380604921755836,0.0,2.4799634314383128,2.4799634314383128,25.0,25.0,5.6635612416874395,5.6635612416874395,24,24,100.0,NOT IMPROVED
Auction Stock AVGO,Auction stock,locked,3.147068734395697,3.147068734395697,0.0,2.225023647980069,2.225023647980069,22.22222222222222,22.22222222222222,2.5058773114697104,2.5058773114697104,9,9,100.0,NOT IMPROVED
Auction Stock GOOGL,Auction stock,full,46.17090877789414,46.17090877789414,0.0,4.617309196834209,4.617309196834209,50.0,50.0,3.0847869158576686,3.0847869158576686,20,20,100.0,NOT IMPROVED
Auction Stock GOOGL,Auction stock,locked,6.148363240417365,6.148363240417365,0.0,6.616817545832751,6.616817545832751,50.0,50.0,1.0207050295098736,1.0207050295098736,2,2,100.0,NOT IMPROVED
Auction Stock INTC,Auction stock,full,28.810507884775085,28.810507884775085,0.0,4.8995138392475095,4.8995138392475095,54.166666666666664,54.166666666666664,3.508021499293318,3.508021499293318,24,24,100.0,NOT IMPROVED
Auction Stock INTC,Auction stock,locked,4.365318590573453,4.365318590573453,0.0,4.857994146405205,4.857994146405205,60.0,60.0,1.0143701903604676,1.0143701903604676,5,5,100.0,NOT IMPROVED
Auction Stock META,Auction stock,full,38.57867265181796,38.57867265181796,0.0,2.8524671824582195,2.8524671824582195,51.42857142857142,51.42857142857142,4.411049194385465,4.411049194385465,35,35,100.0,NOT IMPROVED
