symbol,broker_symbol,timeframe,confirmation,pivot_len,atr_sl_mult,rr,session,trades,wins,losses,win_rate,start_balance,final_balance,profit,return_pct,max_drawdown_pct,profit_factor,avg_r,avg_lot,avg_actual_risk,max_trades_per_day,risk_mode,fixed_lot,risk_usd_cap,risk_usd_offset
EURJPY,EURJPY..,M5,EMA,3,1.2,1.0/1.5/2.0,LONDON,273,143,130,52.38,10000.0,13733.11,3733.11,37.33,25.83,1.15,0.087,2.114,189.39,3,RISK_PERCENT,0.01,12.0,0.5
USDSGD,USDSGD..,M5,EMA,3,2.0,1.0/2.0/3.0,ALL,259,136,122,52.51,10000.0,11921.75,1921.75,19.22,18.61,1.12,0.053,1.84,149.35,1,RISK_PERCENT,0.01,12.0,0.5
