case,market,symbol,variant,period,initial,net,return_pct,equity_dd_pct,profit_factor,trades,win_rate_pct,recovery_factor,sharpe,history_quality
selection-xau-control,xau,XAUUSD,control,selection,10000.0,1333.32,13.333200000000001,5.22,2.16,32,53.12,2.42,14.82,100%
selection-xau-va,xau,XAUUSD,va,selection,10000.0,726.73,7.2673000000000005,4.31,2.1,20,60.0,1.63,10.37,100%
selection-xau-poc,xau,XAUUSD,poc,selection,10000.0,303.55,3.0355,3.97,1.57,17,47.06,0.75,4.76,100%
selection-xau-lvn100,xau,XAUUSD,lvn100,selection,10000.0,506.76,5.0676,3.9,1.63,21,52.38,1.28,8.4,100%
selection-xau-va-poc,xau,XAUUSD,va-poc,selection,10000.0,456.48,4.5648,3.67,2.14,13,61.54,1.22,4.51,100%
selection-xau-va-lvn100,xau,XAUUSD,va-lvn100,selection,10000.0,551.22,5.5122,3.8,2.08,16,62.5,1.42,6.94,100%
selection-xau-full100,xau,XAUUSD,full100,selection,10000.0,193.08,1.9308000000000003,3.67,1.48,12,58.33,0.52,1.74,100%
selection-btc-control,btc,BTCUSD,control,selection,10000.0,1410.82,14.108199999999998,4.09,4.19,25,40.0,2.97,20.08,100%
selection-btc-va,btc,BTCUSD,va,selection,10000.0,762.21,7.6221,4.03,2.81,19,36.84,1.73,10.36,100%
selection-btc-poc,btc,BTCUSD,poc,selection,10000.0,647.44,6.474400000000001,3.39,3.08,15,33.33,1.87,7.3,100%
selection-btc-lvn100,btc,BTCUSD,lvn100,selection,10000.0,1101.73,11.0173,4.04,3.55,17,35.29,2.4,17.01,100%
selection-btc-va-poc,btc,BTCUSD,va-poc,selection,10000.0,647.44,6.474400000000001,3.39,3.08,15,33.33,1.87,7.3,100%
selection-btc-va-lvn100,btc,BTCUSD,va-lvn100,selection,10000.0,488.14,4.881399999999999,4.02,2.18,15,26.67,1.13,6.57,100%
selection-btc-full100,btc,BTCUSD,full100,selection,10000.0,593.32,5.9332,3.39,2.92,12,33.33,1.72,5.09,100%
selection-us30-control,us30,US30,control,selection,10000.0,601.15,6.0115,3.1,2.43,12,50.0,1.91,10.54,100%
selection-us30-va,us30,US30,va,selection,10000.0,392.8,3.9280000000000004,3.01,1.94,12,41.67,1.24,7.45,100%
selection-us30-poc,us30,US30,poc,selection,10000.0,605.34,6.053400000000001,2.79,3.76,9,55.56,2.03,6.92,100%
selection-us30-lvn100,us30,US30,lvn100,selection,10000.0,192.78,1.9278,2.65,1.92,5,40.0,0.7,1.55,100%
selection-us30-va-poc,us30,US30,va-poc,selection,10000.0,603.16,6.031599999999999,2.79,3.75,9,55.56,2.02,6.81,100%
selection-us30-va-lvn100,us30,US30,va-lvn100,selection,10000.0,192.78,1.9278,2.65,1.92,5,40.0,0.7,1.55,100%
selection-us30-full100,us30,US30,full100,selection,10000.0,192.78,1.9278,2.65,1.92,5,40.0,0.7,1.55,100%
selection-ustec-control,ustec,USTEC,control,selection,10000.0,645.84,6.4584,2.85,2.57,13,53.85,2.25,10.94,100%
selection-ustec-va,ustec,USTEC,va,selection,10000.0,645.84,6.4584,2.85,2.57,13,53.85,2.25,10.94,100%
selection-ustec-poc,ustec,USTEC,poc,selection,10000.0,288.67,2.8867,2.84,1.92,9,44.44,1.0,3.72,100%
selection-ustec-lvn100,ustec,USTEC,lvn100,selection,10000.0,335.73,3.3573,2.85,1.82,11,45.45,1.17,5.32,100%
selection-ustec-va-poc,ustec,USTEC,va-poc,selection,10000.0,288.67,2.8867,2.84,1.92,9,44.44,1.0,3.72,100%
selection-ustec-va-lvn100,ustec,USTEC,va-lvn100,selection,10000.0,335.73,3.3573,2.85,1.82,11,45.45,1.17,5.32,100%
selection-ustec-full100,ustec,USTEC,full100,selection,10000.0,138.2,1.382,2.84,1.45,8,37.5,0.48,1.51,100%
selection-us500-control,us500,US500,control,selection,10000.0,115.94,1.1594,2.26,1.18,12,41.67,0.5,2.88,100%
selection-us500-va,us500,US500,va,selection,10000.0,115.94,1.1594,2.26,1.18,12,41.67,0.5,2.88,100%
selection-us500-poc,us500,US500,poc,selection,10000.0,-318.49,-3.1849000000000003,3.75,0.48,9,22.22,-0.85,-5.0,100%
selection-us500-lvn100,us500,US500,lvn100,selection,10000.0,-73.97,-0.7397,2.91,0.86,9,33.33,-0.25,-1.21,100%
selection-us500-va-poc,us500,US500,va-poc,selection,10000.0,-318.49,-3.1849000000000003,3.75,0.48,9,22.22,-0.85,-5.0,100%
selection-us500-va-lvn100,us500,US500,va-lvn100,selection,10000.0,-73.97,-0.7397,2.91,0.86,9,33.33,-0.25,-1.21,100%
selection-us500-full100,us500,US500,full100,selection,10000.0,-218.71,-2.1871,2.91,0.58,8,25.0,-0.75,-3.7,100%
