key,market,symbol,set,saved,initial_balance,final_balance,net_profit,return_pct,equity_dd_amount,equity_dd_pct,balance_dd_amount,balance_dd_pct,profit_factor,expected_payoff,recovery_factor,sharpe_ratio,trades,wins,losses,win_rate_pct,gross_profit,gross_loss,largest_win,largest_loss,average_win,average_loss,history_quality,pass,status,report,graph,settings
xau,Gold,XAUUSD,ORB XAU Candidate 07.set,VALIDATED - XAUUSD M5 - 1pct.set,10000.0,10818.92,818.92,8.1892,650.2,6.4,547.82,5.43,1.53,16.38,1.26,6.71,50,20,30,40.0,2363.11,-1544.19,257.57,-104.91,118.16,-50.89,99%,True,PASS,Reports/final-xau.htm,Reports/final-xau.png,Best Settings/VALIDATED - XAUUSD M5 - 1pct.set
btc,Bitcoin,BTCUSD,ORB BTC Candidate 02.set,REJECTED FINAL - BTCUSD M5 - 1pct.set,10000.0,8840.74,-1159.26,-11.592600000000001,1672.09,16.41,1626.85,16.03,0.51,-27.6,-0.69,-5.0,42,8,34,19.05,1220.67,-2379.93,287.91,-101.31,152.58,-68.9,100%,False,REJECT,Reports/final-btc.htm,Reports/final-btc.png,Best Settings/REJECTED FINAL - BTCUSD M5 - 1pct.set
us30,Dow,US30,ORB US30LEN Candidate 04.set,VALIDATED MODEST - US30 M5 - 1pct.set,10000.0,10268.63,268.63,2.6862999999999997,524.92,4.92,419.53,3.96,1.23,11.68,0.51,6.19,23,8,15,34.78,1415.55,-1146.92,206.96,-105.83,176.94,-75.6,100%,True,PASS,Reports/final-us30.htm,Reports/final-us30.png,Best Settings/VALIDATED MODEST - US30 M5 - 1pct.set
ustec,Nasdaq,USTEC,ORB USTEC Candidate 03.set,REJECTED FINAL - USTEC M5 - 1pct.set,10000.0,9648.15,-351.85,-3.5185,493.06,4.91,397.46,3.97,0.29,-39.09,-0.71,-5.0,9,1,8,11.11,142.71,-494.56,142.71,-99.51,142.71,-61.09,100%,False,REJECT,Reports/final-ustec.htm,Reports/final-ustec.png,Best Settings/REJECTED FINAL - USTEC M5 - 1pct.set
us500,S&P 500,US500,ORB US500 Candidate 05.set,REJECTED FINAL - US500 M5 - 1pct.set,10000.0,9768.42,-231.58,-2.3158000000000003,976.42,9.15,857.9,8.11,0.86,-9.26,-0.24,-5.0,25,9,16,36.0,1370.98,-1602.56,156.34,-105.76,152.33,-96.07,100%,False,REJECT,Reports/final-us500.htm,Reports/final-us500.png,Best Settings/REJECTED FINAL - US500 M5 - 1pct.set
