prague_day;start_balance;min_equity;daily_loss_usd;end_balance;max_margin_usd
2026.07.19;10000.00;10000.00;0.00;10000.00;0.00
2026.07.20;10000.00;10000.00;0.00;10000.00;0.00
2026.07.21;10000.00;10000.00;0.00;10000.00;0.00
2026.07.22;10000.00;10000.00;0.00;10000.00;0.00
2026.07.23;10000.00;10000.00;0.00;10000.00;0.00
2026.07.24;10000.00;10000.00;0.00;10000.00;0.00
2026.07.27;10000.00;10000.00;0.00;10000.00;0.00
2026.07.28;10000.00;10000.00;0.00;10000.00;0.00
2026.07.29;10000.00;9998.07;1.93;10055.30;1470.02
2026.07.30;10055.30;10055.30;0.00;10055.30;0.00
2026.07.31;10055.30;10055.30;0.00;10055.30;0.00
2026.08.03;10055.30;10055.30;0.00;10055.30;0.00
2026.08.04;10055.30;10055.30;0.00;10055.30;0.00
2026.08.05;10055.30;10053.54;1.76;10113.66;842.13
2026.08.06;10113.66;10113.66;0.00;10113.66;0.00
2026.08.07;10113.66;10113.66;0.00;10113.66;0.00
2026.08.10;10113.66;10094.71;18.95;10164.50;869.15
2026.08.11;10164.50;10164.50;0.00;10164.50;0.00
2026.08.12;10164.50;10164.50;0.00;10164.50;0.00
2026.08.13;10164.50;10164.50;0.00;10164.50;0.00
2026.08.14;10164.50;10164.50;0.00;10164.50;0.00
2026.08.17;10164.50;10164.50;0.00;10164.50;0.00
2026.08.18;10164.50;10164.50;0.00;10164.50;0.00
2026.08.19;10164.50;10164.50;0.00;10164.50;0.00
2026.08.20;10164.50;10164.50;0.00;10164.50;0.00
2026.08.21;10164.50;10164.50;0.00;10164.50;0.00
2026.08.24;10164.50;10164.50;0.00;10164.50;0.00
2026.08.25;10164.50;10164.50;0.00;10164.50;0.00
2026.08.26;10164.50;10164.50;0.00;10164.50;0.00
2026.08.27;10164.50;10164.50;0.00;10164.50;0.00
2026.08.28;10164.50;10164.50;0.00;10164.50;0.00
2026.08.31;10164.50;10164.50;0.00;10164.50;0.00
2026.09.01;10164.50;10164.50;0.00;10164.50;0.00
2026.09.02;10164.50;10164.50;0.00;10164.50;0.00
2026.09.03;10164.50;10164.50;0.00;10164.50;0.00
2026.09.04;10164.50;10164.50;0.00;10164.50;0.00
2026.09.07;10164.50;10164.50;0.00;10164.50;0.00
2026.09.08;10164.50;10164.50;0.00;10164.50;0.00
2026.09.09;10164.50;10164.50;0.00;10164.50;0.00
2026.09.10;10164.50;10164.50;0.00;10164.50;0.00
2026.09.11;10164.50;10164.50;0.00;10164.50;0.00
2026.09.14;10164.50;10164.50;0.00;10164.50;0.00
2026.09.15;10164.50;10164.50;0.00;10164.50;0.00
2026.09.16;10164.50;10164.50;0.00;10164.50;0.00
2026.09.17;10164.50;10050.62;113.88;10050.62;729.56
2026.09.18;10050.62;10050.62;0.00;10050.62;0.00
