symbol,broker_symbol,candles,days,status
GBPUSD,GBPUSDm,12766,78,ok
AUDUSD,AUDUSDm,12767,78,ok
USDCAD,USDCADm,12767,78,ok
EURUSD,EURUSDm,12767,78,ok
