period,trades,win_rate_pct,profit_factor,net_r,return_pct,max_drawdown_pct,ending_balance
2023-07-30 to 2024-01-30,16,50.0,0.14816896097979387,-6.799999999999898,-18.75934751173456,18.759347511734564,812.4065248826544
2024-01-30 to 2024-07-30,27,40.74074074074074,0.0927694170383007,-14.35000000000015,-35.46473463495662,35.75384234440653,645.3526536504338
FULL UNSEEN YEAR,43,44.18604651162791,0.11545484638042942,-21.15000000000005,-47.57112933240515,47.80600232195612,524.2887066759486
