period,trades,win_rate_pct,profit_factor,net_r,return_pct,max_drawdown_pct,ending_balance
2023-08,8,62.5,0.23727818806010087,-2.24999999999985,-6.6606207671275675,8.7327,933.3937923287243
2023-09,3,33.33333333333333,0.07164213197969095,-1.8500000000000094,-5.4865950000000385,5.910000000000002,945.1340499999997
2023-11,3,66.66666666666666,0.2979870820233411,-0.7000000000000379,-2.125035750000104,3.0000000000000018,978.7496424999989
2023-12,1,0.0,0.0,-1.0,-3.0000000000000027,3.0,970.0
2024-01,2,0.0,0.0,-2.0,-5.910000000000004,5.910000000000002,940.9
2024-02,9,33.33333333333333,0.07232656515602434,-5.5499999999999625,-15.573219405058424,15.951437934354102,844.2678059494158
2024-03,1,0.0,0.0,-1.0,-3.0000000000000027,3.0,970.0
2024-05,8,37.5,0.08398768321452235,-4.550000000000116,-12.962081860885355,13.351997870468155,870.3791813911464
2024-06,5,60.0,0.22285930691836067,-1.5499999999999767,-4.634060458548683,5.061284677499646,953.6593954145131
2024-07,3,66.66666666666666,0.29482802389239315,-0.7000000000000944,-2.1250357500002703,2.9999999999999956,978.7496424999973
