name,params,relative_atr,atr_min,atr_max,asia_min,asia_max,lock_trigger,lock_profit,full_trades,full_wr,full_pf,full_net_r,full_return,full_dd,2023_H2_trades,2023_H2_pf,2023_H2_net_r,2023_H2_dd,2024_H1_trades,2024_H1_pf,2024_H1_net_r,2024_H1_dd,2024_H2_trades,2024_H2_pf,2024_H2_net_r,2024_H2_dd,2025_H1_trades,2025_H1_pf,2025_H1_net_r,2025_H1_dd,2025_H2_trades,2025_H2_pf,2025_H2_net_r,2025_H2_dd,2026_H1_trades,2026_H1_pf,2026_H1_net_r,2026_H1_dd,positive_folds,score
reference_calm_fade,"{""breakout_fraction"": 0.0, ""breakout_max_fraction"": 0.0, ""distribution_hold_fraction"": 0.0, ""distribution_rr"": 2.0, ""enable_distribution"": false, ""enable_fade"": true, ""fade_confirmation_mode"": ""immediate"", ""fade_mss_lookahead_bars"": 6, ""fade_reclaim_fraction"": 0.0, ""fade_rr"": 2.0, ""london_window_minutes"": 180, ""max_risk_fraction"": 0.0, ""max_trades_per_day"": 1, ""min_body_fraction"": 0.0, ""min_close_location"": 0.0, ""ny_window_minutes"": 180, ""require_directional_confirmation"": false, ""retest_tolerance_fraction"": 0.04, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.6, ""sweep_min_fraction"": 0.02, ""trade_london"": true, ""trade_new_york"": false, ""trend_fast"": 8, ""trend_filter_mode"": ""none"", ""trend_price_alignment"": true, ""trend_slow"": 24, ""use_regime_filter"": true, ""volume_factor"": 0.0}",True,0.65,1.0,0.6,1.0,0.3,0.15,119,69.74789915966386,0.7194796769271503,-6.900000000000386,-21.32606707005451,47.80600232195612,16,0.14816896097979387,-6.799999999999898,18.759347511734564,27,0.0927694170383007,-14.35000000000015,35.75384234440653,23,1.5569309126373199,1.8499999999995405,5.486595000000305,21,1.497419138170599,2.2500000000004126,7.078766318693947,9,3.0161087339325827,2.0499999999999208,2.999999999999997,23,2.962912760892676,8.099999999999788,8.732699999999994,4,-958.81
reference_broad,"{""breakout_fraction"": 0.0, ""breakout_max_fraction"": 0.0, ""distribution_hold_fraction"": 0.0, ""distribution_rr"": 2.0, ""enable_distribution"": true, ""enable_fade"": true, ""fade_confirmation_mode"": ""immediate"", ""fade_mss_lookahead_bars"": 6, ""fade_reclaim_fraction"": 0.0, ""fade_rr"": 2.0, ""london_window_minutes"": 180, ""max_risk_fraction"": 0.0, ""max_trades_per_day"": 1, ""min_body_fraction"": 0.0, ""min_close_location"": 0.0, ""ny_window_minutes"": 180, ""require_directional_confirmation"": false, ""retest_tolerance_fraction"": 0.04, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.6, ""sweep_min_fraction"": 0.02, ""trade_london"": true, ""trade_new_york"": false, ""trend_fast"": 8, ""trend_filter_mode"": ""none"", ""trend_price_alignment"": true, ""trend_slow"": 24, ""use_regime_filter"": true, ""volume_factor"": 0.0}",True,0.65,1.6,0.4,1.2,0.3,0.15,321,65.73208722741433,0.5417663516219346,-32.10000000000128,-65.30823126658576,77.38562755979815,55,0.37095158128100536,-13.79999999999993,38.93649031301468,61,0.18233397623601047,-28.550000000000576,58.385679364986906,65,0.8582594006823434,-2.1500000000009543,15.19329889238095,58,1.1316310696495753,2.550000000000514,9.4608021441139,38,1.155266862427578,1.349999999999793,8.644115944654885,44,1.9535927789422873,8.499999999999872,7.078766318693797,3,-966.79
h1ema_12_36_both,"{""breakout_fraction"": 0.0, ""breakout_max_fraction"": 0.0, ""distribution_hold_fraction"": 0.0, ""distribution_rr"": 2.0, ""enable_distribution"": true, ""enable_fade"": true, ""fade_confirmation_mode"": ""immediate"", ""fade_mss_lookahead_bars"": 6, ""fade_reclaim_fraction"": 0.0, ""fade_rr"": 2.0, ""london_window_minutes"": 180, ""max_risk_fraction"": 0.0, ""max_trades_per_day"": 1, ""min_body_fraction"": 0.0, ""min_close_location"": 0.0, ""ny_window_minutes"": 180, ""require_directional_confirmation"": false, ""retest_tolerance_fraction"": 0.04, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.6, ""sweep_min_fraction"": 0.02, ""trade_london"": true, ""trade_new_york"": false, ""trend_fast"": 12, ""trend_filter_mode"": ""h1_ema"", ""trend_price_alignment"": true, ""trend_slow"": 36, ""use_regime_filter"": true, ""volume_factor"": 0.0}",True,0.5,1.6,0.4,1.2,0.3,0.15,294,68.36734693877551,0.7156655625070651,-16.600000000000758,-44.331752528807634,69.73674722403237,51,0.29521856508252614,-15.100000000000007,41.14216536190112,56,0.29482336356681293,-20.100000000000144,46.66419233476875,58,1.4938948640214509,8.099999999999438,10.270187485448627,54,1.978654219243901,9.55000000000037,7.495038644791904,35,1.928275616694114,5.049999999999616,5.910000000000005,40,0.6523606122915379,-4.100000000000033,16.468361111566033,3,-967.06
h1ema_20_50_both,"{""breakout_fraction"": 0.0, ""breakout_max_fraction"": 0.0, ""distribution_hold_fraction"": 0.0, ""distribution_rr"": 2.0, ""enable_distribution"": true, ""enable_fade"": true, ""fade_confirmation_mode"": ""immediate"", ""fade_mss_lookahead_bars"": 6, ""fade_reclaim_fraction"": 0.0, ""fade_rr"": 2.0, ""london_window_minutes"": 180, ""max_risk_fraction"": 0.0, ""max_trades_per_day"": 1, ""min_body_fraction"": 0.0, ""min_close_location"": 0.0, ""ny_window_minutes"": 180, ""require_directional_confirmation"": false, ""retest_tolerance_fraction"": 0.04, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.6, ""sweep_min_fraction"": 0.02, ""trade_london"": true, ""trade_new_york"": false, ""trend_fast"": 20, ""trend_filter_mode"": ""h1_ema"", ""trend_price_alignment"": true, ""trend_slow"": 50, ""use_regime_filter"": true, ""volume_factor"": 0.0}",True,0.5,1.6,0.4,1.2,0.3,0.15,294,67.68707482993197,0.5847526508271945,-26.30000000000143,-58.13728038910182,73.25742222554403,51,0.2746702609920003,-16.250000000000078,43.16366391343375,56,0.2001963663043489,-23.100000000000584,51.19270430634567,57,1.3473073658454133,5.399999999999301,10.270187485448627,54,1.63069276932923,7.250000000000357,17.94697305992658,36,1.620796595648216,3.3499999999997603,5.91,40,0.7191737422604871,-2.9500000000001836,13.497390450070263,3,-967.06
h1ema_8_24_both,"{""breakout_fraction"": 0.0, ""breakout_max_fraction"": 0.0, ""distribution_hold_fraction"": 0.0, ""distribution_rr"": 2.0, ""enable_distribution"": true, ""enable_fade"": true, ""fade_confirmation_mode"": ""immediate"", ""fade_mss_lookahead_bars"": 6, ""fade_reclaim_fraction"": 0.0, ""fade_rr"": 2.0, ""london_window_minutes"": 180, ""max_risk_fraction"": 0.0, ""max_trades_per_day"": 1, ""min_body_fraction"": 0.0, ""min_close_location"": 0.0, ""ny_window_minutes"": 180, ""require_directional_confirmation"": false, ""retest_tolerance_fraction"": 0.04, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.6, ""sweep_min_fraction"": 0.02, ""trade_london"": true, ""trade_new_york"": false, ""trend_fast"": 8, ""trend_filter_mode"": ""h1_ema"", ""trend_price_alignment"": true, ""trend_slow"": 24, ""use_regime_filter"": true, ""volume_factor"": 0.0}",True,0.5,1.6,0.4,1.2,0.3,0.15,291,68.04123711340206,0.6848154645820352,-18.90000000000095,-47.95226895053475,70.43431490618632,49,0.30639391796881266,-14.250000000000082,39.593648542282665,57,0.23306361143673965,-21.800000000000324,49.229330203468606,56,1.3611400006457492,6.649999999999595,10.270187485448627,55,1.9957488495319284,9.70000000000028,7.495038644792052,35,1.928275616694114,5.049999999999616,5.910000000000005,39,0.6397309208202595,-4.250000000000036,16.468361111565997,3,-967.09
h1ema_4_12_both,"{""breakout_fraction"": 0.0, ""breakout_max_fraction"": 0.0, ""distribution_hold_fraction"": 0.0, ""distribution_rr"": 2.0, ""enable_distribution"": true, ""enable_fade"": true, ""fade_confirmation_mode"": ""immediate"", ""fade_mss_lookahead_bars"": 6, ""fade_reclaim_fraction"": 0.0, ""fade_rr"": 2.0, ""london_window_minutes"": 180, ""max_risk_fraction"": 0.0, ""max_trades_per_day"": 1, ""min_body_fraction"": 0.0, ""min_close_location"": 0.0, ""ny_window_minutes"": 180, ""require_directional_confirmation"": false, ""retest_tolerance_fraction"": 0.04, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.6, ""sweep_min_fraction"": 0.02, ""trade_london"": true, ""trade_new_york"": false, ""trend_fast"": 4, ""trend_filter_mode"": ""h1_ema"", ""trend_price_alignment"": true, ""trend_slow"": 12, ""use_regime_filter"": true, ""volume_factor"": 0.0}",True,0.5,1.6,0.4,1.2,0.3,0.15,283,65.37102473498233,0.6478322843452222,-25.850000000000502,-57.8389673979679,64.9445455473434,51,0.3681186010242104,-13.249999999999968,37.890189431174825,57,0.37781193254644585,-16.950000000000642,41.18976847074003,54,1.230892708206791,4.499999999999749,10.420751244428097,53,1.588778452398276,7.100000000000454,8.965102946352763,32,1.0307583208184103,0.4499999999997685,5.91,36,0.41230363343828125,-7.6999999999998625,23.000587923889583,3,-967.17
h1ema_20_50_fade,"{""breakout_fraction"": 0.0, ""breakout_max_fraction"": 0.0, ""distribution_hold_fraction"": 0.0, ""distribution_rr"": 2.0, ""enable_distribution"": false, ""enable_fade"": true, ""fade_confirmation_mode"": ""immediate"", ""fade_mss_lookahead_bars"": 6, ""fade_reclaim_fraction"": 0.0, ""fade_rr"": 2.0, ""london_window_minutes"": 180, ""max_risk_fraction"": 0.0, ""max_trades_per_day"": 1, ""min_body_fraction"": 0.0, ""min_close_location"": 0.0, ""ny_window_minutes"": 180, ""require_directional_confirmation"": false, ""retest_tolerance_fraction"": 0.04, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.6, ""sweep_min_fraction"": 0.02, ""trade_london"": true, ""trade_new_york"": false, ""trend_fast"": 20, ""trend_filter_mode"": ""h1_ema"", ""trend_price_alignment"": true, ""trend_slow"": 50, ""use_regime_filter"": true, ""volume_factor"": 0.0}",True,0.5,1.6,0.4,1.2,0.3,0.15,182,68.68131868131869,0.6938633556376677,-12.35000000000183,-34.42860438629386,58.345288499011495,31,0.25101862491123306,-11.900000000000055,30.97556703200016,35,0.2012125558214546,-14.750000000000913,37.00326368979844,34,1.883526075926555,5.599999999999306,5.486595000000295,32,3.5384334672560014,9.450000000000268,7.909446137175316,21,1.4865300117713385,1.5499999999999403,5.486595000000002,29,0.7219289067269439,-2.3000000000003746,11.470719000000006,3,-968.18
h1ema_12_36_fade,"{""breakout_fraction"": 0.0, ""breakout_max_fraction"": 0.0, ""distribution_hold_fraction"": 0.0, ""distribution_rr"": 2.0, ""enable_distribution"": false, ""enable_fade"": true, ""fade_confirmation_mode"": ""immediate"", ""fade_mss_lookahead_bars"": 6, ""fade_reclaim_fraction"": 0.0, ""fade_rr"": 2.0, ""london_window_minutes"": 180, ""max_risk_fraction"": 0.0, ""max_trades_per_day"": 1, ""min_body_fraction"": 0.0, ""min_close_location"": 0.0, ""ny_window_minutes"": 180, ""require_directional_confirmation"": false, ""retest_tolerance_fraction"": 0.04, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.6, ""sweep_min_fraction"": 0.02, ""trade_london"": true, ""trade_new_york"": false, ""trend_fast"": 12, ""trend_filter_mode"": ""h1_ema"", ""trend_price_alignment"": true, ""trend_slow"": 36, ""use_regime_filter"": true, ""volume_factor"": 0.0}",True,0.5,1.6,0.4,1.2,0.3,0.15,176,68.75,0.7543052873807795,-9.100000000001577,-27.76841937012883,58.5318949716389,31,0.2514152713048443,-11.900000000000055,30.97556703200014,34,0.20096799091229076,-14.900000000000745,37.2854790341445,35,2.2000373904810453,7.599999999999498,5.486595000000295,30,6.867460277802986,11.450000000000182,3.000000000000003,19,1.3842933403777231,1.2499999999998848,5.486595000000002,27,0.6889236142146575,-2.6000000000003425,11.470718999999987,3,-968.24
h1ema_8_24_fade,"{""breakout_fraction"": 0.0, ""breakout_max_fraction"": 0.0, ""distribution_hold_fraction"": 0.0, ""distribution_rr"": 2.0, ""enable_distribution"": false, ""enable_fade"": true, ""fade_confirmation_mode"": ""immediate"", ""fade_mss_lookahead_bars"": 6, ""fade_reclaim_fraction"": 0.0, ""fade_rr"": 2.0, ""london_window_minutes"": 180, ""max_risk_fraction"": 0.0, ""max_trades_per_day"": 1, ""min_body_fraction"": 0.0, ""min_close_location"": 0.0, ""ny_window_minutes"": 180, ""require_directional_confirmation"": false, ""retest_tolerance_fraction"": 0.04, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.6, ""sweep_min_fraction"": 0.02, ""trade_london"": true, ""trade_new_york"": false, ""trend_fast"": 8, ""trend_filter_mode"": ""h1_ema"", ""trend_price_alignment"": true, ""trend_slow"": 24, ""use_regime_filter"": true, ""volume_factor"": 0.0}",True,0.5,1.6,0.4,1.2,0.3,0.15,172,69.18604651162791,0.7450603033394726,-9.250000000001997,-27.901232005960075,56.32118584341834,28,0.2763290031225551,-10.050000000000173,26.96863162638186,33,0.1735807266014446,-15.050000000000804,39.821593092935125,36,1.8547948989798897,6.599999999999379,5.486595000000295,28,5.779473377728141,9.300000000000082,2.999999999999998,19,2.1986686584231463,2.399999999999859,5.486595000000002,28,0.7058806900703213,-2.4500000000003412,11.470719,3,-968.28
mss6_normal_lock1.0,"{""breakout_fraction"": 0.0, ""breakout_max_fraction"": 0.0, ""distribution_hold_fraction"": 0.0, ""distribution_rr"": 2.0, ""enable_distribution"": false, ""enable_fade"": true, ""fade_confirmation_mode"": ""mss"", ""fade_mss_lookahead_bars"": 6, ""fade_reclaim_fraction"": 0.0, ""fade_rr"": 2.0, ""london_window_minutes"": 180, ""max_risk_fraction"": 0.0, ""max_trades_per_day"": 1, ""min_body_fraction"": 0.0, ""min_close_location"": 0.0, ""ny_window_minutes"": 180, ""require_directional_confirmation"": false, ""retest_tolerance_fraction"": 0.04, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.6, ""sweep_min_fraction"": 0.02, ""trade_london"": true, ""trade_new_york"": false, ""trend_fast"": 8, ""trend_filter_mode"": ""none"", ""trend_price_alignment"": true, ""trend_slow"": 24, ""use_regime_filter"": true, ""volume_factor"": 0.0}",True,0.65,1.2,0.5,1.1,1.0,0.15,169,46.15384615384615,0.8530704057734466,-10.850000000000433,-35.06297061372183,40.9514727062721,24,0.5749742515402676,-6.250000000000021,23.211996833610346,24,1.1212479480770794,2.300000000000044,19.201715521886996,36,1.1785998141138634,3.6499999999997517,9.05337575376293,40,0.8118160576041953,-3.8000000000000895,20.755428128633643,15,1.1867515940991322,1.5999999999998153,15.573219405058977,30,0.46887089560144296,-8.349999999999932,30.23588743825719,3,-968.31
