case,market,symbol,variant,period,initial,net,return_pct,equity_dd_pct,profit_factor,trades,win_rate_pct,recovery_factor,sharpe,history_quality
final-xau-control,xau,XAUUSD,control,final,10000.0,818.92,8.1892,6.4,1.53,50,40.0,1.26,6.71,99%
final-xau-va,xau,XAUUSD,va,final,10000.0,130.42,1.3041999999999998,5.48,1.12,34,32.35,0.23,1.66,99%
final-btc-control,btc,BTCUSD,control,final,10000.0,-1159.26,-11.592600000000001,16.41,0.51,42,19.05,-0.69,-5.0,100%
final-btc-lvn100,btc,BTCUSD,lvn100,final,10000.0,-422.83,-4.2283,13.04,0.7,26,23.08,-0.31,-5.0,100%
final-us30-control,us30,US30,control,final,10000.0,268.63,2.6862999999999997,4.92,1.23,23,34.78,0.51,6.19,100%
final-ustec-control,ustec,USTEC,control,final,10000.0,-351.85,-3.5185,4.91,0.29,9,11.11,-0.71,-5.0,100%
final-ustec-va,ustec,USTEC,va,final,10000.0,-155.74,-1.5574000000000001,3.72,0.48,6,16.67,-0.41,-1.88,100%
final-us500-control,us500,US500,control,final,10000.0,-231.58,-2.3158000000000003,9.15,0.86,25,36.0,-0.24,-5.0,100%
