starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,net_r,avg_spread_r,max_drawdown_pct,bot
300.0,343.26,43.26,14.42,8,6,2,75.0,2.89,0.1387,11.15,Grid
300.0,29.29,-270.71,-90.24,108,41,67,37.96,-43.65,0.1064,92.08,NewsPulse
