starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,net_r,avg_r,avg_spread_r,max_drawdown_pct,timeframe
300.0,249.7,-50.3,-16.77,53,10,43,18.87,2.5,0.0471,0.0476,65.93,M15
300.0,464.82,164.82,54.94,28,8,20,28.57,12.64,0.4515,0.0347,36.59,M30
