spec,period,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe,recovery,expected_r,average_win_r,average_loss_r,max_win_streak,max_loss_streak,long_trades,short_trades
reel-mechanical-fixed-2.5R,development,-7.805447521171005,0.3846153846153806,13.333333333333334,9.145550649096778,15,-1.1859989066577783,-0.8534693886301835,-0.5333333333333369,2.499999999999974,-1.0,1,8,7,8
reel-mechanical-fixed-2.5R,locked,4.091981938515765,1.5246871270481768,38.46153846153846,6.7934652093010115,13,0.6677586311015026,0.6023408985613683,0.3228843858758011,2.439499403277083,-1.0,3,7,9,4
reel-mechanical-fixed-2.5R,full,-4.032863085441862,0.818928429351684,25.0,10.621194115907429,28,-0.2720122231160181,-0.37969959323140684,-0.1358036779862371,2.456785288055052,-1.0,3,8,16,12
reel-mechanical-structural-target,development,-7.816213602577204,0.2690665139375097,8.333333333333334,10.466174574128374,12,-1.4357862522693954,-0.7468071115399049,-0.6700223622239494,2.959731653312607,-1.0,1,11,5,7
reel-mechanical-structural-target,locked,-0.20059364344042763,0.996121034379009,27.272727272727273,5.869039184736257,11,-0.005032306092214356,-0.034178276396946886,-0.002821065906175288,2.656322758344024,-1.0,2,6,6,5
reel-mechanical-structural-target,full,-8.001128418373115,0.5751947330707726,17.391304347826086,13.226516148215495,23,-0.6350988279466395,-0.6049309076338003,-0.3509260900719704,2.7321749820861694,-1.0,2,11,11,12
long-only-as-shown,development,-0.08660788238132877,0.9999999999999896,28.571428571428573,2.970100000000009,7,-8.144118675653789e-15,-0.029159921343163028,-7.486075251758199e-15,2.499999999999974,-1.0,1,3,7,0
long-only-as-shown,locked,1.087896069089167,1.1995828360642358,33.333333333333336,5.851985059900003,9,0.23455157269519888,0.18590205852435254,0.1330552240428238,2.3991656721284715,-1.0,2,6,9,0
long-only-as-shown,full,1.0003459829598382,1.108863365125942,31.25,5.851985059900037,16,0.10487991003231202,0.17094130841422997,0.07484356352408508,2.4394994032770727,-1.0,3,6,16,0
no-profile-ablation,development,16.17870537555033,1.4166144619837746,38.70967741935484,7.805447521171134,62,0.8646883274972823,2.0727453911730187,0.25534434766747466,2.2429728981409762,-1.0,6,7,29,33
no-profile-ablation,locked,3.9117562945624407,1.233194278688077,33.333333333333336,6.364482132926813,27,0.4848389081673485,0.6146228731360354,0.15546285245871785,2.466388557376154,-1.0,4,5,17,10
no-profile-ablation,full,20.723333196019624,1.3576579744958717,37.07865168539326,7.805447521171134,89,0.7464903429049984,2.6549833484640843,0.2250432199075148,2.303904441568752,-1.0,6,7,46,43
h1-trend-filter-ablation,development,-1.9900000000000029,0.0,0.0,1.9900000000000029,2,0.0,-1.0,-1.0,0.0,-1.0,0,2,1,1
h1-trend-filter-ablation,locked,2.499999999999991,999.0,100.0,0.0,1,0.0,0.0,2.5,2.5,0.0,1,0,0,1
h1-trend-filter-ablation,full,0.4602499999999843,1.25,33.333333333333336,1.9900000000000029,3,0.08247860988423228,0.23128140703516764,0.16666666666666666,2.5,-1.0,1,2,1,2
relative-volume-ablation,development,-7.300837311597574,0.25,9.090909090909092,7.300837311597574,11,-1.515228816828316,-1.0,-0.6818181818181818,2.5,-1.0,1,7,6,5
relative-volume-ablation,locked,-1.0857418035574384,0.8333333333333354,25.0,4.900995009999995,8,-0.21821789023598917,-0.22153497429442182,-0.12499999999999839,2.500000000000006,-1.0,1,5,4,4
relative-volume-ablation,full,-8.307310872453266,0.4687500000000008,15.789473684210526,10.543717924344643,19,-0.8586296628693765,-0.7878919876329693,-0.4473684210526309,2.500000000000004,-1.0,1,8,10,9
direct-sweep-ablation,development,-14.133473228468263,0.7603268867354579,24.050632911392405,14.69700571757614,79,-0.7743281228933067,-0.9616566462627181,-0.1820302126059813,2.4010322739014462,-1.0,3,9,36,43
direct-sweep-ablation,locked,10.409955543210136,1.388888888888884,35.714285714285715,4.900995010000033,42,0.9545214042184137,2.1240494066959,0.24999999999999686,2.4999999999999916,-1.0,2,5,24,18
direct-sweep-ablation,full,-5.194805965053151,0.955397852921004,28.09917355371901,14.992138496183582,121,-0.13022706799353934,-0.34650199945628485,-0.032069312362583924,2.4446945060037457,-1.0,3,10,60,61
