from,to,return_pct,pf,win_rate,dd_pct,trades,sharpe,recovery,final_equity
2023-09-01,2024-03-01,36.2039,1.3363,43.1034,17.7171,174,1.9232,2.0434,13620.39
2024-03-01,2024-09-01,66.6638,1.4063,45.8763,14.4707,194,2.9057,4.6068,16666.38
2024-09-01,2025-03-01,103.2227,1.7562,48.913,7.4961,184,4.6399,13.7702,20322.27
2025-03-01,2025-09-01,32.7244,1.2964,40.6417,11.8027,187,1.9492,2.7726,13272.44
2025-09-01,2026-03-01,20.4293,1.9703,47.4576,7.5689,59,5.5457,2.6991,12042.93
2026-03-01,2026-09-01,62.2189,1.755,46.7456,14.2049,169,4.1633,4.3801,16221.89
