slug,strategy,symbol,side,side_sign,open_time,close_time,r,net_profit,lookup,feature_date,xauusd,xagusd,xauusd_r1,xauusd_ret1,xauusd_imp1,xauusd_ret3,xauusd_imp3,xauusd_ret5,xauusd_imp5,xauusd_ret10,xauusd_imp10,xauusd_ret20,xauusd_imp20,xauusd_ret40,xauusd_imp40,xauusd_ret60,xauusd_imp60,xagusd_r1,xagusd_ret1,xagusd_imp1,xagusd_ret3,xagusd_imp3,xagusd_ret5,xagusd_imp5,xagusd_ret10,xagusd_imp10,xagusd_ret20,xagusd_imp20,xagusd_ret40,xagusd_imp40,xagusd_ret60,xagusd_imp60,corr20,ratio_z20,corr40,ratio_z40,corr60,ratio_z60,own_ret1,peer_ret1,peer_imp1,own_ret3,peer_ret3,peer_imp3,own_ret5,peer_ret5,peer_imp5,own_ret10,peer_ret10,peer_imp10,own_ret20,peer_ret20,peer_imp20,own_ret40,peer_ret40,peer_imp40,own_ret60,peer_ret60,peer_imp60,conv20,conv40,conv60
xau-weakness,XAU Weakness,XAUUSD,Long,1,2025-09-10 13:09:40,2025-09-10 15:24:39,-0.99,-139.54,2025-09-09 23:59:59.999999999,2025-09-09,3633.648,40.885,-0.0003918158955684703,-0.0003918158955684703,-0.05515640532229005,0.013010955219264986,1.0574563713922716,0.020372068534731724,1.2825196560007153,0.06208918513877748,2.763947971824237,0.08811380728395868,2.7735938943576746,0.07547303369738323,1.6798701573313322,0.08479577680086692,1.5410349957846254,-0.010776988739544358,-0.010776988739544358,-0.9559062315780161,-0.002979536224684942,-0.15258291453051698,-0.0047094507695164545,-0.1868112914926326,0.047432397346379496,1.3304327874960271,0.07663041217510624,1.5198615472005665,0.044512911560365964,0.6242720199693025,0.12469201348168646,1.4278443795153488,0.7745192927304926,1.828578535407981,0.7637448289818598,0.7866165754486502,0.6966751167235323,0.49710205016738906,-0.0003918158955684703,-0.010776988739544358,-0.9559062315780161,0.013010955219264986,-0.002979536224684942,-0.15258291453051698,0.020372068534731724,-0.0047094507695164545,-0.1868112914926326,0.06208918513877748,0.047432397346379496,1.3304327874960271,0.08811380728395868,0.07663041217510624,1.5198615472005665,0.07547303369738323,0.044512911560365964,0.6242720199693025,0.08479577680086692,0.12469201348168646,1.4278443795153488,-1.828578535407981,-0.7866165754486502,-0.49710205016738906
engineered-liquidity-xau,Engineered Liquidity XAU,XAUUSD,Long,1,2025-09-10 02:00:00,2025-09-10 15:25:31,0.75,86.95,2025-09-09 23:59:59.999999999,2025-09-09,3633.648,40.885,-0.0003918158955684703,-0.0003918158955684703,-0.05515640532229005,0.013010955219264986,1.0574563713922716,0.020372068534731724,1.2825196560007153,0.06208918513877748,2.763947971824237,0.08811380728395868,2.7735938943576746,0.07547303369738323,1.6798701573313322,0.08479577680086692,1.5410349957846254,-0.010776988739544358,-0.010776988739544358,-0.9559062315780161,-0.002979536224684942,-0.15258291453051698,-0.0047094507695164545,-0.1868112914926326,0.047432397346379496,1.3304327874960271,0.07663041217510624,1.5198615472005665,0.044512911560365964,0.6242720199693025,0.12469201348168646,1.4278443795153488,0.7745192927304926,1.828578535407981,0.7637448289818598,0.7866165754486502,0.6966751167235323,0.49710205016738906,-0.0003918158955684703,-0.010776988739544358,-0.9559062315780161,0.013010955219264986,-0.002979536224684942,-0.15258291453051698,0.020372068534731724,-0.0047094507695164545,-0.1868112914926326,0.06208918513877748,0.047432397346379496,1.3304327874960271,0.08811380728395868,0.07663041217510624,1.5198615472005665,0.07547303369738323,0.044512911560365964,0.6242720199693025,0.08479577680086692,0.12469201348168646,1.4278443795153488,-1.828578535407981,-0.7866165754486502,-0.49710205016738906
xau-orb-london-ny-overlap-m30,XAU ORB London–NY M30,XAUUSD,Long,1,2025-09-11 15:30:00,2025-09-11 16:00:00,-0.35,-41.75,2025-09-10 23:59:59.999999999,2025-09-10,3644.995,41.202,0.0031178913960321353,0.0031178913960321353,0.4389753120298954,0.014855497770286163,1.2075515891454516,0.025666256487012262,1.616056872334464,0.055527288804094965,2.4722112684325297,0.09006502246908354,2.835438790845331,0.0882980772536115,1.9656236264069682,0.08455137657980316,1.5368241276739145,0.007723551252653671,0.007723551252653671,0.6857651462331235,0.00811496941456058,0.4159916713295892,0.011423674319029242,0.4536064137976525,0.03605307390272028,1.0122800420412403,0.07913903378370701,1.571209590868708,0.07635833944211123,1.0719754890973043,0.12347856036272864,1.415384084676388,0.7766705907679886,1.2254053140725896,0.7438501232219558,0.41750315768150975,0.6966923605940656,0.263758309846839,0.0031178913960321353,0.007723551252653671,0.6857651462331235,0.014855497770286163,0.00811496941456058,0.4159916713295892,0.025666256487012262,0.011423674319029242,0.4536064137976525,0.055527288804094965,0.03605307390272028,1.0122800420412403,0.09006502246908354,0.07913903378370701,1.571209590868708,0.0882980772536115,0.07635833944211123,1.0719754890973043,0.08455137657980316,0.12347856036272864,1.415384084676388,-1.2254053140725896,-0.41750315768150975,-0.263758309846839
xau-orb-new-york-m30,XAU ORB New York M30,XAUUSD,Short,-1,2025-09-12 15:30:00,2025-09-12 19:55:00,-0.15,-16.95,2025-09-11 23:59:59.999999999,2025-09-11,3631.922,41.525,-0.003593008980052659,-0.003593008980052659,-0.5078696800394071,-0.0008669334795889938,-0.07074880865443825,0.012535837635244462,0.7924326110328099,0.05195835123667436,2.3224658933698654,0.09151222583932217,2.892398345181027,0.08566028871847031,1.9144477666223605,0.08650413593137785,1.578538689171803,0.007808856632764538,0.007808856632764538,0.6950699025944185,0.0047554191458738515,0.2443819965530406,0.012552871660733267,0.4996882306659207,0.0426046380745464,1.1992173807928708,0.10545417179270622,2.098890594264202,0.08390526511837804,1.1808650045792464,0.12085215962745677,1.3887364177270967,0.6747153325278714,0.13937286589535774,0.7243320577851775,-0.4456269890255139,0.7075029127475392,-0.4785220581218693,-0.003593008980052659,0.007808856632764538,0.6950699025944185,-0.0008669334795889938,0.0047554191458738515,0.2443819965530406,0.012535837635244462,0.012552871660733267,0.4996882306659207,0.05195835123667436,0.0426046380745464,1.1992173807928708,0.09151222583932217,0.10545417179270622,2.098890594264202,0.08566028871847031,0.08390526511837804,1.1808650045792464,0.08650413593137785,0.12085215962745677,1.3887364177270967,-0.13937286589535774,0.4456269890255139,0.4785220581218693
xau-trend-progression,XAU Trend Progression,XAUUSD,Long,1,2025-09-11 16:00:00,2025-09-15 00:39:31,0.05,7.14,2025-09-10 23:59:59.999999999,2025-09-10,3644.995,41.202,0.0031178913960321353,0.0031178913960321353,0.4389753120298954,0.014855497770286163,1.2075515891454516,0.025666256487012262,1.616056872334464,0.055527288804094965,2.4722112684325297,0.09006502246908354,2.835438790845331,0.0882980772536115,1.9656236264069682,0.08455137657980316,1.5368241276739145,0.007723551252653671,0.007723551252653671,0.6857651462331235,0.00811496941456058,0.4159916713295892,0.011423674319029242,0.4536064137976525,0.03605307390272028,1.0122800420412403,0.07913903378370701,1.571209590868708,0.07635833944211123,1.0719754890973043,0.12347856036272864,1.415384084676388,0.7766705907679886,1.2254053140725896,0.7438501232219558,0.41750315768150975,0.6966923605940656,0.263758309846839,0.0031178913960321353,0.007723551252653671,0.6857651462331235,0.014855497770286163,0.00811496941456058,0.4159916713295892,0.025666256487012262,0.011423674319029242,0.4536064137976525,0.055527288804094965,0.03605307390272028,1.0122800420412403,0.09006502246908354,0.07913903378370701,1.571209590868708,0.0882980772536115,0.07635833944211123,1.0719754890973043,0.08455137657980316,0.12347856036272864,1.415384084676388,-1.2254053140725896,-0.41750315768150975,-0.263758309846839
orb-volume-profile-high-win-0-75r,ORB High-Win 0.75R,XAUUSD,Short,-1,2025-09-16 14:45:00,2025-09-16 15:06:21,0.69,72.54,2025-09-15 23:59:59.999999999,2025-09-15,3677.069,42.62,0.010593655943322844,0.010593655943322844,1.4770412573936187,0.012353982703350752,0.9944732919719583,0.011878865119330229,0.7406903922976025,0.03225093365406195,1.4219654825366128,0.08649753741320332,2.696717837763212,0.11263273173727661,2.483026669121586,0.09772335124826448,1.759014782157786,0.012180878618993418,0.012180878618993418,1.0681030118024066,0.02602797117111244,1.317692924124495,0.04156037905653065,1.629780142267724,0.036850928287014195,1.0218401349147757,0.09181792724438154,1.800308826870063,0.13735985550670282,1.9044271041104863,0.1468801307985692,1.6627308304158623,0.6527608462901119,-1.084977632134737,0.6896797395165262,-1.344160490316086,0.7129882242268475,-1.3279399304774298,0.010593655943322844,0.012180878618993418,1.0681030118024066,0.012353982703350752,0.02602797117111244,1.317692924124495,0.011878865119330229,0.04156037905653065,1.629780142267724,0.03225093365406195,0.036850928287014195,1.0218401349147757,0.08649753741320332,0.09181792724438154,1.800308826870063,0.11263273173727661,0.13735985550670282,1.9044271041104863,0.09772335124826448,0.1468801307985692,1.6627308304158623,1.084977632134737,1.344160490316086,1.3279399304774298
orb-volume-profile-volume-confirmed,ORB Volume-Confirmed,XAUUSD,Short,-1,2025-09-16 14:45:00,2025-09-16 16:23:04,-0.01,-0.66,2025-09-15 23:59:59.999999999,2025-09-15,3677.069,42.62,0.010593655943322844,0.010593655943322844,1.4770412573936187,0.012353982703350752,0.9944732919719583,0.011878865119330229,0.7406903922976025,0.03225093365406195,1.4219654825366128,0.08649753741320332,2.696717837763212,0.11263273173727661,2.483026669121586,0.09772335124826448,1.759014782157786,0.012180878618993418,0.012180878618993418,1.0681030118024066,0.02602797117111244,1.317692924124495,0.04156037905653065,1.629780142267724,0.036850928287014195,1.0218401349147757,0.09181792724438154,1.800308826870063,0.13735985550670282,1.9044271041104863,0.1468801307985692,1.6627308304158623,0.6527608462901119,-1.084977632134737,0.6896797395165262,-1.344160490316086,0.7129882242268475,-1.3279399304774298,0.010593655943322844,0.012180878618993418,1.0681030118024066,0.012353982703350752,0.02602797117111244,1.317692924124495,0.011878865119330229,0.04156037905653065,1.629780142267724,0.03225093365406195,0.036850928287014195,1.0218401349147757,0.08649753741320332,0.09181792724438154,1.800308826870063,0.11263273173727661,0.13735985550670282,1.9044271041104863,0.09772335124826448,0.1468801307985692,1.6627308304158623,1.084977632134737,1.344160490316086,1.3279399304774298
orb-volume-profile,ORB Volume Profile,XAUUSD,Short,-1,2025-09-16 14:45:00,2025-09-16 16:23:04,-0.01,-0.77,2025-09-15 23:59:59.999999999,2025-09-15,3677.069,42.62,0.010593655943322844,0.010593655943322844,1.4770412573936187,0.012353982703350752,0.9944732919719583,0.011878865119330229,0.7406903922976025,0.03225093365406195,1.4219654825366128,0.08649753741320332,2.696717837763212,0.11263273173727661,2.483026669121586,0.09772335124826448,1.759014782157786,0.012180878618993418,0.012180878618993418,1.0681030118024066,0.02602797117111244,1.317692924124495,0.04156037905653065,1.629780142267724,0.036850928287014195,1.0218401349147757,0.09181792724438154,1.800308826870063,0.13735985550670282,1.9044271041104863,0.1468801307985692,1.6627308304158623,0.6527608462901119,-1.084977632134737,0.6896797395165262,-1.344160490316086,0.7129882242268475,-1.3279399304774298,0.010593655943322844,0.012180878618993418,1.0681030118024066,0.012353982703350752,0.02602797117111244,1.317692924124495,0.011878865119330229,0.04156037905653065,1.629780142267724,0.03225093365406195,0.036850928287014195,1.0218401349147757,0.08649753741320332,0.09181792724438154,1.800308826870063,0.11263273173727661,0.13735985550670282,1.9044271041104863,0.09772335124826448,0.1468801307985692,1.6627308304158623,1.084977632134737,1.344160490316086,1.3279399304774298
xag-session-vwap-snapback,XAG Session VWAP Snapback,XAGUSD,Long,1,2025-09-24 17:00:00,2025-09-24 20:00:00,-0.14,-13.8,2025-09-23 23:59:59.999999999,2025-09-23,3763.927,43.948,0.0042732809386354376,0.0042732809386354376,0.5773548870037672,0.021208312615330627,1.6543480719766284,0.02547581829976231,1.539304507760018,0.035700842536122934,1.5253161415133556,0.0876591937727973,2.6482798419537854,0.10152564402813802,2.168838220792245,0.12214944031555319,2.130577109950508,-0.0015915243338460172,-0.0015915243338460172,-0.1391550208095046,0.019669751806688396,0.992941928965553,0.049656335127869156,1.9416692760879235,0.056711461339275626,1.5680374673876527,0.09931609941382202,1.941736319808295,0.13687859979233075,1.8923050816298703,0.15067155953656508,1.7007530390927625,0.7150461965195419,-1.1127785123568388,0.7820967279020857,-1.6278788801226116,0.7498494145726381,-1.6010673426870274,-0.0015915243338460172,0.0042732809386354376,0.5773548870037672,0.019669751806688396,0.021208312615330627,1.6543480719766284,0.049656335127869156,0.02547581829976231,1.539304507760018,0.056711461339275626,0.035700842536122934,1.5253161415133556,0.09931609941382202,0.0876591937727973,2.6482798419537854,0.13687859979233075,0.10152564402813802,2.168838220792245,0.15067155953656508,0.12214944031555319,2.130577109950508,-1.1127785123568388,-1.6278788801226116,-1.6010673426870274
orb-volume-profile-volume-confirmed,ORB Volume-Confirmed,XAUUSD,Short,-1,2025-10-01 15:20:00,2025-10-01 19:55:00,-0.35,-42.41,2025-09-30 23:59:59.999999999,2025-09-30,3863.007,46.714,0.007820285434512186,0.007820285434512186,1.0389360199984512,0.026728844480381042,2.0501505569679397,0.031558466823373266,1.874981956451549,0.059374580574308666,2.4944037660741016,0.07294639979838458,2.166980800676495,0.14678402887786213,3.083294491438453,0.11960367655483317,2.051327978205331,-0.002223838747394069,-0.002223838747394069,-0.18645263171572238,0.014229284579857282,0.6887913151133359,0.061378159497185614,2.301410466898242,0.11301533799319063,2.9964194876829278,0.1336720761632515,2.506056859103375,0.2061946226141278,2.733458999581215,0.17429630381737526,1.886591080933504,0.5900489349745207,-1.265048032235003,0.6584400119342227,-1.9886757435670879,0.6938544987141484,-2.2683549831871073,0.007820285434512186,-0.002223838747394069,-0.18645263171572238,0.026728844480381042,0.014229284579857282,0.6887913151133359,0.031558466823373266,0.061378159497185614,2.301410466898242,0.059374580574308666,0.11301533799319063,2.9964194876829278,0.07294639979838458,0.1336720761632515,2.506056859103375,0.14678402887786213,0.2061946226141278,2.733458999581215,0.11960367655483317,0.17429630381737526,1.886591080933504,1.265048032235003,1.9886757435670879,2.2683549831871073
