rule,family,return_pct,pf,win_rate,dd_pct,trades,sharpe,recovery,final_equity
baseline,baseline,567.3662,1.1979,39.2523,29.9849,1391,1.3895,18.9217,66736.62
peer-direction-1d,peer,190.9485,1.1684,39.1451,32.5437,889,1.2298,5.8675,29094.85
peer-direction-3d,peer,259.1334,1.2047,39.1877,28.4075,911,1.4397,9.122,35913.34
peer-direction-5d,peer,272.7514,1.2246,40.2886,27.3302,901,1.5482,9.9799,37275.14
peer-direction-10d,peer,55.6072,1.0838,36.8932,31.0096,927,0.6715,1.7932,15560.72
peer-direction-20d,peer,283.8438,1.2201,38.4152,24.6594,997,1.4606,11.5106,38384.38
peer-direction-40d,peer,144.5872,1.1496,37.1996,25.056,957,1.1168,5.7706,24458.72
both-metals-direction-3d,both,151.4765,1.1723,37.7807,28.7889,757,1.2742,5.2616,25147.65
metals-agree-3d,agree,443.5326,1.2419,40.208,24.2358,1154,1.6996,18.3007,54353.26
both-metals-direction-5d,both,193.1336,1.2329,40.0799,28.4154,751,1.6099,6.7968,29313.36
metals-agree-5d,agree,423.7269,1.2941,40.5669,25.4946,1129,1.9586,16.6203,52372.69
both-metals-direction-10d,both,104.5977,1.1727,37.664,29.2005,762,1.2946,3.5821,20459.77
metals-agree-10d,agree,576.1784,1.299,39.7634,22.5066,1099,1.9169,25.6004,67617.84
both-metals-direction-20d,both,67.3092,1.0981,36.0714,36.1784,840,0.7168,1.8605,16730.92
metals-agree-20d,agree,294.9221,1.1955,39.2627,30.9238,1085,1.3642,9.5371,39492.21
both-metals-direction-40d,both,153.4874,1.1832,36.8165,22.0889,823,1.3433,6.9486,25348.74
metals-agree-40d,agree,501.149,1.2587,40.1204,26.0222,997,1.8429,19.2586,60114.9
peer-impulse-3d-0.25,impulse,143.696,1.1722,38.2865,27.7245,747,1.3054,5.183,24369.6
peer-impulse-3d-0.50,impulse,43.7379,1.0959,37.1886,27.3741,562,0.7464,1.5978,14373.79
peer-impulse-3d-0.75,impulse,13.0081,1.0393,35.5856,27.2968,444,0.3066,0.4765,11300.81
peer-impulse-3d-1.00,impulse,24.4089,1.1236,37.8571,18.3325,280,0.898,1.3315,12440.89
peer-impulse-5d-0.25,impulse,236.4813,1.2445,40.7068,29.8996,764,1.7254,7.9092,33648.13
peer-impulse-5d-0.50,impulse,148.9538,1.2489,41.0714,19.7598,616,1.6875,7.5382,24895.38
peer-impulse-5d-0.75,impulse,106.6278,1.2546,40.4211,18.9073,475,1.7036,5.6395,20662.78
peer-impulse-5d-1.00,impulse,53.2817,1.1867,38.7283,21.402,346,1.2809,2.4896,15328.17
peer-impulse-10d-0.25,impulse,33.7735,1.0655,36.6577,31.7646,742,0.5276,1.0632,13377.35
peer-impulse-10d-0.50,impulse,20.2688,1.0519,36.1111,25.0757,576,0.4098,0.8083,12026.88
peer-impulse-10d-0.75,impulse,41.3194,1.122,37.3576,24.7592,439,0.8949,1.6688,14131.94
peer-impulse-10d-1.00,impulse,35.1288,1.1426,36.236,24.7317,356,1.0622,1.4204,13512.88
peer-impulse-20d-0.25,impulse,215.7045,1.2415,38.0368,26.56,815,1.6606,8.1214,31570.45
peer-impulse-20d-0.50,impulse,52.2254,1.1106,35.3218,39.0522,637,0.8437,1.3373,15222.54
peer-impulse-20d-0.75,impulse,0.4041,1.0014,34.5133,27.7023,452,0.0118,0.0146,10040.41
peer-impulse-20d-1.00,impulse,-23.8297,0.8619,31.761,28.6878,318,-1.2494,-0.8307,7617.03
corr-peer-20d-0.00,corr,287.6994,1.2251,38.5081,24.6594,992,1.4786,11.6669,38769.94
corr-peer-20d-0.25,corr,256.6054,1.2029,38.3603,24.7763,988,1.3504,10.3569,35660.54
corr-peer-20d-0.50,corr,241.364,1.2086,38.5928,27.9914,938,1.407,8.6228,34136.4
ratio-convergence-20d-0.25,convergence,117.7523,1.1654,39.4495,22.3773,763,1.2442,5.2621,21775.23
ratio-continuation-20d-0.25,continuation,245.5647,1.301,42.0601,22.2819,699,1.9041,11.0208,34556.47
ratio-convergence-20d-0.50,convergence,108.2269,1.2041,38.829,22.6944,649,1.4605,4.7689,20822.69
ratio-continuation-20d-0.50,continuation,205.0838,1.3099,42.3948,20.2149,618,1.9543,10.1452,30508.38
