slug,orb_minutes,cutoff_minutes,reward_risk,require_bullish_breakout,direction,training_initial_balance,training_final_balance,training_return_pct,training_profit_factor,training_win_rate_pct,training_max_drawdown_pct,training_trades,training_wins,training_losses,training_gross_profit,training_gross_loss,validation_initial_balance,validation_final_balance,validation_return_pct,validation_profit_factor,validation_win_rate_pct,validation_max_drawdown_pct,validation_trades,validation_wins,validation_losses,validation_gross_profit,validation_gross_loss,locked_initial_balance,locked_final_balance,locked_return_pct,locked_profit_factor,locked_win_rate_pct,locked_max_drawdown_pct,locked_trades,locked_wins,locked_losses,locked_gross_profit,locked_gross_loss,full_initial_balance,full_final_balance,full_return_pct,full_profit_factor,full_win_rate_pct,full_max_drawdown_pct,full_trades,full_wins,full_losses,full_gross_profit,full_gross_loss,eligible,score
orb15-cut60-rr1.5-bull1-long,15,60,1.5,True,long,10000.0,12087.23251590372,20.872325159037185,1.0759267455765151,50.81374321880651,17.319513183200463,553,281,272,29577.315227275823,-27490.082711372113,10000.0,12080.201343797955,20.80201343797954,1.2445664958048444,51.87165775401069,7.915526049271021,187,97,90,10585.869043505618,-8505.667699707663,10000.0,10553.875337762816,5.538753377628169,1.0911003257697154,55.86206896551724,9.244924243488095,145,81,64,6633.71460379238,-6079.8392660295785,10000.0,15410.36798282423,54.10367982824229,1.1159812799518547,51.864406779661024,17.319513183200463,885,459,426,52058.999426364666,-46648.6314435405,True,8.826020508934985
orb15-cut60-rr1.5-bull0-long,15,60,1.5,False,long,10000.0,11846.615183196625,18.46615183196625,1.0680021485608067,50.630630630630634,17.319513183200513,555,281,274,29001.862808136837,-27155.247624940162,10000.0,12080.201343797955,20.80201343797954,1.2445664958048444,51.87165775401069,7.915526049271021,187,97,90,10585.869043505618,-8505.667699707663,10000.0,10553.875337762816,5.538753377628169,1.0911003257697154,55.86206896551724,9.244924243488095,145,81,64,6633.71460379238,-6079.8392660295785,10000.0,15103.597873522238,51.035978735222386,1.1111110352852642,51.747463359639234,17.319513183200513,887,459,428,51036.01008099956,-45932.41220747725,True,8.25644932809465
orb30-cut60-rr1-bull1-long,30,60,1.0,True,long,10000.0,11123.178106024492,11.231781060244916,1.0785653074100328,55.778894472361806,8.30885913237858,398,222,176,15419.285930851473,-14296.107824826968,10000.0,11228.589070154636,12.285890701546354,1.2237468959821545,56.774193548387096,6.607480603285105,155,88,67,6719.56611706138,-5490.97704690674,10000.0,10868.409633950147,8.684096339501469,1.3097046246073167,62.5,5.549466635450614,96,60,36,3672.402745293675,-2803.993111343526,10000.0,13574.382367831648,35.743823678316474,1.1495185907819632,57.01078582434514,8.30885913237858,649,370,279,27480.32175060748,-23905.939382775807,True,7.363744129369135
orb30-cut60-rr1-bull0-long,30,60,1.0,False,long,10000.0,11011.91943140018,10.119194314001788,1.0709768208376653,55.639097744360896,8.577552807243007,399,222,177,15268.960243563391,-14257.0408121632,10000.0,11228.589070154636,12.285890701546354,1.2237468959821545,56.774193548387096,6.607480603285105,155,88,67,6719.56611706138,-5490.97704690674,10000.0,10868.409633950147,8.684096339501469,1.3097046246073167,62.5,5.549466635450614,96,60,36,3672.402745293675,-2803.993111343526,10000.0,13438.605724079933,34.38605724079933,1.1446570093695536,56.92307692307692,8.577552807243007,650,370,280,27209.35654401012,-23770.75081993016,True,6.838853733413901
orb30-cut60-rr0.75-bull1-long,30,60,0.75,True,long,10000.0,11400.24537749415,14.002453774941493,1.100550451539748,58.79396984924623,7.558716204035965,398,234,164,15326.044377418411,-13925.798999924258,10000.0,10793.200674080119,7.93200674080119,1.1512809707154732,59.354838709677416,5.644399345751609,155,92,63,6036.429021497035,-5243.228347416917,10000.0,10821.497971793191,8.214979717931904,1.3023432842933056,63.541666666666664,5.549466635450611,96,61,35,3538.60139187861,-2717.103420085413,10000.0,13315.326906699447,33.153269066994476,1.1426163491582237,59.630200308166415,7.558716204035965,649,387,262,26561.798480735255,-23246.471574035837,True,6.492218717879843
orb30-cut60-rr1.25-bull1-long,30,60,1.25,True,long,10000.0,11452.183981561804,14.521839815618032,1.0972917145001886,54.773869346733676,9.110429750412802,398,218,180,16378.264676326293,-14926.080694764489,10000.0,10873.360996416757,8.733609964167567,1.151888167075618,54.83870967741935,6.809063874737083,155,85,70,6623.387566833893,-5750.0265704171325,10000.0,10726.087703638534,7.260877036385338,1.2516993997971346,61.458333333333336,5.549466635450588,96,59,37,3610.829201726089,-2884.741498087563,10000.0,13356.52455909872,33.56524559098719,1.1337084741031838,55.77812018489985,9.110429750412802,649,362,287,28459.829204610538,-25103.30464551179,True,6.416769540373568
orb30-cut60-rr0.75-bull0-long,30,60,0.75,False,long,10000.0,11286.215360263264,12.862153602632652,1.092594172273347,58.64661654135338,7.55871620403593,399,234,165,15177.104264872047,-13890.888904608779,10000.0,10793.200674080119,7.93200674080119,1.1512809707154732,59.354838709677416,5.644399345751609,155,92,63,6036.429021497035,-5243.228347416917,10000.0,10821.497971793191,8.214979717931904,1.3023432842933056,63.541666666666664,5.549466635450611,96,61,35,3538.60139187861,-2717.103420085413,10000.0,13182.141443902003,31.821414439020025,1.137645804808214,59.53846153846154,7.55871620403593,650,387,263,26300.473661405973,-23118.332217503972,True,6.267765174680208
orb30-cut90-rr1-bull1-long,30,90,1.0,True,long,10000.0,11428.003100484431,14.280031004844318,1.0854530897950443,55.55555555555556,10.522404004348864,495,275,220,18138.96234033706,-16710.95923985261,10000.0,10960.863485254651,9.608634852546505,1.1424554882133529,54.644808743169406,8.986705492787497,183,100,83,7705.872030068224,-6745.008544813571,10000.0,10708.21701574315,7.082170157431511,1.1953951538456022,59.50413223140496,6.666183179760525,121,72,49,4332.754276799065,-3624.5372610559252,10000.0,13413.196360770175,34.13196360770174,1.1178619173327862,55.94493116395495,10.522404004348864,799,447,352,32372.47717013421,-28959.28080936401,True,6.233412689543209
orb30-cut90-rr1-bull0-long,30,90,1.0,False,long,10000.0,11427.999574921421,14.279995749214214,1.0854528887213775,55.55555555555556,10.522404004348756,495,275,220,18138.956878863057,-16710.957303941643,10000.0,10960.863485254651,9.608634852546505,1.1424554882133529,54.644808743169406,8.986705492787497,183,100,83,7705.872030068224,-6745.008544813571,10000.0,10708.21701574315,7.082170157431511,1.1953951538456022,59.50413223140496,6.666183179760525,121,72,49,4332.754276799065,-3624.5372610559252,10000.0,13413.192222770878,34.13192222770878,1.117861797700225,55.94493116395495,10.522404004348756,799,447,352,32372.467317590916,-28959.27509482007,True,6.233405922121429
orb30-cut60-rr1.25-bull0-long,30,60,1.25,False,long,10000.0,11337.634452713348,13.376344527133476,1.0898943133324834,54.63659147869674,9.110429750412745,399,218,181,16217.713104251323,-14880.078651537971,10000.0,10873.360996416757,8.733609964167567,1.151888167075618,54.83870967741935,6.809063874737083,155,85,70,6623.387566833893,-5750.0265704171325,10000.0,10726.087703638534,7.260877036385338,1.2516993997971346,61.458333333333336,5.549466635450588,96,59,37,3610.829201726089,-2884.741498087563,10000.0,13222.927020169824,32.229270201698235,1.129146932610309,55.69230769230769,9.110429750412745,650,362,288,28178.43277650675,-24955.505756336926,True,6.195841285358011
