label,chart,initial_balance,final_balance,net_profit,return_pct,equity_dd_pct,equity_dd_amt,balance_dd_pct,balance_dd_amt,profit_factor,recovery_factor,sharpe_ratio,trades,wins,losses,win_rate,average_win,average_loss,largest_win,largest_loss
ATR Candle Breakout,XAUUSD H1,10000.0,12554.1,2554.1,25.540999999999997,8.77,1157.89,8.61,1127.84,1.34,2.21,3.23,115,29,86,25.22,348.58,-87.54,397.54,-100.0
Go Long,US30 D1,10000.0,11392.5,1392.5,13.925,8.34,896.38,7.83,838.47,1.16,1.55,0.88,312,157,155,50.32,64.61,-56.16,334.53,-180.56
AAA Final EMA3,XAUUSD H4,10000.0,11619.52,1619.52,16.1952,4.1,411.06,3.5,349.56,2.21,3.94,3.88,39,24,15,61.54,123.39,-89.24,192.32,-114.21
AAA Final Asia Breakout,XAUUSD H1,10000.0,11442.45,1442.45,14.424500000000002,12.15,1579.94,11.44,1478.74,1.18,0.91,1.56,118,42,76,35.59,221.61,-103.14,360.71,-146.72
AAA Final Weekend Direction,XAUUSD M15,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
AAA Final XAU Weakness,XAUUSD M15,10000.0,10506.74,506.74,5.0674,16.55,2075.86,15.96,1995.84,1.03,0.24,0.41,275,96,179,34.91,190.52,-98.73,246.46,-182.72
LTA Volume Profile,XAUUSD M15,10000.0,19214.620000000003,9214.62,92.14620000000001,14.82,2084.51,12.47,1713.43,1.41,4.42,4.48,244,80,164,32.79,393.76,-134.9,570.8,-192.8
