date,balance
2025-08-05,9725.32
2025-08-06,9466.25
2025-08-07,9744.13
2025-08-08,9743.76
2025-08-10,9766.79
2025-08-11,9408.08
2025-08-12,9428.84
2025-08-13,9371.49
2025-08-14,9217.28
2025-08-15,9121.61
2025-08-17,9090.98
2025-08-18,8981.08
2025-08-19,8794.50
2025-08-20,8696.85
2025-08-21,8473.62
2025-08-22,8205.91
2025-08-24,8397.23
2025-08-25,7656.97
2025-08-26,7612.43
2025-08-27,7542.25
2025-08-28,7549.53
2025-08-29,8535.43
2025-08-31,8545.76
2025-09-01,8559.20
2025-09-02,9167.51
2025-09-03,9500.95
2025-09-04,9880.00
2025-09-05,10388.82
2025-09-07,10408.09
2025-09-08,10570.25
2025-09-09,10913.37
2025-09-10,10796.87
2025-09-11,10936.36
2025-09-12,11100.64
2025-09-14,11021.24
2025-09-15,11422.62
2025-09-16,11586.92
2025-09-17,11621.34
2025-09-18,11466.43
2025-09-19,11465.39
2025-09-21,11625.91
2025-09-22,12416.42
2025-09-23,12462.76
2025-09-24,12383.72
2025-09-25,12210.81
2025-09-26,12132.14
2025-09-28,12211.67
2025-09-29,13156.45
2025-09-30,13077.13
2025-10-01,13247.42
2025-10-02,13465.39
2025-10-03,13450.56
2025-10-05,13520.63
2025-10-06,14164.89
2025-10-07,14428.30
2025-10-08,15036.67
2025-10-09,14663.87
2025-10-10,14494.76
2025-10-12,14413.91
2025-10-13,15649.07
2025-10-14,15979.40
2025-10-15,16383.58
2025-10-16,16743.70
2025-10-17,16182.24
2025-10-19,16155.64
2025-10-20,16026.64
2025-10-21,16649.19
2025-10-22,16298.15
2025-10-23,16239.28
2025-10-24,16000.52
2025-10-26,16081.07
2025-10-27,16033.51
2025-10-28,15969.98
2025-10-29,15617.55
2025-10-30,16267.98
2025-10-31,15821.35
2025-11-02,15839.03
2025-11-03,15530.13
2025-11-04,15443.15
2025-11-05,15432.78
2025-11-06,15319.75
2025-11-07,14988.89
2025-11-09,14986.56
2025-11-10,15887.87
2025-11-11,15813.19
2025-11-12,16138.03
2025-11-13,15905.68
2025-11-14,16279.93
