symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,spread_r,spread_points,setup_score,bpr_low,bpr_high,reason,pnl,balance
US30,M30,2026-05,2026-05-27 12:00:00,2026-05-27 14:00:00,SELL,50647.1,50791.38422,50069.96311,50791.38422,SL,-1.0159,0.0159,23.0,100,50661.9,50687.0,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.; Dynamic stop widened to 2.48 ATR; lot sizing must preserve the configured dollar-risk cap.,-15.24,284.76
US30,M15,2026-05,2026-05-28 08:15:00,2026-05-28 08:45:00,BUY,50649.7,50591.41194,50882.85225,50661.5,SMART_EXIT,0.1664,0.036,21.0,100,50629.5,50632.1,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.; Dynamic stop widened to 1.63 ATR; lot sizing must preserve the configured dollar-risk cap.,2.37,287.13
US30,M15,2026-05,2026-05-29 18:15:00,2026-05-29 19:15:00,SELL,51013.2,51138.0424,50513.83042,51107.7,SMART_EXIT,-0.7738,0.0168,21.0,97,51016.0,51021.4,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.; Dynamic stop widened to 2.13 ATR; lot sizing must preserve the configured dollar-risk cap.,-11.11,276.02
US30,M15,2026-06,2026-06-01 23:45:00,2026-06-02 00:00:00,BUY,50971.4,50919.51071,51178.95714,50919.51071,SL,-1.0443,0.0443,23.0,98,50952.8,50953.0,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.; Dynamic stop widened to 1.50 ATR; lot sizing must preserve the configured dollar-risk cap.,-14.41,261.61
US30,M15,2026-06,2026-06-02 14:00:00,2026-06-02 23:00:00,BUY,51007.5,50686.125,52293.0,51336.4,SMART_EXIT,1.0169,0.0065,21.0,100,50941.6,50952.9,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.; Dynamic stop widened to 3.50 ATR; lot sizing must preserve the configured dollar-risk cap.,13.3,274.91
US30,M15,2026-06,2026-06-03 13:30:00,2026-06-04 04:00:00,SELL,51147.1,51348.2,50342.7,50794.7,SMART_EXIT,1.7419,0.0104,21.0,100,51240.6,51243.8,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.; Dynamic stop widened to 3.50 ATR; lot sizing must preserve the configured dollar-risk cap.,23.94,298.85
XAUUSD,M30,2026-06,2026-06-08 02:00:00,2026-06-08 06:00:00,SELL,4314.761,4347.73136,4182.87956,4305.97,SMART_EXIT,0.2666,0.0001,260.0,100,4329.822,4332.843,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.; Dynamic stop widened to 1.97 ATR; lot sizing must preserve the configured dollar-risk cap.,3.98,302.84
US30,M30,2026-06,2026-06-10 12:30:00,2026-06-11 01:00:00,SELL,50690.4,50944.78597,49672.85614,50100.2,SMART_EXIT,2.3122,0.0079,20.0,99,50709.5,50758.1,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.; Dynamic stop widened to 2.22 ATR; lot sizing must preserve the configured dollar-risk cap.,35.01,337.85
US30,M30,2026-06,2026-06-11 12:00:00,2026-06-11 14:00:00,BUY,50239.1,50111.01276,50751.44896,50239.1,TRAIL,-0.0164,0.0164,21.0,99,50189.7,50208.2,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.; Dynamic stop widened to 1.58 ATR; lot sizing must preserve the configured dollar-risk cap.,-0.28,337.57
US30,M15,2026-06,2026-06-12 11:15:00,2026-06-12 13:00:00,SELL,51253.4,51452.97842,50455.08632,51178.6,SMART_EXIT,0.3643,0.0105,21.0,100,51260.6,51272.6,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.; Dynamic stop widened to 2.33 ATR; lot sizing must preserve the configured dollar-risk cap.,6.15,343.72
