server_time,event,detail,bias,zone_dir,zone_origin,zone_created,zone_low,zone_high,touch_time,held_at,hold_extreme,m5_high_time,m5_high,m5_low_time,m5_low,entry,stop,target,lots,risk_cash,equity
2026.03.05 00:00:00,init,tester-only; self-tests passed; frozen rules v1,0,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.05 00:00:00,bias,last fourteen completed daily candles,1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.06 00:00:00,bias,last fourteen completed daily candles,1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.06 15:00:00,zone,H1 high-low-break,1,1,2026.03.06 08:00:00,2026.03.06 15:00:00,5119.738,5123.329,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.08 22:03:03,bias,last fourteen completed daily candles,1,1,2026.03.06 08:00:00,2026.03.06 15:00:00,5119.738,5123.329,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.08 22:10:00,touch,first completed M5 touch,1,1,2026.03.06 08:00:00,2026.03.06 15:00:00,5119.738,5123.329,2026.03.08 22:05:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.08 22:50:00,invalidate,M5 close through far edge,1,1,2026.03.06 08:00:00,2026.03.06 15:00:00,5119.738,5123.329,2026.03.08 22:05:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.09 00:00:00,bias,last fourteen completed daily candles,1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.10 00:00:00,bias,last fourteen completed daily candles,0,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.11 00:00:00,bias,last fourteen completed daily candles,-1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.12 00:00:00,bias,last fourteen completed daily candles,0,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.13 00:00:00,bias,last fourteen completed daily candles,0,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.15 22:01:30,bias,last fourteen completed daily candles,0,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.16 00:00:00,bias,last fourteen completed daily candles,-1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.17 00:00:00,bias,last fourteen completed daily candles,-1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.17 11:00:00,zone,H1 low-high-break,-1,-1,2026.03.17 06:00:00,2026.03.17 11:00:00,5005.088,5010.274,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.17 11:15:00,touch,first completed M5 touch,-1,-1,2026.03.17 06:00:00,2026.03.17 11:00:00,5005.088,5010.274,2026.03.17 11:10:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.17 12:20:00,invalidate,M5 close through far edge,-1,-1,2026.03.17 06:00:00,2026.03.17 11:00:00,5005.088,5010.274,2026.03.17 11:10:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.18 00:00:00,bias,last fourteen completed daily candles,-1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.18 11:00:00,zone,H1 low-high-break,-1,-1,2026.03.18 04:00:00,2026.03.18 11:00:00,4981.713,4987.003,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.18 22:00:49,zone,H1 low-high-break,-1,-1,2026.03.18 13:00:00,2026.03.18 21:00:00,4834.093,4878.207,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.18 22:05:00,touch,first completed M5 touch,-1,-1,2026.03.18 13:00:00,2026.03.18 21:00:00,4834.093,4878.207,2026.03.18 22:00:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.18 22:55:00,held,at least two rejection wicks in three closed M5 bars,-1,-1,2026.03.18 13:00:00,2026.03.18 21:00:00,4834.093,4878.207,2026.03.18 22:00:00,2026.03.18 22:55:00,4838.819,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.19 00:00:00,bias,last fourteen completed daily candles,-1,-1,2026.03.18 13:00:00,2026.03.18 21:00:00,4834.093,4878.207,2026.03.18 22:00:00,2026.03.18 22:55:00,4838.819,2026.03.18 23:40:00,4842.612,2026.03.18 23:15:00,4828.221,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.19 07:00:00,zone,H1 low-high-break,-1,-1,2026.03.18 22:00:00,2026.03.19 07:00:00,4804.433,4828.251,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.20 00:00:00,bias,last fourteen completed daily candles,-1,-1,2026.03.18 22:00:00,2026.03.19 07:00:00,4804.433,4828.251,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.20 11:00:00,zone,H1 low-high-break,-1,-1,2026.03.20 06:00:00,2026.03.20 11:00:00,4661.429,4669.184,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.20 11:10:00,touch,first completed M5 touch,-1,-1,2026.03.20 06:00:00,2026.03.20 11:00:00,4661.429,4669.184,2026.03.20 11:05:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.20 11:45:00,invalidate,M5 close through far edge,-1,-1,2026.03.20 06:00:00,2026.03.20 11:00:00,4661.429,4669.184,2026.03.20 11:05:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.22 22:01:30,bias,last fourteen completed daily candles,-1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.23 00:00:00,bias,last fourteen completed daily candles,-1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.24 00:00:00,bias,last fourteen completed daily candles,-1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.24 02:00:00,zone,H1 low-high-break,-1,-1,2026.03.23 15:00:00,2026.03.24 02:00:00,4351.059,4363.832,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.24 02:30:00,touch,first completed M5 touch,-1,-1,2026.03.23 15:00:00,2026.03.24 02:00:00,4351.059,4363.832,2026.03.24 02:25:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.24 02:35:00,invalidate,M5 close through far edge,-1,-1,2026.03.23 15:00:00,2026.03.24 02:00:00,4351.059,4363.832,2026.03.24 02:25:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.25 00:00:00,bias,last fourteen completed daily candles,-1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.25 22:00:55,zone,H1 low-high-break,-1,-1,2026.03.25 15:00:00,2026.03.25 21:00:00,4525.107,4559.205,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.25 22:10:00,touch,first completed M5 touch,-1,-1,2026.03.25 15:00:00,2026.03.25 21:00:00,4525.107,4559.205,2026.03.25 22:05:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.26 00:00:00,bias,last fourteen completed daily candles,-1,-1,2026.03.25 15:00:00,2026.03.25 21:00:00,4525.107,4559.205,2026.03.25 22:05:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.26 06:00:00,zone,H1 low-high-break,-1,-1,2026.03.25 23:00:00,2026.03.26 06:00:00,4488.956,4498.221,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.26 17:00:00,zone,H1 low-high-break,-1,-1,2026.03.26 12:00:00,2026.03.26 17:00:00,4416.338,4423.339,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.26 20:40:00,touch,first completed M5 touch,-1,-1,2026.03.26 12:00:00,2026.03.26 17:00:00,4416.338,4423.339,2026.03.26 20:35:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.27 00:00:00,bias,last fourteen completed daily candles,-1,-1,2026.03.26 12:00:00,2026.03.26 17:00:00,4416.338,4423.339,2026.03.26 20:35:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.27 02:05:00,invalidate,M5 close through far edge,-1,-1,2026.03.26 12:00:00,2026.03.26 17:00:00,4416.338,4423.339,2026.03.26 20:35:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.29 22:04:32,bias,last fourteen completed daily candles,-1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.30 00:00:00,bias,last fourteen completed daily candles,-1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.03.31 00:00:00,bias,last fourteen completed daily candles,-1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.04.01 00:00:00,bias,last fourteen completed daily candles,0,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.04.02 00:00:00,bias,last fourteen completed daily candles,0,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.04.05 22:01:45,bias,last fourteen completed daily candles,0,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.04.06 00:00:00,bias,last fourteen completed daily candles,0,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.04.07 00:00:00,bias,last fourteen completed daily candles,1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2026.04.07 09:00:00,zone,H1 high-low-break,1,1,2026.04.07 04:00:00,2026.04.07 09:00:00,4659.785,4664.276,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
