time,open,high,low,close,spread,tick_volume
2021.07.23 00:00:00,14986.91,15129.81,14946.59,15112.97,265,34619
2021.07.25 00:00:00,15114.61,15138.93,15111.76,15135.36,282,1312
2021.07.26 00:00:00,15135.16,15146.68,15052.26,15125.95,269,40210
2021.07.27 00:00:00,15125.71,15144.46,14785.16,14931.87,270,46763
2021.07.28 00:00:00,14930.96,15083.83,14904.74,15000.2,275,50601
2021.07.29 00:00:00,14999.77,15094.36,14872.8,14881.29,272,41557
2021.07.30 00:00:00,14881.06,14988.64,14822.14,14957.12,275,46371
2021.08.01 00:00:00,15003.91,15021.51,15003.16,15012.08,283,1524
2021.08.02 00:00:00,15011.97,15066.0,14944.47,14972.96,268,41351
2021.08.03 00:00:00,14973.04,15060.19,14861.64,15043.77,268,41837
2021.08.04 00:00:00,15043.26,15121.1,15011.23,15096.04,265,38040
2021.08.05 00:00:00,15096.13,15177.77,15082.51,15171.14,265,34095
2021.08.06 00:00:00,15171.55,15180.4,15061.03,15106.81,258,32923
2021.08.08 00:00:00,15084.23,15084.74,15014.07,15031.91,290,2223
2021.08.09 00:00:00,15032.37,15155.97,15023.62,15128.24,265,33351
2021.08.10 00:00:00,15128.03,15167.4,15007.31,15046.52,267,33120
2021.08.11 00:00:00,15046.8,15129.21,14975.11,15004.76,262,36807
2021.08.12 00:00:00,15004.68,15099.29,14950.91,15076.73,260,31358
2021.08.13 00:00:00,15076.93,15150.62,15064.64,15129.56,263,27827
2021.08.15 00:00:00,15123.19,15130.82,15119.97,15122.3,282,953
2021.08.16 00:00:00,15122.4,15141.31,14925.32,15138.34,265,36370
2021.08.17 00:00:00,15138.22,15140.27,14905.81,14962.02,266,43644
2021.08.18 00:00:00,14962.26,15042.24,14842.8,14850.64,267,41238
2021.08.19 00:00:00,14850.34,15003.19,14715.61,14921.34,268,54711
2021.08.20 00:00:00,14921.63,15104.3,14857.06,15095.38,271,45359
2021.08.22 00:00:00,15119.2,15124.4,15110.72,15112.08,281,1197
2021.08.23 00:00:00,15111.77,15340.7,15107.85,15335.16,266,34791
2021.08.24 00:00:00,15335.94,15387.22,15314.44,15364.16,260,32777
2021.08.25 00:00:00,15363.93,15402.45,15339.43,15367.51,265,32734
