asset,proxy,variant,initial_balance,final_balance,net_profit,return_pct,max_equity_dd_amount,max_equity_dd_pct,profit_factor,win_rate_pct,wins,losses,trades,gross_profit,gross_loss,largest_win,largest_loss,average_win,average_loss,sharpe,param_window,param_threshold,param_signal_gate,param_atr_period,param_atr_multiple,param_reward_risk,param_risk_pct,param_max_leverage,param_direction_mode
XAU,GC=F,literal,10000.0,10775.6,775.6,7.756,630.24,5.6629,2.3751,33.3333,7,14,21,1339.63,-564.03,516.43,-111.07,191.38,-40.29,1.518,20,0.05,0.0,14,3.0,0.0,1.0,2.0,both
XAU,GC=F,optimized,10000.0,10599.63,599.63,5.9963,194.29,1.8537,5.4977,70.0,7,3,10,732.94,-133.32,309.08,-107.25,104.71,-44.44,1.9068,40,0.05,0.05,14,4.0,3.0,1.0,2.0,long_only
US100,NQ=F,literal,10000.0,10167.42,167.42,1.6742,326.76,3.1905,1.4859,38.4615,5,8,13,511.97,-344.56,313.48,-78.48,102.39,-43.07,0.5285,20,0.05,0.0,14,3.0,0.0,1.0,2.0,both
US100,NQ=F,optimized,10000.0,9830.22,-169.78,-1.6978,749.24,7.2368,0.8207,33.3333,10,20,30,777.19,-946.96,299.19,-103.0,77.72,-47.35,-0.3018,20,0.02,0.0,14,2.0,0.0,1.0,2.0,long_only
BTC,BTC-USD,literal,10000.0,9959.83,-40.17,-0.4017,497.49,4.9488,0.9593,23.913,11,35,46,946.33,-986.5,244.08,-99.69,86.03,-28.19,-0.0366,20,0.05,0.0,14,3.0,0.0,1.0,2.0,both
BTC,BTC-USD,optimized,10000.0,10382.79,382.79,3.8279,427.57,4.2422,1.7328,40.0,8,12,20,905.18,-522.4,651.72,-93.72,113.15,-43.53,0.6702,40,0.02,0.0,14,2.0,0.0,1.0,2.0,long_only
ETH,ETH-USD,literal,10000.0,10171.96,171.96,1.7196,394.35,3.8469,1.2211,34.1463,14,27,41,949.54,-777.58,235.12,-94.55,67.82,-28.8,0.3166,20,0.05,0.0,14,3.0,0.0,1.0,2.0,both
ETH,ETH-USD,optimized,10000.0,9991.01,-8.99,-0.0899,376.76,3.7311,0.9734,26.6667,4,11,15,329.74,-338.73,270.08,-56.97,82.43,-30.79,-0.0025,60,0.05,0.0,14,4.0,0.0,1.0,2.0,long_only
