Date,xau_literal,xau_optimized,us100_literal,us100_optimized,btc_literal,btc_optimized,eth_literal,eth_optimized
2025-08-11,9975.813897719741,10000.0,9986.624028795475,9979.936043193211,9991.409212897466,9987.1138193462,9994.933561765898,9996.200171324423
2025-08-12,9972.603790258125,10000.0,10017.527743925955,10026.291615888931,10010.550196939395,10015.825295409095,10055.480311693162,10041.61023376987
2025-08-13,9980.093730017297,10000.0,10018.401892274072,10027.602838411107,10052.659594146504,10078.989391219757,10082.987523860575,10062.24064289543
2025-08-14,9962.133249674034,10000.0,10016.75643655997,10025.134654839952,9986.471233853788,9968.094522974088,10048.36719400061,10036.275395500455
2025-08-15,9962.744707599615,10000.0,10003.74705232035,10005.620578480524,9973.707223525904,9950.950380933265,10030.371133767541,10022.778350325656
2025-08-16,,,,,9974.942159187072,9952.485752405428,10028.073985594725,10021.055489196044
2025-08-17,,,,,9974.433723394448,9951.85362408007,10035.907926939526,10026.930945204644
2025-08-18,9959.458284516526,10000.0,10003.10429618203,10004.656444273041,9942.256087131078,9932.029997249983,10009.163371214638,10006.872528410977
2025-08-19,9945.472000803407,10000.0,9969.346743797403,9954.020115696105,9901.793175437975,9875.549247542585,9970.98662406467,9977.04805380921
2025-08-20,9968.400273582041,10000.0,9954.383380897289,9924.849313260976,9918.575822748306,9874.379508044985,10006.875032331414,10009.61686098897
2025-08-21,9963.43248114667,10000.0,9943.662208510092,9908.999268454994,9897.00159775009,9874.379508044985,9991.410884506531,9995.731441001535
2025-08-22,9992.092822119963,10000.0,9979.656552256074,9960.967383046765,9948.795414483726,9874.379508044985,10075.913551034972,10071.607268631526
2025-08-23,,,,,9931.359448657446,9874.379508044985,10068.235246760309,10064.712838957652
2025-08-24,,,,,9909.085492553033,9874.379508044985,10068.729520339124,10065.156652370992
2025-08-25,9991.634368618847,10000.0,9972.303422033681,9950.351039637304,9870.323986018355,9874.379508044985,10012.222957112384,10014.418818554681
2025-08-26,10002.945687174459,10000.0,9981.893343617432,9964.196830167824,9889.835711800639,9874.379508044985,10043.826273741648,10042.795766923415
2025-08-27,10015.174099323063,10000.0,9985.724170201825,9969.727722363663,9883.085813450665,9874.379508044985,10030.343155423181,10030.689134038612
2025-08-28,10035.962362657538,10000.0,10000.147617945751,9990.552088282222,9868.486178965008,9874.379508044985,10030.86904622749,10031.161336889236
2025-08-29,10067.985442335392,10000.0,9968.549726185885,9944.931507687019,9821.54293166695,9874.379508044985,10010.439501341247,10012.817434974306
2025-08-30,,,,,9816.038076072338,9874.379508044985,10007.801394531092,10014.564238268838
2025-08-31,,,,,9821.921092023453,9874.379508044985,10005.81084030555,10016.543761843255
2025-09-01,,,,,9811.481622541574,9874.379508044985,10015.289389900623,10007.117737606404
2025-09-02,10125.841079995325,10000.0,9949.344172772851,9904.516166135289,9791.403479702649,9874.379508044985,10013.922411567175,10008.47714083293
2025-09-03,10159.316395570282,10030.653541525822,9967.212793418177,9914.582094536987,9786.02225845035,9874.379508044985,9998.236650685094,10024.075979111396
2025-09-04,10138.375314402103,10008.262789108074,9989.760678750483,9949.478688168705,9796.314761129608,9874.379508044985,10017.2624234753,10005.15563759221
2025-09-05,10174.601910756039,10046.99721467972,9991.406134464585,9952.025303895534,9797.06246579865,9874.379508044985,10016.228031203173,10006.18429778222
2025-09-06,,,,,9801.451761685275,9874.379508044985,10020.336501308608,10002.098594753315
2025-09-07,,,,,9791.742943253304,9874.379508044985,10016.433929481325,10005.979540488846
2025-09-08,10193.632489116762,10067.345207460961,10003.309978146292,9970.448477044321,9801.443334116168,9874.379508044985,10016.092093006439,10006.319482677787
2025-09-09,10197.606685746905,10071.59452257943,10010.945921069548,9982.266365651642,9794.799049995894,9874.379508044985,10015.199541197506,10006.440411933172
2025-09-10,10197.836005792844,10071.839717578283,10011.33157475254,9982.863228712617,9824.585803828808,9874.379508044985,10005.797983908988,10011.444141636834
2025-09-11,10192.715208933007,10066.364427465543,10025.729312250933,10005.14611632238,9843.653007687255,9874.379508044985,9982.987807770583,10025.428985576304
2025-09-12,10202.268655924105,10076.57922318673,10035.55062604448,10020.346228941897,9850.950271010428,9884.866820432535,9931.29534099631,10057.121466874913
2025-09-13,,,,,9849.094501044752,9883.313736958526,9940.87351833217,10051.249117864814
2025-09-14,,,,,9842.426032509555,9883.313736958526,9952.795165398804,10043.939995273358
2025-09-15,10227.336938146897,10103.382887060669,10055.70745854223,10051.542271595565,9842.883233115466,9883.313736958526,9934.304908909866,10033.612088569647
2025-09-16,10232.457548415972,10108.857977665679,10053.110723743412,10047.52339365166,9860.060309783863,9883.313736958526,9937.50153367201,10030.710517498885
2025-09-17,10227.031302479485,10103.056093400683,10046.786003342333,10037.734839451658,9855.457689326506,9883.313736958526,9918.624993802589,10041.835887151203
2025-09-18,10197.912321414316,10071.921316239415,10071.236446844068,10075.575957517522,9863.672041018712,9883.313736958526,9919.220796931564,10041.484735399043
2025-09-19,10219.159224840669,10094.639061824879,10082.32479367528,10092.737013985286,9845.88037310761,9883.313736958526,9890.365744189223,10026.637181542445
2025-09-20,,,,,9846.286997575964,9883.313736958526,9886.145410871932,10028.053119957382
2025-09-21,,,,,9841.17842380325,9883.313736958526,9893.455225033094,10024.193253074427
2025-09-22,10272.047070065231,10151.18813103582,10127.053389895875,10161.961937876084,9809.760661511596,9883.313736958526,9952.16044662799,9993.194607186182
2025-09-23,10302.541784815272,10183.793878682485,10108.979087286285,10133.988955751685,9800.744001451334,9883.313736958526,9960.991225467433,9988.53161165147
