case,period,history_quality_pct,bars,ticks,initial_stop_atr,trailing_atr,trail_start_r,close_at_session_end,initial_balance,final_balance,net_profit,return_pct,gross_profit,gross_loss,profit_factor,equity_dd_amount,equity_dd_pct,balance_dd_amount,balance_dd_pct,trades,wins,losses,win_rate,long_trades,long_win_rate,short_trades,short_win_rate,largest_win,largest_loss,average_win,average_loss,expected_payoff,recovery_factor,sharpe_ratio,commission,swap,score,status,report,graph
full-2020-2026,M5 (2020.01.01 - 2026.08.20),98.0,453227,207783480,0.0,0.0,0.0,False,10000.0,13346.24,3346.24,33.462399999999995,5502.03,-2155.79,2.55,619.8,5.9,501.95,4.78,53,43,10,81.13,29,79.31,24,83.33,151.92,-302.08,127.95,-205.78,63.14,5.4,14.83,-98.02000000000001,-70.32,21.662399999999995,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Selective ORB Research 2026-08-21\Backtest Reports\rr05-fixed300-selected\All\full-2020-2026.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Selective ORB Research 2026-08-21\Backtest Reports\rr05-fixed300-selected\All\full-2020-2026.png
training-2020-2023,M5 (2020.01.01 - 2023.12.31),98.0,267949,55421477,0.0,0.0,0.0,False,10000.0,12027.03,2027.03,20.2703,4118.3,-2091.27,1.97,619.8,5.9,501.95,4.78,42,33,9,78.57,22,77.27,20,80.0,151.92,-302.08,124.8,-223.29,48.26,3.27,11.11,-81.7,-70.32,8.470299999999998,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Selective ORB Research 2026-08-21\Backtest Reports\rr05-fixed300-selected\All\training-2020-2023.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Selective ORB Research 2026-08-21\Backtest Reports\rr05-fixed300-selected\All\training-2020-2023.png
locked-2025h2-2026,M5 (2025.07.01 - 2026.08.20),100.0,80597,88926568,0.0,0.0,0.0,False,10000.0,10592.47,592.47,5.9247000000000005,597.95,-5.48,109.11,143.77,1.43,2.19,0.02,4,4,0,100.0,2,100.0,2,100.0,149.95,0.0,149.49,0.0,149.49,4.12,3.69,-5.48,0.0,3.0647000000000006,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Selective ORB Research 2026-08-21\Backtest Reports\rr05-fixed300-selected\All\locked-2025h2-2026.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Selective ORB Research 2026-08-21\Backtest Reports\rr05-fixed300-selected\All\locked-2025h2-2026.png
one-year-2025-2026,M5 (2025.08.21 - 2026.08.20),100.0,70506,84491163,0.0,0.0,0.0,False,10000.0,10592.47,592.47,5.9247000000000005,597.95,-5.48,109.11,143.77,1.43,2.19,0.02,4,4,0,100.0,2,100.0,2,100.0,149.95,0.0,149.49,0.0,149.49,4.12,3.69,-5.48,0.0,3.0647000000000006,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Selective ORB Research 2026-08-21\Backtest Reports\rr05-fixed300-selected\All\one-year-2025-2026.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Selective ORB Research 2026-08-21\Backtest Reports\rr05-fixed300-selected\All\one-year-2025-2026.png
validation-2024-h1-2025,M5 (2024.01.01 - 2025.06.30),98.0,104405,63330224,0.0,0.0,0.0,False,10000.0,10726.74,726.74,7.2674,785.78,-59.04,13.31,357.67,3.46,50.86,0.5,7,6,1,85.71,5,80.0,2,100.0,150.99,-48.2,130.96,-48.2,103.82,2.03,2.07,-10.84,0.0,0.3474000000000004,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Selective ORB Research 2026-08-21\Backtest Reports\rr05-fixed300-selected\All\validation-2024-h1-2025.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Selective ORB Research 2026-08-21\Backtest Reports\rr05-fixed300-selected\All\validation-2024-h1-2025.png
