case,period,history_quality_pct,bars,ticks,initial_stop_atr,trailing_atr,trail_start_r,close_at_session_end,initial_balance,final_balance,net_profit,return_pct,gross_profit,gross_loss,profit_factor,equity_dd_amount,equity_dd_pct,balance_dd_amount,balance_dd_pct,trades,wins,losses,win_rate,long_trades,long_win_rate,short_trades,short_win_rate,largest_win,largest_loss,average_win,average_loss,expected_payoff,recovery_factor,sharpe_ratio,commission,swap,score,status,report,graph
locked-2025h2-2026,M5 (2025.07.01 - 2026.08.20),100.0,80597,88926568,0.0,0.0,0.0,False,10000.0,10889.2,889.2,8.892,897.59,-8.39,106.98,143.77,1.41,2.49,0.02,6,6,0,100.0,3,100.0,3,100.0,150.1,0.0,149.6,0.0,149.6,6.18,13.46,-8.39,0.0,6.071999999999999,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Selective ORB Research 2026-08-21\Backtest Reports\rr05-fixed300-baseline\All\locked-2025h2-2026.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Selective ORB Research 2026-08-21\Backtest Reports\rr05-fixed300-baseline\All\locked-2025h2-2026.png
validation-2024-h1-2025,M5 (2024.01.01 - 2025.06.30),98.0,104405,63330224,0.0,0.0,0.0,False,10000.0,11073.36,1073.36,10.7336,1089.1,-15.74,69.19,307.3,2.92,3.41,0.03,8,8,0,100.0,5,100.0,3,100.0,151.6,0.0,136.14,0.0,136.14,3.49,4.28,-15.740000000000002,0.0,4.893599999999999,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Selective ORB Research 2026-08-21\Backtest Reports\rr05-fixed300-baseline\All\validation-2024-h1-2025.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Selective ORB Research 2026-08-21\Backtest Reports\rr05-fixed300-baseline\All\validation-2024-h1-2025.png
one-year-2025-2026,M5 (2025.08.21 - 2026.08.20),100.0,70506,84491163,0.0,0.0,0.0,False,10000.0,10741.59,741.59,7.415900000000001,747.49,-5.9,126.69,143.77,1.43,2.19,0.02,5,5,0,100.0,3,100.0,2,100.0,149.95,0.0,149.5,0.0,149.5,5.16,7.29,-5.9,0.0,4.555900000000001,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Selective ORB Research 2026-08-21\Backtest Reports\rr05-fixed300-baseline\All\one-year-2025-2026.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Selective ORB Research 2026-08-21\Backtest Reports\rr05-fixed300-baseline\All\one-year-2025-2026.png
full-2020-2026,M5 (2020.01.01 - 2026.08.20),98.0,453227,207783480,0.0,0.0,0.0,False,10000.0,12695.47,2695.47,26.9547,5966.93,-3271.46,1.82,1318.72,12.85,1213.6,11.83,53,42,11,79.25,23,86.96,30,73.33,151.83,-302.9,142.07,-287.84,50.86,2.04,14.32,-105.25000000000001,0.0,1.2546999999999997,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Selective ORB Research 2026-08-21\Backtest Reports\rr05-fixed300-baseline\All\full-2020-2026.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Selective ORB Research 2026-08-21\Backtest Reports\rr05-fixed300-baseline\All\full-2020-2026.png
training-2020-2023,M5 (2020.01.01 - 2023.12.31),98.0,267949,55421477,0.0,0.0,0.0,False,10000.0,10732.91,732.91,7.3290999999999995,3980.24,-3247.33,1.23,1318.72,12.85,1213.6,11.83,39,28,11,71.79,15,80.0,24,66.67,151.83,-302.9,142.15,-287.84,18.79,0.56,5.14,-81.12000000000002,0.0,-18.3709,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Selective ORB Research 2026-08-21\Backtest Reports\rr05-fixed300-baseline\All\training-2020-2023.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\US100 Selective ORB Research 2026-08-21\Backtest Reports\rr05-fixed300-baseline\All\training-2020-2023.png
