symbol,range_minutes,rr,month,date,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,spread_r,spread_points,pnl,range_high,range_low,range_atr,risk_per_lot,lot_min,lot_max,lot_step,setup_score
AUDUSD,30,1.1111111111111112,2026-05,2026-05-28,2026-05-28 23:30:00,2026-05-29 06:00:00,SELL,0.71622,0.71802,0.71422,0.71657,timeout,-0.2444,0.05,9.0,-35.0,0.71646,0.71622,1.2399,180.0,0.01,200.0,0.01,100
GBPUSD,30,1.1111111111111112,2026-05,2026-05-28,2026-05-28 23:45:00,2026-05-29 06:00:00,BUY,1.34451,1.34271,1.34651,1.34435,timeout,-0.1444,0.0556,10.0,-16.0,1.34451,1.3441,1.3732,180.0,0.01,200.0,0.01,100
USDCAD,30,1.1111111111111112,2026-05,2026-05-28,2026-05-28 23:45:00,2026-05-29 06:00:00,BUY,1.37834,1.37654,1.38034,1.37842,timeout,-0.0333,0.0778,14.0,8.0,1.37834,1.37812,0.8775,126.83,0.01,200.0,0.01,100
AUDUSD,30,1.1111111111111112,2026-06,2026-06-02,2026-06-02 23:30:00,2026-06-03 06:00:00,SELL,0.71718,0.71898,0.71518,0.71601,timeout,0.6,0.05,9.0,117.0,0.7178,0.71718,3.4173,180.0,0.01,200.0,0.01,95
GBPUSD,30,1.1111111111111112,2026-06,2026-06-02,2026-06-02 23:30:00,2026-06-03 06:00:00,SELL,1.3455,1.3473,1.3435,1.34435,timeout,0.5833,0.0556,10.0,115.0,1.34621,1.3455,2.3224,180.0,0.01,200.0,0.01,95
USDCAD,30,1.1111111111111112,2026-06,2026-06-02,2026-06-02 23:30:00,2026-06-03 06:00:00,BUY,1.38419,1.38239,1.38619,1.38526,timeout,0.5167,0.0778,14.0,107.0,1.38419,1.3839,1.2378,126.83,0.01,200.0,0.01,100
AUDUSD,30,1.1111111111111112,2026-06,2026-06-03,2026-06-03 23:30:00,2026-06-04 06:00:00,SELL,0.71283,0.71463,0.71083,0.71307,timeout,-0.1833,0.05,9.0,-24.0,0.71368,0.71283,3.6615,180.0,0.01,200.0,0.01,95
USDCAD,30,1.1111111111111112,2026-06,2026-06-03,2026-06-03 23:30:00,2026-06-04 06:00:00,BUY,1.3895,1.3877,1.3915,1.39049,timeout,0.4722,0.0778,14.0,99.0,1.3895,1.38897,1.5458,126.83,0.01,200.0,0.01,100
GBPUSD,30,1.1111111111111112,2026-06,2026-06-03,2026-06-03 23:45:00,2026-06-04 06:00:00,BUY,1.34251,1.34071,1.34451,1.34317,timeout,0.3111,0.0556,10.0,66.0,1.34251,1.34171,1.9893,180.0,0.01,200.0,0.01,100
AUDUSD,30,1.1111111111111112,2026-06,2026-06-04,2026-06-04 23:30:00,2026-06-05 01:00:00,SELL,0.7133,0.7151,0.7113,0.7113,win,1.0611,0.05,9.0,200.0,0.71358,0.7133,1.6824,180.0,0.01,200.0,0.01,100
GBPUSD,30,1.1111111111111112,2026-06,2026-06-04,2026-06-04 23:30:00,2026-06-05 06:00:00,SELL,1.34231,1.34411,1.34031,1.34259,timeout,-0.2111,0.0556,10.0,-28.0,1.34245,1.34231,0.4667,180.0,0.01,200.0,0.01,95
USDCAD,30,1.1111111111111112,2026-06,2026-06-04,2026-06-04 23:30:00,2026-06-05 06:00:00,BUY,1.39074,1.38894,1.39274,1.39071,timeout,-0.0944,0.0778,14.0,-3.0,1.39074,1.39058,0.4516,126.83,0.01,200.0,0.01,95
AUDUSD,30,1.1111111111111112,2026-06,2026-06-09,2026-06-09 23:30:00,2026-06-10 06:00:00,SELL,0.70158,0.70338,0.69958,0.70209,timeout,-0.3333,0.05,9.0,-51.0,0.70224,0.70158,1.9701,180.0,0.01,200.0,0.01,100
GBPUSD,30,1.1111111111111112,2026-06,2026-06-09,2026-06-09 23:30:00,2026-06-10 03:15:00,SELL,1.33681,1.33861,1.33481,1.33861,loss,-1.0556,0.0556,10.0,-180.0,1.3375,1.33681,1.3702,180.0,0.01,200.0,0.01,100
USDCAD,30,1.1111111111111112,2026-06,2026-06-09,2026-06-09 23:30:00,2026-06-10 06:00:00,BUY,1.3956,1.3938,1.3976,1.39418,timeout,-0.8667,0.0778,14.0,-142.0,1.3956,1.39508,1.8524,126.83,0.01,200.0,0.01,100
