key,value
first_tick,2021.09.05 22:05:00
last_tick,2026.09.04 20:57:59
initial_balance,10000.00000000
final_balance,30733.62000000
native_net_profit,20733.62000000
native_trades,566.00000000
native_equity_dd_pct,10.87446251
observed_equity_dd_pct,10.87446251
observed_equity_dd_cash,2865.91000000
minimum_equity,9763.41000000
max_concurrent_positions,3.00000000
max_gross_initial_stop_risk_pct,1.92449803
fills,566.00000000
errors,15.00000000
occupied_signals,367.00000000
data_read_retries,0.00000000
