time,closed_bar,c1,c2,e20_1,e20_2,e50,e200,adx,plus,minus,e9_1,e9_2,e21_1,e21_2,rsi,prior20_high,prior20_low,tr,atr1,atr2,momentum,change,breakout
2021.09.05 22:05:00,2021.09.03 20:00:00,1827.629,1828.554,1822.063193475391,1821.4773191043794,1817.268205161986,1807.4104560225699,33.55343526348535,24.560185349030792,17.30909479505537,1826.709008239011,1826.4790102987636,1816.8469084274066,1816.4475717024957,68.0503508737961,1833.915,1804.762,1.6480000000001382,4.3271428571427935,4.329499999999929,0,0,0
2021.09.05 23:00:00,2021.09.05 22:00:00,1828.573,1827.629,1822.6831750491633,1822.063193475391,1817.7115304497513,1807.6210285994598,32.903191548255215,27.084656489542205,15.660609576478667,1827.0818065912088,1826.709008239011,1817.2656974121421,1816.8469084274066,69.46735283195187,1833.915,1804.762,2.576999999999998,4.262642857142792,4.3271428571427935,0,0,0
2021.09.06 00:00:00,2021.09.05 23:00:00,1827.611,1828.573,1823.1524917111478,1822.6831750491633,1818.099744941918,1807.819933787525,30.91203170655597,24.50516539530009,19.255616248348016,1827.1876452729673,1827.0818065912088,1817.6351725045656,1817.2656974121421,66.24307397156298,1833.915,1804.762,1.247000000000071,4.21464285714279,4.262642857142792,0,0,0
2021.09.06 01:00:00,2021.09.06 00:00:00,1825.699,1827.611,1823.3950163100862,1823.1524917111478,1818.3977549441959,1807.9978349438682,28.687884533827006,22.171340119557225,25.79702226315214,1826.8899162183739,1827.1876452729673,1817.9231663436883,1817.6351725045656,60.256814787534196,1833.915,1804.762,2.213999999999942,4.205214285714231,4.21464285714279,0,0,0
2021.09.06 02:00:00,2021.09.06 01:00:00,1827.321,1825.699,1823.7689195186495,1823.3950163100862,1818.747686122855,1808.1901052429344,26.204302096210075,22.15267751464104,23.340162999994792,1826.976132974699,1826.8899162183739,1818.2588032599851,1817.9231663436883,63.28773087319127,1833.915,1804.762,3.3309999999999036,4.362428571428501,4.205214285714231,0,0,0
2021.09.06 03:00:00,2021.09.06 02:00:00,1827.58,1827.321,1824.1318795644925,1823.7689195186495,1819.0940513729392,1808.3830395191242,23.957251319318566,20.042898703722848,21.117290333328622,1827.0969063797595,1826.976132974699,1818.5917031435572,1818.2588032599851,63.76295406407542,1833.915,1804.762,1.5789999999999509,4.34799999999993,4.362428571428501,0,0,0
2021.09.06 04:00:00,2021.09.06 03:00:00,1825.803,1827.58,1824.2910338916836,1824.1318795644925,1819.3571473975298,1808.5563724592323,22.770645404995502,18.134051208130195,22.8458780796314,1826.8381251038077,1827.0969063797595,1818.8492494598586,1818.5917031435572,58.19676926833238,1833.915,1804.762,2.3479999999999563,3.345499999999924,4.34799999999993,0,0,0
2021.09.06 05:00:00,2021.09.06 04:00:00,1826.368,1825.803,1824.4888401877138,1824.2910338916836,1819.6320827937052,1808.7336025840161,21.753992462116983,16.406998712117797,20.92226826994171,1826.7441000830463,1826.8381251038077,1819.1177762648638,1818.8492494598586,59.410028599552064,1833.915,1804.762,1.2840000000001055,2.915071428571348,3.345499999999924,0,0,0
2021.09.06 06:00:00,2021.09.06 05:00:00,1827.606,1826.368,1824.7857125507887,1824.4888401877138,1819.9447854292462,1808.9213876329313,19.693445873742753,18.884954255239357,18.929671291852024,1826.916480066437,1826.7441000830463,1819.4209271125471,1819.1177762648638,62.01168928788181,1833.915,1804.762,2.3500000000001364,2.4390714285713653,2.915071428571348,0,0,0
2021.09.06 07:00:00,2021.09.06 06:00:00,1826.514,1827.606,1824.9503113554756,1824.7857125507887,1820.2024016869227,1809.0964385022553,18.362904049821523,19.2060910190837,17.126845454532784,1826.8359840531498,1826.916480066437,1819.674251144242,1819.4209271125471,58.45272717358705,1833.915,1804.762,1.9230000000000018,2.1240714285713755,2.4390714285713653,0,0,0
