entry_time_utc,exit_time_utc,direction,poc,vah,val,entry,initial_stop,target,exit_reason,r_multiple,balance,entry_spread_price,embedded_spread_cost_r,embedded_slippage_cost_r,commission_cost_r,swap_cashflow_r,r_after_spread_slippage_before_commission_swap,r_before_all_costs,holding_calendar_days,modeled_quantity,embedded_spread_cost_usd,embedded_slippage_cost_usd,commission_usd,swap_cashflow_usd,balance_net_costs,contract_size
2022-02-25 16:30:00+00:00,2022-03-04 16:41:00+00:00,long,156.08639453125,160.14915625,149.917015625,150.244,145.85,160.14915625,stop,-1.0028447883477445,9899.715521165226,0.0565,0.012858443331816098,0.005689576695493848,0.0,0.0,-1.0028447883477445,-0.9842967683204346,7.007638888888889,22.758306781975392,1.2858443331816098,0.5689576695493849,0.0,0.0,9899.715521165226,1.0
2022-03-10 20:00:00+00:00,2022-03-11 22:54:00+00:00,long,151.94636718750002,154.068515625,143.9475,145.4235,143.9275,154.068515625,stop,-0.0083556149732545,9898.88833905283,0.008,0.005347593582887769,0.01671122994652428,0.0,0.0,-0.0083556149732545,0.013703208556157549,1.1208333333333333,66.17456899174701,0.5293965519339762,1.6543642247936756,0.0,0.0,9898.88833905283,1.0
2022-08-25 20:00:00+00:00,2022-08-26 17:01:00+00:00,long,142.13421875,146.54,134.5653125,135.7725,134.24,146.54,stop,-0.0081566068515423,9898.08092564834,0.05,0.032626427406199046,0.016313213703099523,0.0,0.0,-0.0081566068515423,0.04078303425775627,0.8756944444444444,64.59307235923548,3.229653617961774,1.614826808980887,0.0,0.0,9898.08092564834,1.0
2022-10-12 20:00:00+00:00,2022-10-13 16:30:00+00:00,long,114.596171875,119.029375,111.73921875,112.8325,111.36,119.029375,stop,-1.0084889643463515,9798.259871831106,0.05,0.03395585738539906,0.01697792869269953,0.0,0.0,-1.0084889643463515,-0.9575551782682529,0.8541666666666666,67.21956486009076,3.3609782430045376,1.6804891215022688,0.0,0.0,9798.259871831106,1.0
2022-10-13 20:00:00+00:00,2022-10-18 16:30:00+00:00,long,114.596171875,117.453125,110.36,110.9825,105.31,117.453125,target,1.1384971353018944,9909.812779781338,0.05,0.008814455707360072,0.004407227853680036,0.0,0.0,1.1384971353018944,1.1517188188629346,4.854166666666667,17.27326552989177,0.8636632764945885,0.43183163824729426,0.0,0.0,9909.812779781338,1.0
2022-12-23 20:00:00+00:00,2022-12-28 16:30:00+00:00,long,89.532421875,90.29640625,83.093125,84.6025,82.9,90.29640625,stop,-1.0073421439060222,9809.987059268416,0.05,0.029368575624082224,0.014684287812041112,0.0,0.0,-1.0073421439060222,-0.9632892804698988,4.854166666666667,58.20741720870094,2.910370860435047,1.4551854302175236,0.0,0.0,9809.987059268415,1.0
2023-02-13 20:00:00+00:00,2023-02-17 16:36:00+00:00,long,102.16625,103.1375,97.31,99.1125,96.89,103.1375,stop,-1.005624296962881,9711.335445871497,0.05,0.022497187851518597,0.011248593925759299,0.0,0.0,-1.005624296962881,-0.9718785151856032,3.8583333333333334,44.139424338665606,2.2069712169332805,1.1034856084666402,0.0,0.0,9711.335445871497,1.0
2023-08-02 20:00:00+00:00,2023-08-03 16:32:00+00:00,long,129.138984375,132.43453125000002,127.37625,127.9425,126.8,132.43453125000002,stop,-1.0109409190372016,9613.159582064218,0.05,0.04376367614879657,0.021881838074398283,0.0,0.0,-1.0109409190372016,-0.9452954048140068,0.8555555555555555,85.00074788508981,4.250037394254491,2.1250186971272456,0.0,0.0,9613.159582064218,1.0
2023-12-11 20:00:00+00:00,2023-12-13 16:30:00+00:00,long,146.658046875,147.6125,145.4021875,145.5325,143.59,147.6125,target,1.0643500643500792,9715.477252261995,0.05,0.0257400257400258,0.0128700128700129,0.0,0.0,1.0643500643500792,1.102960102960118,1.8541666666666667,49.488595017061726,2.474429750853086,1.237214875426543,0.0,0.0,9715.477252261995,1.0
2024-02-15 20:00:00+00:00,2024-02-16 16:30:00+00:00,long,170.021640625,171.99703125,167.74234375,168.8225,167.56,171.99703125,stop,-0.0099009900990009,9714.51532382118,0.05,0.039603960396039965,0.019801980198019983,0.0,0.0,-0.0099009900990009,0.04950495049505905,0.8541666666666666,76.95427526544223,3.8477137632721123,1.9238568816360562,0.0,0.0,9714.515323821179,1.0
