case,group,symbol,stage,report,from,to,model,risk_percent,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe_ratio,recovery_factor,history_quality,analysed_sharpe,analysed_recovery
deployed-safe-dynamic-native,baseline,XAUUSD,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Locked\dmc-locked-deployed-safe-dynamic-native.htm,2025.09.01,2026.09.01,0,1.00,10000.0,14875.48,4875.48,48.75,1.61,57.83,5.52,166,6.97,5.65,99%,2.73,6.75
combo-h1-asia-fixed-rr170,combined-search,XAUUSD,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Locked\dmc-locked-combo-h1-asia-fixed-rr170.htm,2025.09.01,2026.09.01,0,1.00,10000.0,10548.23,548.23,5.48,1.1,49.59,7.48,123,1.25,0.69,99%,0.47,0.85
combo-h1-asia-fixed-rr300,combined-search,XAUUSD,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Locked\dmc-locked-combo-h1-asia-fixed-rr300.htm,2025.09.01,2026.09.01,0,1.00,10000.0,11203.88,1203.88,12.04,1.18,40.52,10.14,116,1.79,0.99,99%,0.74,1.23
combo-h1-asia-fixed-rr400,combined-search,XAUUSD,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Locked\dmc-locked-combo-h1-asia-fixed-rr400.htm,2025.09.01,2026.09.01,0,1.00,10000.0,10955.03,955.03,9.55,1.12,32.41,14.87,108,1.08,0.5,99%,0.48,0.56
combo-h1-asia-fixed-rr500,combined-search,XAUUSD,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Locked\dmc-locked-combo-h1-asia-fixed-rr500.htm,2025.09.01,2026.09.01,0,1.00,10000.0,11538.51,1538.51,15.39,1.18,25.96,18.94,104,1.5,0.58,99%,0.64,0.67
combo-h1-newyork-fixed-rr400,combined-search,XAUUSD,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Locked\dmc-locked-combo-h1-newyork-fixed-rr400.htm,2025.09.01,2026.09.01,0,1.00,10000.0,9337.79,-662.21,-6.62,0.87,31.25,16.87,80,-1.2,-0.38,99%,-0.5,-0.44
combo-gbpjpy-atr100-rr170,combined-search,GBPJPY,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Locked\dmc-locked-combo-gbpjpy-atr100-rr170.htm,2025.09.01,2026.09.01,0,1.00,10000.0,7741.79,-2258.21,-22.58,0.82,46.9,29.65,258,-3.6,-0.74,100%,-1.51,-0.76
combo-gbpjpy-atr100-rr300,combined-search,GBPJPY,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\07 DmC\Backtest Reports\Locked\dmc-locked-combo-gbpjpy-atr100-rr300.htm,2025.09.01,2026.09.01,0,1.00,10000.0,7020.72,-2979.28,-29.79,0.78,35.18,36.72,253,-3.18,-0.77,100%,-1.71,-0.83
