starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,net_r,avg_r,avg_spread_r,max_drawdown_pct,timeframe
300.0,335.99,35.99,12.0,57,24,33,42.11,3.72,0.0653,0.0234,24.51,M15
300.0,415.22,115.22,38.41,47,22,25,46.81,8.06,0.1714,0.0097,21.97,M30
