case,group,stage,report,from,to,model,risk_percent,settings_json,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe_ratio,recovery_factor,history_quality,analysed_sharpe,analysed_recovery
current-dynamic5020,baseline,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\ThreeYear\orb-volume-xau-threeyear-current-dynamic5020.htm,2023.09.01,2026.09.01,0,1.00,"{""InpMarkovThreshold"":""0.05"",""InpRiskPercent"":""1.00"",""InpMarkovSignalGate"":""0.05"",""InpMarkovReturnWindow"":""40"",""InpResearchSession"":""0"",""InpMagic"":""86500001"",""InpMarkovHistoryBars"":""2600"",""InpMarkovMinLabels"":""252"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpUseMarkovRegimeFilter"":""false""}",10000.0,14938.19,4938.19,49.38,1.68,46.75,5.85,169,9.86,6.18,98%,2.62,7.03
rr-075,reward-risk,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\ThreeYear\orb-volume-xau-threeyear-rr-075.htm,2023.09.01,2026.09.01,0,1.00,"{""InpMarkovThreshold"":""0.05"",""InpMagic"":""86500002"",""InpRiskPercent"":""1.00"",""InpMarkovSignalGate"":""0.05"",""InpMarkovReturnWindow"":""40"",""InpResearchSession"":""0"",""InpRewardRisk"":""0.75"",""InpMarkovHistoryBars"":""2600"",""InpMarkovMinLabels"":""252"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpUseMarkovRegimeFilter"":""false""}",10000.0,12241.28,2241.28,22.41,1.46,69.82,5.32,169,11.36,4.11,98%,2.27,4.42
confirmation-volume,confirmation,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\ThreeYear\orb-volume-xau-threeyear-confirmation-volume.htm,2023.09.01,2026.09.01,0,1.00,"{""InpMarkovReturnWindow"":""40"",""InpResearchSession"":""0"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovSignalGate"":""0.05"",""InpMarkovThreshold"":""0.05"",""InpUseMarkovRegimeFilter"":""false"",""InpRiskPercent"":""1.00"",""InpUseEMATrend"":""false"",""InpMinOpeningRelativeVolume"":""0.80"",""InpMarkovMinLabels"":""252"",""InpMarkovHistoryBars"":""2600"",""InpRequireVWAP"":""false"",""InpMinBreakoutRelativeVolume"":""1.10"",""InpMagic"":""86500003""}",10000.0,12591.56,2591.56,25.92,2.01,45.59,5.64,68,14.94,4.36,98%,2.26,4.68
confirmation-strict,confirmation,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\ThreeYear\orb-volume-xau-threeyear-confirmation-strict.htm,2023.09.01,2026.09.01,0,1.00,"{""InpMarkovReturnWindow"":""40"",""InpResearchSession"":""0"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovSignalGate"":""0.05"",""InpMarkovThreshold"":""0.05"",""InpUseMarkovRegimeFilter"":""false"",""InpRiskPercent"":""1.00"",""InpUseEMATrend"":""true"",""InpMinOpeningRelativeVolume"":""0.80"",""InpMarkovMinLabels"":""252"",""InpMarkovHistoryBars"":""2600"",""InpRequireVWAP"":""true"",""InpMinBreakoutRelativeVolume"":""1.10"",""InpMagic"":""86500004""}",10000.0,12169.86,2169.86,21.7,2.72,52.78,3.29,36,25.86,6.16,98%,2.44,6.96
