date,side,entry,initial_stop,target,exit,exit_reason,exit_time_utc,result_r,asia_open,asia_close,london_open,london_close,ny_open,or_high,or_low,or_range,total_move,asia_move,london_move
2022-02-17,SHORT,14456.35,14511.0375,14346.975,14346.975,target,2022-02-17T15:28:00+00:00,2.0,14595.75,14552.35,14552.6,14468.45,14471.95,14500.1,14456.35,43.75,-123.79999999999927,-43.399999999999636,-84.14999999999964
2022-08-31,LONG,12482.9,12358.8375,12731.025,12358.8375,stop,2022-08-31T14:33:00+00:00,-1.0,12354.54,12435.9,12435.75,12468.9,12468.4,12482.9,12383.65,99.25,113.85999999999876,81.35999999999876,33.149999999999636
2023-01-16,SHORT,11518.5,11546.5,11462.5,11550.5,stop,2023-01-16T17:40:00+00:00,-1.1428571428571614,11535.05,11521.15,11521.05,11520.95,11520.8,11540.9,11518.5,22.399999999999636,-14.25,-13.899999999999636,-0.09999999999854481
2023-01-20,LONG,11380.8,11304.675,11533.05,11533.05,target,2023-01-20T18:50:00+00:00,2.000000000000012,11337.25,11361.95,11362.15,11365.95,11366.05,11380.8,11319.9,60.899999999999636,28.799999999999272,24.700000000000728,3.8000000000010914
2023-03-06,LONG,12375.95,12323.074999999999,12481.700000000004,12323.074999999999,stop,2023-03-06T19:51:00+00:00,-1.0000000000000087,12281.15,12322.55,12322.05,12340.25,12340.75,12375.95,12333.65,42.30000000000109,59.600000000000364,41.399999999999636,18.200000000000728
2023-03-20,SHORT,12509.45,12556.95,12414.45,12414.45,target,2023-03-20T14:48:00+00:00,2.0,12577.35,12524.45,12524.25,12512.55,12512.35,12547.45,12509.45,38.0,-65.0,-52.899999999999636,-11.700000000000728
2023-04-21,SHORT,12948.05,12992.175000000001,12859.799999999996,12992.175000000001,stop,2023-04-21T14:27:00+00:00,-1.0000000000000102,12991.95,12971.25,12971.55,12966.55,12966.05,12983.35,12948.05,35.30000000000109,-25.900000000001455,-20.700000000000728,-5.0
2023-05-19,SHORT,13833.35,13883.099999999999,13733.850000000002,13803.05,time,2023-05-19T19:59:00+00:00,0.6090452261306863,13848.25,13846.65,13847.05,13838.95,13838.65,13873.15,13833.35,39.79999999999927,-9.600000000000364,-1.6000000000003638,-8.099999999998545
2023-05-31,SHORT,14285.0,14371.5625,14111.875,14261.349999999999,time,2023-05-31T19:59:00+00:00,0.2732129963899085,14351.35,14301.75,14301.95,14290.75,14290.45,14354.25,14285.0,69.25,-60.899999999999636,-49.600000000000364,-11.200000000000728
2023-06-01,LONG,14272.85,14196.1,14426.349999999999,14426.349999999999,target,2023-06-01T16:20:00+00:00,1.9999999999999882,14253.55,14255.75,14255.85,14256.75,14256.85,14272.85,14211.45,61.399999999999636,3.3000000000010914,2.2000000000007276,0.8999999999996362
2023-07-03,LONG,15221.15,15175.150000000001,15313.149999999998,15175.150000000001,stop,2023-07-03T14:39:00+00:00,-0.9999999999999802,15180.85,15196.95,15196.75,15201.55,15201.45,15221.15,15184.35,36.79999999999927,20.600000000000364,16.100000000000364,4.799999999999272
2023-07-20,SHORT,15703.9,15780.212500000001,15551.274999999998,15551.274999999998,target,2023-07-20T18:03:00+00:00,1.999999999999988,15790.95,15724.15,15724.05,15705.25,15705.05,15764.95,15703.9,61.05000000000109,-85.90000000000146,-66.80000000000109,-18.799999999999272
2023-09-26,SHORT,14636.25,14689.375,14530.0,14530.0,target,2023-09-26T19:02:00+00:00,2.0,14777.15,14662.55,14662.75,14657.45,14656.6,14678.75,14636.25,42.5,-120.54999999999927,-114.60000000000036,-5.299999999999272
2023-10-10,LONG,15086.15,15029.9,15198.65,15198.65,target,2023-10-10T15:08:00+00:00,2.0,15053.25,15060.95,15060.25,15061.25,15061.2,15086.15,15041.15,45.0,7.950000000000728,7.700000000000728,1.0
2024-01-19,LONG,17081.85,17029.2875,17186.975,17186.975,target,2024-01-19T17:38:00+00:00,2.0000000000000346,16988.05,17057.9,17058.3,17061.85,17062.15,17081.85,17039.8,42.04999999999927,74.10000000000218,69.85000000000218,3.5499999999992724
2024-01-23,LONG,17361.45,17264.8875,17554.575,17404.25,time,2024-01-23T20:59:00+00:00,0.443236245954685,17332.85,17353.55,17353.65,17362.15,17361.45,17361.45,17284.2,77.25,28.600000000002183,20.700000000000728,8.5
2024-01-30,SHORT,17543.3,17581.05,17467.799999999996,17467.799999999996,target,2024-01-30T17:33:00+00:00,2.0000000000000484,17595.85,17579.45,17579.05,17549.35,17549.75,17573.5,17543.3,30.200000000000728,-46.099999999998545,-16.399999999997817,-29.700000000000728
2024-03-27,LONG,18321.45,18288.6375,18387.075,18288.6375,stop,2024-03-27T14:36:00+00:00,-1.0,18244.53,18288.05,18288.05,18295.2,18295.2,18321.45,18295.2,26.25,50.67000000000189,43.52000000000044,7.150000000001455
2024-05-22,LONG,18742.1,18695.85,18834.6,18695.85,stop,2024-05-22T17:37:00+00:00,-1.0,18708.73,18722.1,18722.0,18723.15,18722.95,18742.1,18705.1,37.0,14.220000000001164,13.369999999998981,1.1500000000014552
2024-08-09,SHORT,18348.25,18449.25,18146.25,18449.25,stop,2024-08-09T14:12:00+00:00,-1.000000000000009,18457.85,18437.35,18437.55,18351.65,18350.85,18429.05,18348.25,80.79999999999927,-107.0,-20.5,-85.89999999999782
2024-08-21,LONG,19769.65,19711.3375,19886.275000000005,19886.275000000005,target,2024-08-21T14:42:00+00:00,2.0,19714.15,19722.9,19722.9,19751.65,19751.45,19769.65,19723.0,46.650000000001455,37.29999999999927,8.75,28.75
2024-10-30,SHORT,20558.15,20589.274999999998,20495.90000000001,20495.90000000001,target,2024-10-30T14:34:00+00:00,1.9999999999999416,20586.55,20576.1,20575.5,20571.05,20572.95,20583.05,20558.15,24.899999999997817,-13.599999999998545,-10.450000000000728,-4.450000000000728
2024-11-12,LONG,21133.75,21060.375,21280.5,21060.375,stop,2024-11-12T16:13:00+00:00,-0.9999999999999876,21097.75,21101.25,21100.55,21106.55,21106.85,21133.75,21075.05,58.70000000000073,9.099999999998545,3.5,6.0
2024-12-20,SHORT,20903.15,21057.9,20593.65,21057.9,stop,2024-12-20T15:13:00+00:00,-1.0000000000000058,21116.65,20994.15,20993.75,20928.95,20929.15,21026.95,20903.15,123.79999999999927,-187.5,-122.5,-64.79999999999927
2025-05-01,LONG,19888.1,19764.6625,20134.975,19764.6625,stop,2025-05-01T19:59:00+00:00,-1.0,19735.85,19821.85,19822.15,19870.15,19871.05,19888.1,19789.35,98.75,135.20000000000073,86.0,48.0
2025-05-20,SHORT,21315.05,21374.425,21196.3,21374.425,stop,2025-05-20T14:45:00+00:00,-1.0,21423.95,21345.6,21345.5,21333.35,21334.25,21362.55,21315.05,47.5,-89.70000000000073,-78.35000000000218,-12.150000000001455
2025-08-18,SHORT,23680.85,23742.225000000002,23558.09999999999,23709.95,time,2025-08-18T19:59:00+00:00,-0.4741344195519493,23732.95,23714.85,23715.25,23680.75,23680.85,23729.95,23680.85,49.10000000000218,-52.10000000000218,-18.100000000002183,-34.5
2025-10-29,LONG,26124.85,26095.600000000002,26183.34999999999,26183.34999999999,target,2025-10-29T15:01:00+00:00,1.9999999999999378,26038.55,26118.25,26118.05,26122.05,26121.85,26124.85,26101.45,23.399999999997817,83.29999999999927,79.70000000000073,4.0
2025-12-23,SHORT,25404.7,25528.262499999997,25157.575000000004,25528.262499999997,stop,2025-12-23T16:45:00+00:00,-0.9999999999999852,25467.85,25436.8,25437.4,25410.2,25409.6,25503.55,25404.7,98.84999999999854,-58.25,-31.049999999999272,-27.200000000000728
2025-12-30,SHORT,25469.95,25533.262499999997,25343.325000000004,25533.262499999997,stop,2025-12-30T14:50:00+00:00,-0.9999999999999857,25528.85,25490.75,25491.05,25479.55,25479.25,25520.6,25469.95,50.64999999999782,-49.599999999998545,-38.099999999998545,-11.5
2026-03-13,LONG,24661.45,24604.699999999997,24774.950000000004,24604.699999999997,stop,2026-03-13T14:35:00+00:00,-1.000000000000032,24554.45,24567.3,24567.2,24634.25,24633.95,24661.45,24616.05,45.400000000001455,79.5,12.849999999998545,67.04999999999927
2026-04-15,LONG,25896.35,25802.350000000002,26084.34999999999,26084.34999999999,target,2026-04-15T16:20:00+00:00,2.0,25816.55,25824.4,25824.9,25859.35,25862.35,25896.35,25821.15,75.19999999999709,45.79999999999927,7.850000000002183,34.44999999999709
2026-06-16,SHORT,30430.15,30566.274999999998,30157.90000000001,30157.90000000001,target,2026-06-16T15:42:00+00:00,1.9999999999999867,30591.45,30506.7,30506.7,30489.05,30490.25,30539.05,30430.15,108.89999999999782,-101.20000000000073,-84.75,-17.650000000001455
2026-07-24,SHORT,28295.25,28498.625,27888.5,28124.35,time,2026-07-24T19:59:00+00:00,0.8403196066379874,28526.65,28379.5,28379.1,28375.05,28375.75,28457.95,28295.25,162.70000000000073,-150.90000000000146,-147.15000000000146,-4.049999999999272
