phase,config,return_pct,profit_factor,win_rate,max_dd_pct,trades,sharpe,recovery,expectancy_r,final_balance,profitable_assets,max_standalone_mtm_dd_pct,score
shared-signal,"{""direction"": ""growth-long-only"", ""exit_mode"": 0, ""horizon"": ""1-3-6m"", ""manage"": 0, ""max_hold_days"": 0, ""rr"": 2.0, ""session"": ""all-day"", ""stop_atr"": 2.5, ""stop_mode"": 0, ""tf"": ""H4"", ""trend"": ""ema100""}",110.82180139214816,1.8398186222340287,22.22222222222222,34.42905788497826,360,0.48734569406036843,3.218845016392412,0.25758007004720257,21082.180139214815,4,36.24376130256146,23.03925305896506
shared-signal,"{""direction"": ""long-only"", ""exit_mode"": 0, ""horizon"": ""1-3-6m"", ""manage"": 0, ""max_hold_days"": 0, ""rr"": 2.0, ""session"": ""all-day"", ""stop_atr"": 2.5, ""stop_mode"": 0, ""tf"": ""H4"", ""trend"": ""ema100""}",312.1390106965715,3.530007566491049,25.0,19.74501285327627,264,0.8788668183532458,15.808498734138764,0.6078096388404768,41213.90106965715,6,20.19016211496316,47.69531433275542
shared-signal,"{""direction"": ""both"", ""exit_mode"": 0, ""horizon"": ""1-3-6m"", ""manage"": 0, ""max_hold_days"": 0, ""rr"": 2.0, ""session"": ""all-day"", ""stop_atr"": 2.5, ""stop_mode"": 0, ""tf"": ""H4"", ""trend"": ""ema200""}",59.06738771691968,1.453916492801913,21.336760925449873,37.7942113722222,389,0.3578216450229125,1.5628686397285891,0.1690225940354407,15906.738771691967,3,27.110495977328142,-497.0
shared-signal,"{""direction"": ""growth-long-only"", ""exit_mode"": 0, ""horizon"": ""1-3-6m"", ""manage"": 0, ""max_hold_days"": 0, ""rr"": 2.0, ""session"": ""all-day"", ""stop_atr"": 2.5, ""stop_mode"": 0, ""tf"": ""H4"", ""trend"": ""ema200""}",83.08622739636928,1.551854152614087,23.295454545454543,26.00910079153215,352,0.48618582306730945,3.194505956292802,0.2313667751643493,18308.62273963693,3,27.110495977328142,-497.0
shared-signal,"{""direction"": ""long-only"", ""exit_mode"": 0, ""horizon"": ""1-3-6m"", ""manage"": 0, ""max_hold_days"": 0, ""rr"": 2.0, ""session"": ""all-day"", ""stop_atr"": 2.5, ""stop_mode"": 0, ""tf"": ""H4"", ""trend"": ""ema200""}",160.57696524903062,2.1383146760104905,27.106227106227106,20.231623963754497,273,0.6876158459940116,7.9369291133874675,0.4290702784093231,26057.69652490306,5,20.23078527453527,41.55720007044661
shared-signal,"{""direction"": ""both"", ""exit_mode"": 0, ""horizon"": ""3-6-12m"", ""manage"": 0, ""max_hold_days"": 0, ""rr"": 2.0, ""session"": ""all-day"", ""stop_atr"": 2.5, ""stop_mode"": 0, ""tf"": ""H4"", ""trend"": ""none""}",167.5858566669575,2.372273518034693,21.487603305785125,46.52818591634544,242,0.4315428876889493,3.6018136827484666,0.6700052623405873,26758.58566669575,6,38.82254951575304,24.173799141624244
shared-signal,"{""direction"": ""growth-long-only"", ""exit_mode"": 0, ""horizon"": ""3-6-12m"", ""manage"": 0, ""max_hold_days"": 0, ""rr"": 2.0, ""session"": ""all-day"", ""stop_atr"": 2.5, ""stop_mode"": 0, ""tf"": ""H4"", ""trend"": ""none""}",12.027751442773216,1.0972867166650437,21.052631578947366,45.01079022619267,285,0.17699759317859204,0.2672192908040532,0.10536307472945618,11202.775144277322,3,38.82254951575304,-497.0
shared-signal,"{""direction"": ""long-only"", ""exit_mode"": 0, ""horizon"": ""3-6-12m"", ""manage"": 0, ""max_hold_days"": 0, ""rr"": 2.0, ""session"": ""all-day"", ""stop_atr"": 2.5, ""stop_mode"": 0, ""tf"": ""H4"", ""trend"": ""none""}",326.74373086076815,4.316598800178728,23.976608187134502,26.18208733547257,171,0.5279137205881612,12.479666982780333,1.232205912604024,42674.37308607682,6,25.843406852667183,44.82771619079499
shared-signal,"{""direction"": ""both"", ""exit_mode"": 0, ""horizon"": ""3-6-12m"", ""manage"": 0, ""max_hold_days"": 0, ""rr"": 2.0, ""session"": ""all-day"", ""stop_atr"": 2.5, ""stop_mode"": 0, ""tf"": ""H4"", ""trend"": ""ema100""}",133.60436304264786,2.1487625723371346,16.611295681063122,44.34545853345744,301,0.43035512059465464,3.0128082437539128,0.36842891986945425,23360.436304264786,4,39.24121546707426,20.945664689414624
shared-signal,"{""direction"": ""growth-long-only"", ""exit_mode"": 0, ""horizon"": ""3-6-12m"", ""manage"": 0, ""max_hold_days"": 0, ""rr"": 2.0, ""session"": ""all-day"", ""stop_atr"": 2.5, ""stop_mode"": 0, ""tf"": ""H4"", ""trend"": ""ema100""}",155.66350150293985,2.3288753382545826,19.101123595505616,30.751713424133797,267,0.5952912391542907,5.06194563392282,0.4198212515878561,25566.350150293987,8,39.24121546707426,32.63810204880981
