time,event,position_id,dir,entry,sl,tp,note,buffer,broken,previous,close1,close2,old_sl,closed_bar,balance,equity,ladder
2026.03.05 13:45:00,entry,2,1,5131.546,5080.125,0.0,no_tp|risk=102.8400|volume=0.0200|PD=2026.03.05 00:00:00|PW=2026.03.01 00:00:00,0.721860714285718,0.0,0.0,0.0,0.0,0.0,,9999.89,9999.66,PD.VAL=5130.980;PW.VAL=5143.504;PD.POC=5163.068;PD.VAH=5176.373;PW.POC=5186.045;PW.VAH=5202.181
2026.03.10 02:00:00,entry,4,1,5184.348,5151.291,0.0,no_tp|risk=99.1700|volume=0.0300|PD=2026.03.10 00:00:00|PW=2026.03.08 00:00:00,0.7586357142857163,0.0,0.0,0.0,0.0,0.0,,9896.32,9895.98,PW.VAL=5022.372;PD.VAL=5063.213;PD.POC=5093.066;PD.VAH=5118.496;PW.POC=5164.607;PW.VAH=5214.224
2026.03.10 13:30:00,trail,4,1,5184.348,5163.848,0.0,done,0.7586357142857163,5214.224,5164.607,5221.496,5200.64,5151.291,2026.03.10 13:15:00,9896.32,10007.99,PW.VAL=5022.372;PD.VAL=5063.213;PD.POC=5093.066;PD.VAH=5118.496;PW.POC=5164.607;PW.VAH=5214.224
2026.03.10 20:00:00,entry,6,1,5198.924,5122.779,0.0,no_tp|risk=152.2900|volume=0.0200|PD=2026.03.10 00:00:00|PW=2026.03.08 00:00:00,0.7443785714285696,0.0,0.0,0.0,0.0,0.0,,9834.56,9834.36,PW.VAL=5022.372;PD.VAL=5063.213;PD.POC=5093.066;PD.VAH=5118.496;PW.POC=5164.607;PW.VAH=5214.224
2026.03.11 01:00:00,trail,6,1,5198.924,5163.862,0.0,done,0.7443785714285696,5214.224,5164.607,5215.377,5211.372,5122.779,2026.03.11 00:45:00,9834.56,9866.24,PW.VAL=5022.372;PD.VAL=5063.213;PD.POC=5093.066;PD.VAH=5118.496;PW.POC=5164.607;PW.VAH=5214.224
2026.03.11 13:15:00,entry,8,1,5177.925,5160.658,0.0,no_tp|risk=103.6000|volume=0.0600|PD=2026.03.11 00:00:00|PW=2026.03.08 00:00:00,0.6197999999999964,0.0,0.0,0.0,0.0,0.0,,9762.83,9762.14,PW.VAL=5022.372;PD.VAL=5160.217;PW.POC=5164.607;PD.POC=5177.151;PD.VAH=5210.128;PW.VAH=5214.224
2026.03.23 00:15:00,entry,10,-1,4436.906,4496.937,0.0,no_tp|risk=120.0600|volume=0.0200|PD=2026.03.23 00:00:00|PW=2026.03.22 00:00:00,1.2908500000000005,0.0,0.0,0.0,0.0,0.0,,9658.49,9658.35,PD.VAL=4471.205;PD.POC=4489.532;PD.VAH=4514.646;PW.VAL=4601.302;PW.POC=5004.716;PW.VAH=5044.614
2026.03.24 01:45:00,entry,12,-1,4321.438,4373.065,0.0,no_tp|risk=103.2500|volume=0.0200|PD=2026.03.24 00:00:00|PW=2026.03.22 00:00:00,1.62964642857143,0.0,0.0,0.0,0.0,0.0,,9538.25,9538.02,PD.VAL=4318.643;PD.POC=4406.064;PD.VAH=4487.010;PW.VAL=4601.302;PW.POC=5004.716;PW.VAH=5044.614
2026.03.24 12:00:00,entry,14,-1,4407.856,4434.433,0.0,no_tp|risk=106.3100|volume=0.0400|PD=2026.03.24 00:00:00|PW=2026.03.22 00:00:00,1.1161321428571487,0.0,0.0,0.0,0.0,0.0,,9434.69,9434.22,PD.VAL=4318.643;PD.POC=4406.064;PD.VAH=4487.010;PW.VAL=4601.302;PW.POC=5004.716;PW.VAH=5044.614
2026.03.27 03:15:00,entry,16,-1,4429.715,4442.484,0.0,no_tp|risk=102.1500|volume=0.0800|PD=2026.03.27 00:00:00|PW=2026.03.22 00:00:00,0.707789285714294,0.0,0.0,0.0,0.0,0.0,,9327.7,9327.13,PD.VAL=4387.367;PD.POC=4443.336;PD.VAH=4472.077;PW.VAL=4601.302;PW.POC=5004.716;PW.VAH=5044.614
2026.03.27 06:00:00,entry,18,-1,4454.679,4476.723,0.0,no_tp|risk=110.2200|volume=0.0500|PD=2026.03.27 00:00:00|PW=2026.03.22 00:00:00,0.5636928571428566,0.0,0.0,0.0,0.0,0.0,,9224.97,9224.62,PD.VAL=4387.367;PD.POC=4443.336;PD.VAH=4472.077;PW.VAL=4601.302;PW.POC=5004.716;PW.VAH=5044.614
