id,label,symbol,timeframe,return_pct,equity_dd_pct,profit_factor,win_rate_pct,trades,net,history_quality,score
us30-d03,US30 Divergence slow,US30,M5,-0.7970999999999999,19.26,0.99,43.15,197,-79.71,98%,-12.353100000000001
us30-c12,US30 M15 trend,US30,M5,-9.809700000000001,34.69,0.96,39.7,539,-980.97,98%,-30.6237
us30-d02,US30 Divergence fast,US30,M5,-15.978499999999999,33.4,0.91,40.66,364,-1597.85,98%,-36.018499999999996
us30-c03,US30 NY sustained pressure,US30,M5,-19.326,35.25,0.94,40.91,616,-1932.6,98%,-40.476
us30-c08,US30 Wide stop trend,US30,M5,-21.986,31.18,0.93,38.26,596,-2198.6,98%,-40.694
us30-c10,US30 Long only trend,US30,M5,-27.4646,30.94,0.83,40.66,332,-2746.46,98%,-46.0286
us30-c11,US30 Short only trend,US30,M5,-26.415100000000002,33.09,0.87,38.95,380,-2641.51,98%,-46.26910000000001
us30-c09,US30 No trailing trend,US30,M5,-24.1848,38.02,0.93,28.9,602,-2418.48,98%,-46.9968
us30-c01,US30 NY breakout balanced,US30,M5,-31.0807,37.95,0.89,40.65,615,-3108.07,98%,-53.8507
us30-d01,US30 Divergence core,US30,M5,-37.0895,45.2,0.74,36.43,269,-3708.95,98%,-64.2095
us30-c05,US30 US open narrow,US30,M5,-34.9503,52.2,0.85,39.27,578,-3495.03,98%,-66.27029999999999
us30-h01,US30 Both core,US30,M5,-37.086,49.37,0.89,39.94,681,-3708.6,98%,-66.708
us30-h02,US30 Both selective,US30,M5,-47.863,53.46,0.82,37.84,584,-4786.3,98%,-79.939
us30-c02,US30 NY faster pressure,US30,M5,-51.30239999999999,56.55,0.82,39.09,660,-5130.24,98%,-85.23239999999998
us30-c04,US30 NY high participation,US30,M5,-50.9012,57.63,0.81,37.35,581,-5090.12,98%,-85.4792
us30-c07,US30 Tight stop trend,US30,M5,-59.1731,64.79,0.77,35.94,626,-5917.31,98%,-98.0471
us30-c06,US30 London and NY,US30,M5,-59.4653,65.92,0.78,37.5,648,-5946.53,98%,-99.0173
us100-c12,US100 M15 trend,USTEC,M5,34.5801,27.76,1.1,43.1,522,3458.01,98%,19.424100000000003
us100-c04,US100 NY high participation,USTEC,M5,12.9874,31.96,1.03,42.12,539,1298.74,98%,-5.738599999999999
us100-c11,US100 Short only trend,USTEC,M5,5.546,21.87,1.02,40.91,396,554.6,98%,-7.276
us100-c05,US100 US open narrow,USTEC,M5,-3.4618999999999995,25.11,0.99,42.4,566,-346.19,98%,-18.5279
us100-d03,US100 Divergence slow,USTEC,M5,-8.8148,25.56,0.89,46.63,178,-881.48,98%,-24.150799999999997
us100-h02,US100 Both selective,USTEC,M5,-11.808499999999999,33.53,0.97,41.67,552,-1180.85,98%,-31.926499999999997
us100-c08,US100 Wide stop trend,USTEC,M5,-16.3704,33.06,0.95,39.5,600,-1637.04,98%,-36.2064
us100-d01,US100 Divergence core,USTEC,M5,-19.5382,30.26,0.87,41.2,267,-1953.82,98%,-37.694199999999995
us100-c10,US100 Long only trend,USTEC,M5,-24.0858,26.07,0.85,41.72,302,-2408.58,98%,-39.7278
us100-c09,US100 No trailing trend,USTEC,M5,-24.810900000000004,37.65,0.93,29.02,603,-2481.09,98%,-47.40090000000001
us100-d02,US100 Divergence fast,USTEC,M5,-23.0544,42.71,0.88,38.85,381,-2305.44,98%,-48.680400000000006
us100-c01,US100 NY breakout balanced,USTEC,M5,-27.6841,40.33,0.92,41.01,612,-2768.41,98%,-51.882099999999994
us100-c02,US100 NY faster pressure,USTEC,M5,-36.0839,43.93,0.9,39.24,655,-3608.39,98%,-62.441900000000004
us100-c03,US100 NY sustained pressure,USTEC,M5,-37.8779,44.43,0.88,40.59,611,-3787.79,98%,-64.5359
us100-c06,US100 London and NY,USTEC,M5,-44.0565,53.71,0.85,41.59,630,-4405.65,98%,-76.2825
us100-h01,US100 Both core,USTEC,M5,-45.5417,51.85,0.87,39.23,673,-4554.17,98%,-76.6517
us100-c07,US100 Tight stop trend,USTEC,M5,-56.320100000000004,61.42,0.8,36.68,627,-5632.01,98%,-93.1721
xau-c01,XAU NY breakout balanced,XAUUSD,M5,25.723000000000003,19.03,1.06,44.68,790,2572.3,98%,15.205000000000002
xau-c10,XAU Long only trend,XAUUSD,M5,23.858999999999998,20.83,1.08,45.77,461,2385.9,98%,12.561
xau-h01,XAU Both core,XAUUSD,M5,-0.0732,28.15,1.0,43.64,880,-7.32,98%,-16.963199999999997
xau-d03,XAU Divergence slow,XAUUSD,M5,-6.3863,21.8,0.95,45.66,219,-638.63,98%,-19.4663
xau-h02,XAU Both selective,XAUUSD,M5,-4.6715,25.29,0.99,41.7,705,-467.15,98%,-19.8455
xau-c12,XAU M15 trend,XAUUSD,M5,-0.7458,32.8,1.0,42.47,485,-74.58,98%,-20.425799999999995
xau-c04,XAU NY high participation,XAUUSD,M5,-7.7494000000000005,32.78,0.98,42.22,720,-774.94,98%,-27.4174
xau-c09,XAU No trailing trend,XAUUSD,M5,-4.5877,39.84,0.99,30.75,774,-458.77,98%,-28.4917
xau-d01,XAU Divergence core,XAUUSD,M5,-15.4892,26.65,0.92,42.44,344,-1548.92,98%,-31.4792
xau-c05,XAU US open narrow,XAUUSD,M5,-13.0251,34.31,0.96,42.82,682,-1302.51,98%,-33.6111
xau-d02,XAU Divergence fast,XAUUSD,M5,-16.034000000000002,39.43,0.94,41.94,515,-1603.4,98%,-39.692
xau-c11,XAU Short only trend,XAUUSD,M5,-24.6781,33.31,0.88,39.86,429,-2467.81,98%,-44.664100000000005
xau-c02,XAU NY faster pressure,XAUUSD,M5,-23.1166,39.92,0.94,42.3,844,-2311.66,98%,-47.0686
xau-c03,XAU NY sustained pressure,XAUUSD,M5,-28.276,37.33,0.92,41.48,786,-2827.6,98%,-50.674
xau-c08,XAU Wide stop trend,XAUUSD,M5,-26.0889,43.49,0.92,39.35,765,-2608.89,98%,-52.182900000000004
xau-c06,XAU London and NY,XAUUSD,M5,-31.8821,44.95,0.94,41.0,917,-3188.21,98%,-58.85210000000001
xau-c07,XAU Tight stop trend,XAUUSD,M5,-43.3936,46.81,0.88,37.88,800,-4339.36,98%,-71.4796
