starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,net_r,avg_r,avg_spread_r,max_drawdown_pct,timeframe
300.0,310.55,10.55,3.52,9,5,4,55.56,0.89,0.0991,0.0214,8.89,M15
300.0,328.99,28.99,9.66,8,4,4,50.0,2.13,0.266,0.0139,5.15,M30
