branch,phase,variant,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe,recovery_factor,history_quality,selection_score
standard,standard-dynamic-target,target-range-2x,66.1151,1.55,40.13,15.36,152,10.66,2.3,98%,66.61852396396733
standard,standard-dynamic-target,target-range-2.5x,81.5763,1.63,39.47,15.05,152,11.06,2.69,98%,83.38890022228009
standard,standard-dynamic-target,target-range-3x,76.5451,1.56,37.5,18.13,152,9.44,2.03,98%,72.38288731892168
standard,standard-dynamic-target,target-atr-1.5x,3.266,1.05,59.21,8.81,152,2.66,0.36,98%,6.761052462541481
standard,standard-dynamic-target,target-atr-2x,14.414000000000001,1.19,55.26,7.21,152,8.75,1.64,98%,23.881499606851573
standard,standard-dynamic-target,target-atr-2.5x,27.223300000000002,1.32,52.63,9.0,152,11.7,2.19,98%,36.712876048974195
standard,standard-dynamic-target,target-atr-3x,28.018500000000003,1.3,48.03,8.77,152,9.5,2.34,98%,35.738563967012375
standard,standard-dynamic-target,target-atr-4x,55.6693,1.51,44.74,8.86,152,13.58,3.78,98%,66.93074476240248
standard,standard-dynamic-target,target-fixed-600,15.762200000000002,1.2,53.95,8.2,152,8.29,1.57,98%,23.57152335190932
standard,standard-dynamic-target,target-fixed-800,26.348499999999998,1.28,48.68,8.82,152,9.69,2.23,98%,33.95150116897288
standard,standard-dynamic-target,target-fixed-1000,57.264199999999995,1.55,48.68,7.94,152,15.28,4.39,98%,71.87412396396732
standard,standard-dynamic-target,target-fixed-1250,62.641000000000005,1.55,44.08,11.24,152,13.18,3.16,98%,70.67842396396733
standard,standard-dynamic-target,target-fixed-1500,73.6476,1.62,42.11,10.74,152,12.56,3.74,98%,82.51919223866439
standard,standard-dynamic-joint,atr10-sl1.6-range2,71.06909999999999,1.54,36.84,16.76,152,11.16,2.18,98%,69.08963624638307
standard,standard-dynamic-joint,atr10-sl1.6-range2.5,87.21959999999999,1.62,36.18,16.47,152,11.36,2.53,98%,86.43409223866436
standard,standard-dynamic-joint,atr10-sl1.6-range3,84.0067,1.56,34.21,19.55,152,9.84,1.95,98%,77.40668731892168
standard,standard-dynamic-joint,atr10-sl2-range2,53.5976,1.49,42.11,12.77,152,9.1,2.5,98%,56.75744179936052
standard,standard-dynamic-joint,atr10-sl2-range2.5,62.0556,1.54,40.79,14.37,152,9.07,2.41,98%,63.296636246383066
standard,standard-dynamic-joint,atr10-sl2-range3,59.0997,1.48,38.82,16.79,152,7.88,1.9,98%,55.51073131664036
standard,standard-dynamic-joint,atr10-sl2.4-range2,64.7223,1.69,49.34,8.45,152,10.67,4.55,98%,78.32352793402474
standard,standard-dynamic-joint,atr10-sl2.4-range2.5,71.5147,1.73,47.37,9.62,152,10.23,4.23,98%,83.22442112764533
standard,standard-dynamic-joint,atr10-sl2.4-range3,66.8391,1.65,45.39,11.0,152,8.82,3.38,98%,74.74752931868736
standard,standard-dynamic-joint,atr14-sl1.6-range2,68.2021,1.5,33.55,16.22,152,10.81,2.24,98%,65.68707662162247
standard,standard-dynamic-joint,atr14-sl1.6-range2.5,88.848,1.61,32.89,15.87,152,11.38,2.69,98%,88.08981268494558
standard,standard-dynamic-joint,atr14-sl1.6-range3,82.16399999999999,1.53,30.92,19.21,152,9.49,1.98,98%,74.86141603106516
standard,standard-dynamic-joint,atr14-sl2-range2,66.1151,1.55,40.13,15.36,152,10.66,2.3,98%,66.61852396396733
standard,standard-dynamic-joint,atr14-sl2-range2.5,81.5763,1.63,39.47,15.05,152,11.06,2.69,98%,83.38890022228009
standard,standard-dynamic-joint,atr14-sl2-range3,76.5451,1.56,37.5,18.13,152,9.44,2.03,98%,72.38288731892168
standard,standard-dynamic-joint,atr14-sl2.4-range2,58.068799999999996,1.55,44.74,13.51,152,9.76,2.45,98%,61.68392396396732
standard,standard-dynamic-joint,atr14-sl2.4-range2.5,64.8763,1.58,42.76,15.09,152,9.41,2.33,98%,66.10737270558313
standard,standard-dynamic-joint,atr14-sl2.4-range3,59.1915,1.51,40.79,17.54,152,7.94,1.8,98%,55.3509447624025
standard,standard-dynamic-joint,atr20-sl1.6-range2,59.867000000000004,1.43,29.61,18.42,152,9.33,1.78,98%,52.15531666407724
standard,standard-dynamic-joint,atr20-sl1.6-range2.5,75.83810000000001,1.51,28.95,18.33,152,9.63,2.09,98%,69.14324476240252
standard,standard-dynamic-joint,atr20-sl1.6-range3,65.78490000000001,1.43,26.97,20.59,152,7.67,1.6,98%,53.944416664077245
standard,standard-dynamic-joint,atr20-sl2-range2,62.83410000000001,1.49,36.18,16.54,152,10.31,2.06,98%,60.11834179936053
standard,standard-dynamic-joint,atr20-sl2-range2.5,81.58290000000001,1.59,35.53,16.18,152,10.98,2.48,98%,80.58151024348209
standard,standard-dynamic-joint,atr20-sl2-range3,75.2617,1.52,33.55,19.45,152,9.19,1.84,98%,67.9583550228728
standard,standard-dynamic-joint,atr20-sl2.4-range2,70.0869,1.61,42.76,14.55,152,11.09,2.54,98%,73.04761268494558
standard,standard-dynamic-joint,atr20-sl2.4-range2.5,83.0324,1.68,41.45,14.24,152,11.1,2.89,98%,86.8728069012275
standard,standard-dynamic-joint,atr20-sl2.4-range3,75.55420000000001,1.59,39.47,16.91,152,9.29,2.17,98%,73.6861102434821
london-safe,london-safe-dynamic-stop,setup-high-buffer-0,34.7124,1.64,47.17,7.97,106,9.4,4.24,98%,47.3932436275416
london-safe,london-safe-dynamic-stop,setup-high-buffer-25,36.6737,1.68,48.11,6.84,106,9.7,5.13,98%,51.82330690122751
london-safe,london-safe-dynamic-stop,setup-high-buffer-50,32.5839,1.61,48.11,6.84,106,8.7,4.61,98%,46.513112684945575
london-safe,london-safe-dynamic-stop,setup-high-buffer-100,31.7807,1.6,48.11,7.43,106,8.39,4.13,98%,44.55745443868604
london-safe,london-safe-dynamic-stop,range-stop-0.75x,26.0903,1.43,43.4,10.2,106,8.31,2.46,98%,31.92841666407724
london-safe,london-safe-dynamic-stop,range-stop-1x,34.7124,1.64,47.17,7.97,106,9.4,4.24,98%,47.3932436275416
london-safe,london-safe-dynamic-stop,range-stop-1.25x,25.219600000000003,1.51,47.17,8.93,106,6.84,2.77,98%,33.87514476240249
london-safe,london-safe-dynamic-stop,range-stop-1.5x,29.925300000000004,1.68,50.0,7.28,106,8.31,3.98,98%,43.960206901227515
london-safe,london-safe-dynamic-stop,atr-stop-1x,10.755799999999999,1.16,37.74,13.38,106,8.09,0.8,98%,7.406900076774098
london-safe,london-safe-dynamic-stop,atr-stop-1.25x,-4.0681,0.94,33.02,21.5,106,-2.77,-0.19,98%,-26.856331055771314
london-safe,london-safe-dynamic-stop,atr-stop-1.5x,11.285,1.17,37.74,15.49,106,5.4,0.71,98%,4.214356232144972
london-safe,london-safe-dynamic-stop,atr-stop-2x,15.711500000000001,1.25,38.68,11.13,106,6.1,1.39,98%,16.025753269713146
london-safe,london-safe-dynamic-stop,atr-stop-2.5x,40.917500000000004,1.69,46.23,4.81,106,11.23,5.86,98%,59.24902793402474
london-safe,london-safe-dynamic-stop,max-range-atr-1x,34.7124,1.64,47.17,7.97,106,9.4,4.24,98%,47.3932436275416
london-safe,london-safe-dynamic-stop,max-range-atr-1.5x,34.594,1.64,47.17,7.96,106,9.39,4.23,98%,47.28034362754161
london-safe,london-safe-dynamic-stop,max-range-atr-2x,34.157700000000006,1.63,47.17,7.94,106,9.45,4.19,98%,46.78830022228007
london-safe,london-safe-dynamic-target,target-1r,19.8339,1.43,58.49,5.15,106,10.87,3.56,98%,36.96581666407724
london-safe,london-safe-dynamic-target,target-1.25r,22.5069,1.44,53.77,7.61,106,10.0,2.77,98%,34.88244670381864
london-safe,london-safe-dynamic-target,target-1.5r,31.5656,1.58,50.94,7.46,106,11.89,3.94,98%,46.07077270558313
london-safe,london-safe-dynamic-target,target-2r,40.917500000000004,1.69,46.23,4.81,106,11.23,5.86,98%,59.24902793402474
london-safe,london-safe-dynamic-target,target-2.5r,48.4364,1.76,43.4,7.31,106,10.77,5.03,98%,63.02960713575091
london-safe,london-safe-dynamic-target,target-3r,65.6271,1.99,43.4,7.31,106,12.13,6.43,98%,83.09661958104603
london-safe,london-safe-dynamic-target,target-4r,63.13380000000001,1.93,43.4,8.32,106,9.9,5.23,98%,77.51910004375192
london-safe,london-safe-dynamic-target,target-range-1x,32.6744,1.71,59.43,6.8,106,14.95,4.47,98%,52.50090055771853
london-safe,london-safe-dynamic-target,target-range-1.5x,29.6166,1.53,48.11,7.98,106,8.84,3.47,98%,40.95631603106516
london-safe,london-safe-dynamic-target,target-range-2x,46.286899999999996,1.75,45.28,6.83,106,11.02,5.24,98%,62.00573681903134
london-safe,london-safe-dynamic-target,target-range-2.5x,52.953300000000006,1.84,44.34,8.32,106,10.23,4.83,98%,66.82108357431342
london-safe,london-safe-dynamic-target,target-range-3x,66.125,2.0,44.34,8.32,106,11.82,5.69,98%,82.18050770839918
london-safe,london-safe-dynamic-target,target-atr-1.5x,15.967300000000002,1.49,71.7,5.12,106,16.46,2.89,98%,38.66244179936052
london-safe,london-safe-dynamic-target,target-atr-2x,20.7583,1.53,66.04,5.89,106,15.55,3.31,98%,41.38761603106516
