case,group,stage,report,from,to,model,reward_risk,stop_buffer_atr,minimum_stop_atr,break_even_at_r,maximum_holding_bars,dynamic,session,risk_percent,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe_ratio,recovery_factor,history_quality,analysed_sharpe,analysed_recovery
rr-200,reward-risk,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\ThreeYear\btc-threeyear-rr-200.htm,2023.09.01,2026.09.01,0,2.00,0.10,0.30,0.00,96,false,0,1.00,10000.0,11540.95,1540.95,15.41,1.29,41.57,8.05,89,5.01,1.87,100%,1.13,2.22
manage-be100,management,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\ThreeYear\btc-threeyear-manage-be100.htm,2023.09.01,2026.09.01,0,2.00,0.10,0.30,1.00,96,false,0,1.00,10000.0,11437.76,1437.76,14.38,1.33,32.22,6.49,90,5.99,2.19,100%,1.15,2.42
manage-dynamic5020,management,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\ThreeYear\btc-threeyear-manage-dynamic5020.htm,2023.09.01,2026.09.01,0,2.00,0.10,0.30,0.00,96,true,0,1.00,10000.0,11596.91,1596.91,15.97,1.32,48.31,6.78,89,6.55,2.12,100%,1.22,2.5
session-asia,session,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\02 BTC Top Down FVG\Backtest Reports\ThreeYear\btc-threeyear-session-asia.htm,2023.09.01,2026.09.01,0,2.00,0.10,0.30,0.00,96,false,1,1.00,10000.0,11808.13,1808.13,18.08,2.03,51.52,4.57,33,17.37,3.74,100%,1.99,4.33
