slug,score,eligible,value_area_pct,profile_bins,signal_window_bars,entry_mode,stop_mode,reward_risk,breakout_buffer_atr,minimum_relative_volume,require_directional_candle,retest_bars,retest_tolerance_atr,stop_buffer_atr,atr_stop_multiple,train_initial_balance,train_final_balance,train_return_pct,train_profit_factor,train_win_rate_pct,train_max_drawdown_pct,train_trades,train_wins,train_losses,validation_initial_balance,validation_final_balance,validation_return_pct,validation_profit_factor,validation_win_rate_pct,validation_max_drawdown_pct,validation_trades,validation_wins,validation_losses,locked_initial_balance,locked_final_balance,locked_return_pct,locked_profit_factor,locked_win_rate_pct,locked_max_drawdown_pct,locked_trades,locked_wins,locked_losses
va70-b64-w4-retest-atr-rr15-buf0-rv0-dir1,6.200484587047039,True,70,64,4,retest,atr,1.5,0.0,0.0,True,4,0.08,0.0,1.0,10000.0,10367.48420565442,3.674842056544203,1.0413302646761622,52.96912114014252,7.559880358275556,421,223,198,10000.0,10205.02926745604,2.0502926745604055,1.0681838715436147,49.358974358974365,7.335724986240252,156,77,79,10000.0,10480.8048103089,4.808048103089013,1.232775986808997,56.25,3.4472806324597505,128,72,56
va70-b48-w4-retest-atr-rr15-buf0-rv0-dir1,5.808745407597632,False,70,48,4,retest,atr,1.5,0.0,0.0,True,4,0.08,0.0,1.0,10000.0,10162.743082524164,1.627430825241638,1.0183701344226825,52.99760191846523,7.997481079101297,417,221,196,10000.0,10076.11294771711,0.7611294771711075,1.0256799078746757,46.97986577181208,7.488524353364867,149,70,79,10000.0,10348.444880348818,3.4844488034881715,1.1637273254561586,54.400000000000006,2.6716233232021014,125,68,57
va65-b64-w4-retest-atr-rr2-buf0-rv0-dir1,5.772437421211373,False,65,64,4,retest,atr,2.0,0.0,0.0,True,4,0.08,0.0,1.0,10000.0,10154.033235264773,1.540332352647722,1.0174663345179125,53.34928229665071,8.08351906052072,418,223,195,10000.0,10472.609278080305,4.726092780803048,1.1652183839230266,49.67741935483871,5.698436353567643,155,77,78,10000.0,10423.007442240654,4.230074422406549,1.186175658514688,54.81481481481482,3.719256234946099,135,74,61
va65-b64-w4-retest-atr-rr15-buf0-rv0-dir1,5.63010451061106,True,65,64,4,retest,atr,1.5,0.0,0.0,True,4,0.08,0.0,1.0,10000.0,10252.184594755392,2.5218459475539134,1.0286320162663984,53.588516746411486,8.97840280851133,418,224,194,10000.0,10659.867706651889,6.598677066518888,1.2297622417778762,49.67741935483871,5.482685691012644,155,77,78,10000.0,10423.007442240654,4.230074422406549,1.186175658514688,54.81481481481482,3.719256234946099,135,74,61
va65-b36-w4-retest-atr-rr15-buf0-rv0-dir1,5.47890914119094,True,65,36,4,retest,atr,1.5,0.0,0.0,True,4,0.08,0.0,1.0,10000.0,10327.912714473256,3.279127144732552,1.0367050707935703,53.14009661835749,9.792328976950314,414,220,194,10000.0,10243.325999238967,2.433259992389658,1.0783698963500767,47.4025974025974,5.7220941662577705,154,73,81,10000.0,10712.629781788144,7.126297817881433,1.3434460433948257,56.390977443609025,3.2613747567640057,133,75,58
va65-b36-w4-retest-atr-rr2-buf0-rv0-dir1,5.4063608112264525,False,65,36,4,retest,atr,2.0,0.0,0.0,True,4,0.08,0.0,1.0,10000.0,10142.364696425378,1.4236469642537886,1.016046176755941,52.89855072463768,9.25131787993531,414,219,195,10000.0,10063.384823349239,0.6338482334923956,1.020497505589994,47.4025974025974,5.982991287864127,154,73,81,10000.0,10712.629781788144,7.126297817881433,1.3434460433948257,56.390977443609025,3.2613747567640057,133,75,58
va75-b64-w4-retest-atr-rr15-buf0-rv0-dir1,5.404037494081011,False,75,64,4,retest,atr,1.5,0.0,0.0,True,4,0.08,0.0,1.0,10000.0,10736.000316806298,7.3600031680629785,1.0843466884431632,54.17661097852029,6.849750940627556,419,227,192,10000.0,9946.78988321196,-0.5321011678803944,0.9829098659736518,48.125,8.02010438973388,160,77,83,10000.0,10805.264028651462,8.052640286514624,1.445023101942408,59.01639344262295,2.6613371029682455,122,72,50
va75-b64-w4-retest-atr-rr15-buf0-rv1-dir0,5.288754103896187,False,75,64,4,retest,atr,1.5,0.0,1.0,False,4,0.08,0.0,1.0,10000.0,10080.9449180239,0.8094491802389969,1.0144526190895253,52.10727969348659,9.524070643596591,261,136,125,10000.0,10410.567977158891,4.10567977158891,1.1899787485874527,52.0,7.678159275391161,100,52,48,10000.0,9988.105040301563,-0.11894959698436347,0.9912032346014039,51.515151515151516,4.231264705958995,66,34,32
va70-b64-w4-retest-atr-rr2-buf0-rv0-dir1,5.214153218328008,False,70,64,4,retest,atr,2.0,0.0,0.0,True,4,0.08,0.0,1.0,10000.0,10119.211550204189,1.1921155020418794,1.013534631340959,52.73159144893111,9.401096942106776,421,222,199,10000.0,10009.384230594462,0.09384230594462473,1.0031372587956973,49.358974358974365,7.743100526468551,156,77,79,10000.0,10480.8048103089,4.808048103089013,1.232775986808997,56.25,3.4472806324597505,128,72,56
va70-b64-w4-retest-atr-rr1-buf0-rv0-dir1,5.2053058736899676,False,70,64,4,retest,atr,1.0,0.0,0.0,True,4,0.08,0.0,1.0,10000.0,10233.354354206456,2.3335435420645645,1.0265038358046763,52.96912114014252,8.925715589904478,421,223,198,10000.0,9968.244392562858,-0.31755607437142785,0.9893470197623068,49.358974358974365,8.290135460457696,156,77,79,10000.0,10582.073392684213,5.820733926842125,1.2794993372593624,56.25,3.4472806324597456,128,72,56
