month,start_balance,end_balance,return_pct,trades,wins,losses,breakeven,net_profit,net_win_rate,net_pf,average_win,average_loss,largest_win,largest_loss,max_loss_streak,commission,swap,fee,longs,shorts
2021.09,10000.0,9986.57,-0.1343,6,2,4,0,-13.43,33.333333333333336,0.9029273581496204,62.46,-34.587500000000006,93.11,-37.2,3,-2.49,-8.56,0.0,6,0
2021.10,9986.57,10065.39,0.7892599761479666,12,4,8,0,78.82,33.333333333333336,1.3475002204391147,76.41,-28.3525,99.64,-43.23,4,-4.38,-36.37,0.0,12,0
2021.11,10065.39,10190.699999999999,1.2449592117145982,11,4,7,0,125.31,36.36363636363637,1.6937001771479185,76.4875,-25.805714285714284,97.2,-44.19,3,-4.49,-20.83,0.0,11,0
2021.12,10190.699999999999,10179.63,-0.10862845535635433,6,2,4,0,-11.07,33.333333333333336,0.918656771254317,62.510000000000005,-34.0225,92.51,-36.66,3,-2.11,-2.14,0.0,6,0
2022.01,10179.63,10203.72,0.2366490727069648,9,3,6,0,24.09,33.333333333333336,1.1220055710306405,73.84666666666666,-32.90833333333334,98.68,-41.34,4,-3.66,-22.45,0.0,9,0
2022.02,10203.72,10586.64,3.7527489974244688,17,8,9,0,382.92,47.05882352941177,2.3975182481751824,82.115,-30.444444444444443,102.58,-53.15,4,-6.71,-47.06,0.0,17,0
2022.03,10586.64,10330.619999999999,-2.4183310285416337,11,1,10,0,-256.02,9.090909090909092,0.3218372536554355,121.5,-37.751999999999995,121.5,-64.44,7,-2.84,-18.68,0.0,11,0
2022.04,10330.619999999999,10348.009999999998,0.16833452396855178,9,3,6,0,17.39,33.333333333333336,1.0825775203001091,75.99333333333333,-35.098333333333336,102.88,-37.67,3,-2.71,-8.55,0.0,9,0
2022.05,10348.009999999998,10321.05,-0.26053318464129827,9,3,6,0,-26.96,33.333333333333336,0.846896473394287,49.71,-29.348333333333333,85.74,-40.66,4,-2.89,-17.63,0.0,9,0
2022.06,10321.05,10239.84,-0.7868385484035054,7,1,6,0,-81.21,14.285714285714286,0.2760096282428457,30.96,-18.695,30.96,-35.07,5,-2.28,-12.29,0.0,7,0
2022.07,10239.84,10136.47,-1.0094884295067112,3,0,3,0,-103.37,0.0,0.0,0,-34.45666666666667,0,-35.08,3,-1.11,0.0,0.0,3,0
2022.08,10136.47,10118.599999999999,-0.17629411422319607,5,1,4,0,-17.87,20.0,0.8445140520316714,97.06,-28.7325,97.06,-33.57,4,-1.77,-21.4,0.0,5,0
2022.09,10118.599999999999,9951.449999999999,-1.6519083667701069,7,1,6,0,-167.15,14.285714285714286,0.15272708840227087,30.13,-32.88,30.13,-34.6,6,-2.38,0.0,0.0,7,0
2022.10,9951.449999999999,10192.289999999999,2.420149827412086,7,4,3,0,240.84,57.142857142857146,3.216658996778647,87.3725,-36.21666666666667,127.61,-40.97,2,-1.99,-15.51,0.0,7,0
2022.11,10192.289999999999,10396.099999999999,1.9996487541072714,11,6,5,0,203.81,54.54545454545455,1.9350798311616808,70.295,-43.592,124.73,-58.84,2,-3.55,-35.82,0.0,11,0
2022.12,10396.099999999999,10821.599999999999,4.092880984215235,16,7,9,0,425.5,43.75,2.5521266506164735,99.94857142857143,-30.459999999999997,122.97,-40.68,4,-5.58,-48.64,0.0,16,0
2023.01,10821.599999999999,11083.869999999999,2.4235787683891474,9,4,5,0,262.27,44.44444444444444,2.5016890924706554,109.23,-34.93,132.41,-60.28,2,-2.4,-47.53,0.0,9,0
2023.02,11083.869999999999,11137.589999999998,0.48466826117592504,5,2,3,0,53.72,40.0,1.6857288741383711,66.03,-26.113333333333333,95.46,-38.81,3,-1.94,-16.04,0.0,5,0
2023.03,11137.589999999998,11545.739999999998,3.664616851580998,16,6,10,0,408.15,37.5,2.384497964721845,117.15833333333335,-29.48,169.72,-58.18,3,-4.99,-22.46,0.0,16,0
2023.04,11545.739999999998,11733.689999999999,1.6278731376247864,7,3,4,0,187.95,42.857142857142854,2.4021933751119064,107.33,-33.510000000000005,110.65,-49.09,2,-2.28,-24.57,0.0,7,0
2023.05,11733.689999999999,11682.669999999998,-0.4348163280263924,12,3,9,0,-51.02,25.0,0.8338273132918607,85.33666666666666,-34.114444444444445,109.2,-55.71,6,-5.1,-21.92,0.0,12,0
2023.06,11682.669999999998,11595.099999999999,-0.7495718016515062,6,2,4,0,-87.57,33.333333333333336,0.44001790510295435,34.405,-39.095,35.49,-40.51,3,-2.49,-8.55,0.0,6,0
2023.07,11595.099999999999,11604.579999999998,0.08175867392260525,13,4,9,0,9.48,30.76923076923077,1.0350190240478743,70.0475,-30.078888888888887,110.73,-42.34,6,-5.9,-48.68,0.0,13,0
2023.08,11604.579999999998,11639.629999999997,0.30203592030043314,7,2,5,0,35.05,28.571428571428573,1.1883497232521898,110.57,-37.217999999999996,120.66,-37.91,3,-4.7,-13.37,0.0,7,0
