starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,net_r,avg_r,avg_spread_r,max_drawdown_pct,month,symbol
300.0,285.0,-15.0,-5.0,1,0,1,0.0,-1.0,-1.0001,0.0001,5.0,2025-12,XAUUSD
300.0,285.0,-15.0,-5.0,1,0,1,0.0,-1.0,-1.0001,0.0001,5.0,2026-02,XAUUSD
300.0,379.33,79.33,26.44,4,3,1,75.0,5.0,1.2499,0.0001,5.0,2026-03,XAUUSD
300.0,313.49,13.49,4.5,2,1,1,50.0,1.0,0.4998,0.0003,5.0,2026-05,XAUUSD
300.0,297.82,-2.18,-0.73,3,1,2,33.33,-0.0,-0.0002,0.0002,9.75,2026-06,XAUUSD
